"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-01","0","G","0",",G",,,,,"0",",G","6",",G","0",",G","0",",G","0",",G","30",",G,24,",,,"70",",G,08,",,,"482",",G",,,"49.5",",G","63.2",",,,G","35.7",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-02","0","G","0",",G",,,,,"0",",G","7",",G","0",",G","7",",G","0",",G","29",",G,02,",,,"73",",G,16,",,,"374",",G",,,"51.6",",G","66.5",",,,G","36.8",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-03","11","G","11",",G",,,,,"0",",G","0",",G","0",",G","25",",G","0",",G","36",",G,01,",,,"82",",G,28,",,,"159",",G",,,"60.2",",G","75.1",",,,G","45.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-04","37","G","26",",G",,,,,"0",",G","0",",G","0",",G","23",",G","0",",G","49",",G,02,",,,"81",",G,28,",,,"51",",G",,,"64.2",",G","72.9",",,,G","55.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-05","139","G","102",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","54",",G,16,",,,"83",",G,29,",,,"4",",G",,,"68.2",",G","77.2",",,,G","59.1",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-06","385","G","246",",G",,,,,"0",",G","0",",G","0",",G","29",",G","0",",G","64",",G,02,",,,"84",",G,07,",,,"0",",G",,,"73.2",",G","79.1",",,,G","67.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-07","671","G","286",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","66",",G,28,+",,,"85",",G,15,","0","G","0",",G",,,"74.2",",G","80.4",",,,G","68.1",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-08","934","G","263",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","62",",G,26,",,,"83",",G,16,","0","G","0",",G",,,"73.5",",G","79.7",",,,G","67.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-09","1137","G","203",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","60",",G,19,",,,"83",",G,20,","0","G","0",",G",,,"71.8",",G","79.2",",,,G","64.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-10","1221","G","84",",G",,,,,"0",",G","0",",G","0",",G","28",",G","0",",G","46",",G,28,",,,"83",",G,03,","56","G","56",",G",,,"65.9",",G","75.4",",,,G","56.4",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-11","1221","G","0",",G",,,,,"0",",G","0",",G","0",",G","10",",G","0",",G","37",",G,28,+",,,"74",",G,05,","309","G","253",",G",,,"56.6",",G","69.1",",,,G","44.0",",,,G"
