Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
10.849638, 2060-2079, bcc_csm1_1, Jan Average, Nepal, NPL
14.007814, 2060-2079, bcc_csm1_1, Feb Average, Nepal, NPL
20.22277, 2060-2079, bcc_csm1_1, Mar Average, Nepal, NPL
25.957745, 2060-2079, bcc_csm1_1, Apr Average, Nepal, NPL
31.236662, 2060-2079, bcc_csm1_1, May Average, Nepal, NPL
34.08049, 2060-2079, bcc_csm1_1, Jun Average, Nepal, NPL
30.190556, 2060-2079, bcc_csm1_1, Jul Average, Nepal, NPL
27.850502, 2060-2079, bcc_csm1_1, Aug Average, Nepal, NPL
28.638317, 2060-2079, bcc_csm1_1, Sep Average, Nepal, NPL
24.839773, 2060-2079, bcc_csm1_1, Oct Average, Nepal, NPL
18.316708, 2060-2079, bcc_csm1_1, Nov Average, Nepal, NPL
12.213925, 2060-2079, bcc_csm1_1, Dec Average, Nepal, NPL
18.098354, 2060-2079, bcc_csm1_1_m, Jan Average, Nepal, NPL
20.748848, 2060-2079, bcc_csm1_1_m, Feb Average, Nepal, NPL
27.085674, 2060-2079, bcc_csm1_1_m, Mar Average, Nepal, NPL
32.683727, 2060-2079, bcc_csm1_1_m, Apr Average, Nepal, NPL
36.224903, 2060-2079, bcc_csm1_1_m, May Average, Nepal, NPL
36.88343, 2060-2079, bcc_csm1_1_m, Jun Average, Nepal, NPL
31.620003, 2060-2079, bcc_csm1_1_m, Jul Average, Nepal, NPL
30.430275, 2060-2079, bcc_csm1_1_m, Aug Average, Nepal, NPL
30.082872, 2060-2079, bcc_csm1_1_m, Sep Average, Nepal, NPL
28.239374, 2060-2079, bcc_csm1_1_m, Oct Average, Nepal, NPL
23.74728, 2060-2079, bcc_csm1_1_m, Nov Average, Nepal, NPL
19.69772, 2060-2079, bcc_csm1_1_m, Dec Average, Nepal, NPL
19.41564, 2060-2079, ccsm4, Jan Average, Nepal, NPL
21.064741, 2060-2079, ccsm4, Feb Average, Nepal, NPL
26.566772, 2060-2079, ccsm4, Mar Average, Nepal, NPL
33.37056, 2060-2079, ccsm4, Apr Average, Nepal, NPL
38.31698, 2060-2079, ccsm4, May Average, Nepal, NPL
35.126614, 2060-2079, ccsm4, Jun Average, Nepal, NPL
29.494883, 2060-2079, ccsm4, Jul Average, Nepal, NPL
29.000689, 2060-2079, ccsm4, Aug Average, Nepal, NPL
28.218132, 2060-2079, ccsm4, Sep Average, Nepal, NPL
26.545414, 2060-2079, ccsm4, Oct Average, Nepal, NPL
23.938358, 2060-2079, ccsm4, Nov Average, Nepal, NPL
20.999928, 2060-2079, ccsm4, Dec Average, Nepal, NPL
20.266113, 2060-2079, cesm1_cam5, Jan Average, Nepal, NPL
23.274496, 2060-2079, cesm1_cam5, Feb Average, Nepal, NPL
28.754362, 2060-2079, cesm1_cam5, Mar Average, Nepal, NPL
33.82947, 2060-2079, cesm1_cam5, Apr Average, Nepal, NPL
34.3628, 2060-2079, cesm1_cam5, May Average, Nepal, NPL
32.443256, 2060-2079, cesm1_cam5, Jun Average, Nepal, NPL
28.591558, 2060-2079, cesm1_cam5, Jul Average, Nepal, NPL
27.922468, 2060-2079, cesm1_cam5, Aug Average, Nepal, NPL
27.850098, 2060-2079, cesm1_cam5, Sep Average, Nepal, NPL
26.55748, 2060-2079, cesm1_cam5, Oct Average, Nepal, NPL
24.180122, 2060-2079, cesm1_cam5, Nov Average, Nepal, NPL
21.230864, 2060-2079, cesm1_cam5, Dec Average, Nepal, NPL
16.089386, 2060-2079, csiro_mk3_6_0, Jan Average, Nepal, NPL
19.02185, 2060-2079, csiro_mk3_6_0, Feb Average, Nepal, NPL
24.131159, 2060-2079, csiro_mk3_6_0, Mar Average, Nepal, NPL
30.40082, 2060-2079, csiro_mk3_6_0, Apr Average, Nepal, NPL
36.081337, 2060-2079, csiro_mk3_6_0, May Average, Nepal, NPL
38.479168, 2060-2079, csiro_mk3_6_0, Jun Average, Nepal, NPL
34.785503, 2060-2079, csiro_mk3_6_0, Jul Average, Nepal, NPL
31.516708, 2060-2079, csiro_mk3_6_0, Aug Average, Nepal, NPL
28.534916, 2060-2079, csiro_mk3_6_0, Sep Average, Nepal, NPL
25.453253, 2060-2079, csiro_mk3_6_0, Oct Average, Nepal, NPL
21.598074, 2060-2079, csiro_mk3_6_0, Nov Average, Nepal, NPL
16.915241, 2060-2079, csiro_mk3_6_0, Dec Average, Nepal, NPL
12.138578, 2060-2079, fio_esm, Jan Average, Nepal, NPL
14.34486, 2060-2079, fio_esm, Feb Average, Nepal, NPL
18.464, 2060-2079, fio_esm, Mar Average, Nepal, NPL
23.61875, 2060-2079, fio_esm, Apr Average, Nepal, NPL
27.664076, 2060-2079, fio_esm, May Average, Nepal, NPL
30.820442, 2060-2079, fio_esm, Jun Average, Nepal, NPL
27.768559, 2060-2079, fio_esm, Jul Average, Nepal, NPL
24.439089, 2060-2079, fio_esm, Aug Average, Nepal, NPL
23.084993, 2060-2079, fio_esm, Sep Average, Nepal, NPL
21.265684, 2060-2079, fio_esm, Oct Average, Nepal, NPL
16.31119, 2060-2079, fio_esm, Nov Average, Nepal, NPL
13.104618, 2060-2079, fio_esm, Dec Average, Nepal, NPL
16.398325, 2060-2079, gfdl_cm3, Jan Average, Nepal, NPL
18.655771, 2060-2079, gfdl_cm3, Feb Average, Nepal, NPL
23.63359, 2060-2079, gfdl_cm3, Mar Average, Nepal, NPL
30.238396, 2060-2079, gfdl_cm3, Apr Average, Nepal, NPL
33.600536, 2060-2079, gfdl_cm3, May Average, Nepal, NPL
32.08005, 2060-2079, gfdl_cm3, Jun Average, Nepal, NPL
27.728432, 2060-2079, gfdl_cm3, Jul Average, Nepal, NPL
27.095346, 2060-2079, gfdl_cm3, Aug Average, Nepal, NPL
26.30053, 2060-2079, gfdl_cm3, Sep Average, Nepal, NPL
24.325949, 2060-2079, gfdl_cm3, Oct Average, Nepal, NPL
20.912151, 2060-2079, gfdl_cm3, Nov Average, Nepal, NPL
17.096434, 2060-2079, gfdl_cm3, Dec Average, Nepal, NPL
12.764931, 2060-2079, gfdl_esm2m, Jan Average, Nepal, NPL
15.63878, 2060-2079, gfdl_esm2m, Feb Average, Nepal, NPL
20.489061, 2060-2079, gfdl_esm2m, Mar Average, Nepal, NPL
26.29299, 2060-2079, gfdl_esm2m, Apr Average, Nepal, NPL
31.808086, 2060-2079, gfdl_esm2m, May Average, Nepal, NPL
30.456865, 2060-2079, gfdl_esm2m, Jun Average, Nepal, NPL
26.408989, 2060-2079, gfdl_esm2m, Jul Average, Nepal, NPL
24.484627, 2060-2079, gfdl_esm2m, Aug Average, Nepal, NPL
22.506804, 2060-2079, gfdl_esm2m, Sep Average, Nepal, NPL
19.770882, 2060-2079, gfdl_esm2m, Oct Average, Nepal, NPL
15.838294, 2060-2079, gfdl_esm2m, Nov Average, Nepal, NPL
12.143776, 2060-2079, gfdl_esm2m, Dec Average, Nepal, NPL
26.11656, 2060-2079, giss_e2_h, Jan Average, Nepal, NPL
28.572073, 2060-2079, giss_e2_h, Feb Average, Nepal, NPL
32.91908, 2060-2079, giss_e2_h, Mar Average, Nepal, NPL
37.48478, 2060-2079, giss_e2_h, Apr Average, Nepal, NPL
40.52363, 2060-2079, giss_e2_h, May Average, Nepal, NPL
42.60187, 2060-2079, giss_e2_h, Jun Average, Nepal, NPL
42.302097, 2060-2079, giss_e2_h, Jul Average, Nepal, NPL
40.799026, 2060-2079, giss_e2_h, Aug Average, Nepal, NPL
39.824554, 2060-2079, giss_e2_h, Sep Average, Nepal, NPL
35.774387, 2060-2079, giss_e2_h, Oct Average, Nepal, NPL
30.450138, 2060-2079, giss_e2_h, Nov Average, Nepal, NPL
26.259125, 2060-2079, giss_e2_h, Dec Average, Nepal, NPL
26.931105, 2060-2079, giss_e2_r, Jan Average, Nepal, NPL
29.71397, 2060-2079, giss_e2_r, Feb Average, Nepal, NPL
33.833553, 2060-2079, giss_e2_r, Mar Average, Nepal, NPL
38.344536, 2060-2079, giss_e2_r, Apr Average, Nepal, NPL
41.416786, 2060-2079, giss_e2_r, May Average, Nepal, NPL
43.205517, 2060-2079, giss_e2_r, Jun Average, Nepal, NPL
43.46177, 2060-2079, giss_e2_r, Jul Average, Nepal, NPL
41.193237, 2060-2079, giss_e2_r, Aug Average, Nepal, NPL
39.946377, 2060-2079, giss_e2_r, Sep Average, Nepal, NPL
36.106037, 2060-2079, giss_e2_r, Oct Average, Nepal, NPL
31.165901, 2060-2079, giss_e2_r, Nov Average, Nepal, NPL
27.292614, 2060-2079, giss_e2_r, Dec Average, Nepal, NPL
23.0469, 2060-2079, ipsl_cm5a_mr, Jan Average, Nepal, NPL
26.49729, 2060-2079, ipsl_cm5a_mr, Feb Average, Nepal, NPL
31.382938, 2060-2079, ipsl_cm5a_mr, Mar Average, Nepal, NPL
35.7636, 2060-2079, ipsl_cm5a_mr, Apr Average, Nepal, NPL
37.783558, 2060-2079, ipsl_cm5a_mr, May Average, Nepal, NPL
38.475456, 2060-2079, ipsl_cm5a_mr, Jun Average, Nepal, NPL
38.576126, 2060-2079, ipsl_cm5a_mr, Jul Average, Nepal, NPL
35.79324, 2060-2079, ipsl_cm5a_mr, Aug Average, Nepal, NPL
34.205044, 2060-2079, ipsl_cm5a_mr, Sep Average, Nepal, NPL
31.914974, 2060-2079, ipsl_cm5a_mr, Oct Average, Nepal, NPL
27.764465, 2060-2079, ipsl_cm5a_mr, Nov Average, Nepal, NPL
23.624826, 2060-2079, ipsl_cm5a_mr, Dec Average, Nepal, NPL
11.956261, 2060-2079, miroc_esm, Jan Average, Nepal, NPL
14.626707, 2060-2079, miroc_esm, Feb Average, Nepal, NPL
19.264093, 2060-2079, miroc_esm, Mar Average, Nepal, NPL
24.656252, 2060-2079, miroc_esm, Apr Average, Nepal, NPL
27.983305, 2060-2079, miroc_esm, May Average, Nepal, NPL
25.190203, 2060-2079, miroc_esm, Jun Average, Nepal, NPL
21.825651, 2060-2079, miroc_esm, Jul Average, Nepal, NPL
20.881086, 2060-2079, miroc_esm, Aug Average, Nepal, NPL
22.109148, 2060-2079, miroc_esm, Sep Average, Nepal, NPL
21.4169, 2060-2079, miroc_esm, Oct Average, Nepal, NPL
16.50641, 2060-2079, miroc_esm, Nov Average, Nepal, NPL
12.572416, 2060-2079, miroc_esm, Dec Average, Nepal, NPL
