Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
2.2731943, 2040-2059, bcc_csm1_1, Jan Anomaly, Nepal, NPL
0.9839729, 2040-2059, bcc_csm1_1, Feb Anomaly, Nepal, NPL
1.3757044, 2040-2059, bcc_csm1_1, Mar Anomaly, Nepal, NPL
2.4408882, 2040-2059, bcc_csm1_1, Apr Anomaly, Nepal, NPL
1.7604698, 2040-2059, bcc_csm1_1, May Anomaly, Nepal, NPL
1.0926789, 2040-2059, bcc_csm1_1, Jun Anomaly, Nepal, NPL
0.32420635, 2040-2059, bcc_csm1_1, Jul Anomaly, Nepal, NPL
0.31063652, 2040-2059, bcc_csm1_1, Aug Anomaly, Nepal, NPL
0.57119244, 2040-2059, bcc_csm1_1, Sep Anomaly, Nepal, NPL
1.7627205, 2040-2059, bcc_csm1_1, Oct Anomaly, Nepal, NPL
0.66773605, 2040-2059, bcc_csm1_1, Nov Anomaly, Nepal, NPL
1.7565342, 2040-2059, bcc_csm1_1, Dec Anomaly, Nepal, NPL
1.8204821, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
1.1410917, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
2.6612122, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
2.7307105, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
2.6501927, 2040-2059, bcc_csm1_1_m, May Anomaly, Nepal, NPL
0.684412, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
1.1339942, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
1.5928513, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
1.1526225, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
1.1087886, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
1.7632908, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
2.885216, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
1.7919706, 2040-2059, ccsm4, Jan Anomaly, Nepal, NPL
1.5607905, 2040-2059, ccsm4, Feb Anomaly, Nepal, NPL
2.3478081, 2040-2059, ccsm4, Mar Anomaly, Nepal, NPL
1.575538, 2040-2059, ccsm4, Apr Anomaly, Nepal, NPL
1.2574176, 2040-2059, ccsm4, May Anomaly, Nepal, NPL
1.8861421, 2040-2059, ccsm4, Jun Anomaly, Nepal, NPL
1.0123545, 2040-2059, ccsm4, Jul Anomaly, Nepal, NPL
1.0659577, 2040-2059, ccsm4, Aug Anomaly, Nepal, NPL
1.2901331, 2040-2059, ccsm4, Sep Anomaly, Nepal, NPL
1.0126609, 2040-2059, ccsm4, Oct Anomaly, Nepal, NPL
1.4385744, 2040-2059, ccsm4, Nov Anomaly, Nepal, NPL
1.9897734, 2040-2059, ccsm4, Dec Anomaly, Nepal, NPL
2.2165673, 2040-2059, cesm1_cam5, Jan Anomaly, Nepal, NPL
2.5021172, 2040-2059, cesm1_cam5, Feb Anomaly, Nepal, NPL
1.7603744, 2040-2059, cesm1_cam5, Mar Anomaly, Nepal, NPL
1.0991348, 2040-2059, cesm1_cam5, Apr Anomaly, Nepal, NPL
0.38144383, 2040-2059, cesm1_cam5, May Anomaly, Nepal, NPL
1.7542611, 2040-2059, cesm1_cam5, Jun Anomaly, Nepal, NPL
1.4735259, 2040-2059, cesm1_cam5, Jul Anomaly, Nepal, NPL
1.1193997, 2040-2059, cesm1_cam5, Aug Anomaly, Nepal, NPL
1.6562377, 2040-2059, cesm1_cam5, Sep Anomaly, Nepal, NPL
1.745334, 2040-2059, cesm1_cam5, Oct Anomaly, Nepal, NPL
1.568771, 2040-2059, cesm1_cam5, Nov Anomaly, Nepal, NPL
2.1453242, 2040-2059, cesm1_cam5, Dec Anomaly, Nepal, NPL
2.9354553, 2040-2059, csiro_mk3_6_0, Jan Anomaly, Nepal, NPL
3.22876, 2040-2059, csiro_mk3_6_0, Feb Anomaly, Nepal, NPL
2.5808673, 2040-2059, csiro_mk3_6_0, Mar Anomaly, Nepal, NPL
2.3865454, 2040-2059, csiro_mk3_6_0, Apr Anomaly, Nepal, NPL
2.2053542, 2040-2059, csiro_mk3_6_0, May Anomaly, Nepal, NPL
2.0876281, 2040-2059, csiro_mk3_6_0, Jun Anomaly, Nepal, NPL
1.3663121, 2040-2059, csiro_mk3_6_0, Jul Anomaly, Nepal, NPL
0.9775565, 2040-2059, csiro_mk3_6_0, Aug Anomaly, Nepal, NPL
0.46945748, 2040-2059, csiro_mk3_6_0, Sep Anomaly, Nepal, NPL
0.7050623, 2040-2059, csiro_mk3_6_0, Oct Anomaly, Nepal, NPL
1.9023362, 2040-2059, csiro_mk3_6_0, Nov Anomaly, Nepal, NPL
2.7193983, 2040-2059, csiro_mk3_6_0, Dec Anomaly, Nepal, NPL
