Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
0.18342, 2060-2079, access1_0, Mar Anomaly, NPL
1.59356, 2060-2079, access1_0, Apr Anomaly, NPL
3.23952, 2060-2079, access1_0, May Anomaly, NPL
4.05497, 2060-2079, access1_0, Jun Anomaly, NPL
2.30045, 2060-2079, access1_0, Jul Anomaly, NPL
2.76768, 2060-2079, access1_0, Aug Anomaly, NPL
4.98545, 2060-2079, access1_0, Sep Anomaly, NPL
1.43032, 2060-2079, access1_0, Oct Anomaly, NPL
0.04151, 2060-2079, access1_0, Nov Anomaly, NPL
2.4E-4, 2060-2079, access1_3, Feb Anomaly, NPL
0.07761, 2060-2079, access1_3, Mar Anomaly, NPL
1.48637, 2060-2079, access1_3, Apr Anomaly, NPL
4.001, 2060-2079, access1_3, May Anomaly, NPL
4.13552, 2060-2079, access1_3, Jun Anomaly, NPL
1.72351, 2060-2079, access1_3, Jul Anomaly, NPL
1.38048, 2060-2079, access1_3, Aug Anomaly, NPL
4.78053, 2060-2079, access1_3, Sep Anomaly, NPL
1.72497, 2060-2079, access1_3, Oct Anomaly, NPL
0.11193, 2060-2079, access1_3, Nov Anomaly, NPL
0.01712, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.57657, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
2.05981, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
3.36014, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.90292, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
3.48047, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
3.35352, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
2.12443, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.49775, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.44466, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
7.2E-4, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.00252, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.11361, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.64499, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
3.48534, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.7604, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
0.59529, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
2.50172, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
3.90148, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
1.91153, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.51787, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.02008, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
9.2E-4, 2060-2079, bnu_esm, Feb Anomaly, NPL
0.20399, 2060-2079, bnu_esm, Mar Anomaly, NPL
