Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
0.01122, 2060-2079, access1_0, Feb Anomaly, NPL
0.73107, 2060-2079, access1_0, Mar Anomaly, NPL
3.01789, 2060-2079, access1_0, Apr Anomaly, NPL
5.6284, 2060-2079, access1_0, May Anomaly, NPL
4.92345, 2060-2079, access1_0, Jun Anomaly, NPL
2.43416, 2060-2079, access1_0, Jul Anomaly, NPL
2.81372, 2060-2079, access1_0, Aug Anomaly, NPL
6.45879, 2060-2079, access1_0, Sep Anomaly, NPL
2.64658, 2060-2079, access1_0, Oct Anomaly, NPL
0.12638, 2060-2079, access1_0, Nov Anomaly, NPL
0.00365, 2060-2079, access1_3, Feb Anomaly, NPL
0.2879, 2060-2079, access1_3, Mar Anomaly, NPL
2.02765, 2060-2079, access1_3, Apr Anomaly, NPL
5.51977, 2060-2079, access1_3, May Anomaly, NPL
4.41961, 2060-2079, access1_3, Jun Anomaly, NPL
1.75072, 2060-2079, access1_3, Jul Anomaly, NPL
1.39074, 2060-2079, access1_3, Aug Anomaly, NPL
4.98969, 2060-2079, access1_3, Sep Anomaly, NPL
2.82825, 2060-2079, access1_3, Oct Anomaly, NPL
0.24374, 2060-2079, access1_3, Nov Anomaly, NPL
0.00165, 2060-2079, access1_3, Dec Anomaly, NPL
2.4E-4, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.00839, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.74236, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
3.5184, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
5.65173, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
3.87896, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
5.16705, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
6.21631, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
4.5027, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
3.40114, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.85493, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.02646, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.00733, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.0173, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.39929, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
3.03638, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
5.28572, 2060-2079, bcc_csm1_1, May Anomaly, NPL
3.07498, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.8233, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
3.82208, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
6.93483, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
4.02241, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
