Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
2.4E-4, 2080-2099, access1_0, Feb Anomaly, NPL
0.37198, 2080-2099, access1_0, Mar Anomaly, NPL
1.77359, 2080-2099, access1_0, Apr Anomaly, NPL
3.75871, 2080-2099, access1_0, May Anomaly, NPL
4.46453, 2080-2099, access1_0, Jun Anomaly, NPL
2.39841, 2080-2099, access1_0, Jul Anomaly, NPL
2.78083, 2080-2099, access1_0, Aug Anomaly, NPL
5.5545, 2080-2099, access1_0, Sep Anomaly, NPL
2.24734, 2080-2099, access1_0, Oct Anomaly, NPL
0.08569, 2080-2099, access1_0, Nov Anomaly, NPL
0.00161, 2080-2099, access1_3, Feb Anomaly, NPL
0.18374, 2080-2099, access1_3, Mar Anomaly, NPL
1.39065, 2080-2099, access1_3, Apr Anomaly, NPL
4.48235, 2080-2099, access1_3, May Anomaly, NPL
4.60672, 2080-2099, access1_3, Jun Anomaly, NPL
1.74114, 2080-2099, access1_3, Jul Anomaly, NPL
1.38048, 2080-2099, access1_3, Aug Anomaly, NPL
5.58307, 2080-2099, access1_3, Sep Anomaly, NPL
2.74581, 2080-2099, access1_3, Oct Anomaly, NPL
0.16872, 2080-2099, access1_3, Nov Anomaly, NPL
3.7E-4, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0022, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
0.38976, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
2.06192, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
3.32129, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
3.08446, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
3.51998, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
4.29839, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
2.60336, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
1.64466, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.53359, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.00738, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
0.0023, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.0061, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
0.18486, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
2.11715, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
4.11538, 2080-2099, bcc_csm1_1, May Anomaly, NPL
1.93595, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
1.06117, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
3.05729, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
3.79095, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
2.51091, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.56521, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.01347, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
1.7E-4, 2080-2099, bnu_esm, Feb Anomaly, NPL
0.13901, 2080-2099, bnu_esm, Mar Anomaly, NPL
1.0956, 2080-2099, bnu_esm, Apr Anomaly, NPL
4.15769, 2080-2099, bnu_esm, May Anomaly, NPL
2.38583, 2080-2099, bnu_esm, Jun Anomaly, NPL
1.2889, 2080-2099, bnu_esm, Jul Anomaly, NPL
1.34229, 2080-2099, bnu_esm, Aug Anomaly, NPL
4.75873, 2080-2099, bnu_esm, Sep Anomaly, NPL
3.92996, 2080-2099, bnu_esm, Oct Anomaly, NPL
0.20756, 2080-2099, bnu_esm, Nov Anomaly, NPL
3.7E-4, 2080-2099, bnu_esm, Dec Anomaly, NPL
0.00472, 2080-2099, canesm2, Jan Anomaly, NPL
0.02296, 2080-2099, canesm2, Feb Anomaly, NPL
0.31223, 2080-2099, canesm2, Mar Anomaly, NPL
1.92293, 2080-2099, canesm2, Apr Anomaly, NPL
5.04861, 2080-2099, canesm2, May Anomaly, NPL
3.04317, 2080-2099, canesm2, Jun Anomaly, NPL
2.79868, 2080-2099, canesm2, Jul Anomaly, NPL
3.1362, 2080-2099, canesm2, Aug Anomaly, NPL
3.281, 2080-2099, canesm2, Sep Anomaly, NPL
5.11799, 2080-2099, canesm2, Oct Anomaly, NPL
0.45993, 2080-2099, canesm2, Nov Anomaly, NPL
0.01729, 2080-2099, canesm2, Dec Anomaly, NPL
0.28653, 2080-2099, ccsm4, Mar Anomaly, NPL
2.30946, 2080-2099, ccsm4, Apr Anomaly, NPL
3.15842, 2080-2099, ccsm4, May Anomaly, NPL
2.93675, 2080-2099, ccsm4, Jun Anomaly, NPL
2.80214, 2080-2099, ccsm4, Jul Anomaly, NPL
3.47619, 2080-2099, ccsm4, Aug Anomaly, NPL
3.27795, 2080-2099, ccsm4, Sep Anomaly, NPL
0.95896, 2080-2099, ccsm4, Oct Anomaly, NPL
0.02829, 2080-2099, ccsm4, Nov Anomaly, NPL
3.7E-4, 2080-2099, ccsm4, Dec Anomaly, NPL
0.29381, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
1.81488, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
3.2846, 2080-2099, cesm1_bgc, May Anomaly, NPL
2.71059, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
3.01099, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
2.58893, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
4.47026, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
1.0006, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
0.03994, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-0.0017, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
0.00236, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
0.00327, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
0.77184, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
2.28485, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
4.99982, 2080-2099, cesm1_cam5, May Anomaly, NPL
3.11843, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
3.00369, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
2.96305, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
4.7142, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
2.86372, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
0.21827, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
0.01297, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-3.0E-4, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
0.00553, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
0.49331, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
2.10366, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
4.9629, 2080-2099, cnrm_cm5, May Anomaly, NPL
2.65147, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
2.3219, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
2.29663, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
3.64885, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
2.20514, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
-0.0027, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
0.00322, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
0.00468, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
0.30024, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
2.93227, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
5.93628, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
2.0632, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
0.98819, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
1.81375, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
6.63712, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
2.81601, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
0.26431, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
0.01667, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
6.2E-4, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
0.08618, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
1.30673, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
3.78959, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
6.2594, 2080-2099, gfdl_cm3, May Anomaly, NPL
5.50813, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
