Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
3.7E-4, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.00629, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.40577, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
1.52203, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
3.44129, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
2.76281, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
3.13294, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
2.48755, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.1939, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.43606, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.21321, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
3.7E-4, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-2.0E-4, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.00411, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.0137, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.86102, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.74335, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.3174, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.4888, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
2.16449, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
2.68082, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.25758, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.33285, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.006, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.34874, 2040-2059, ccsm4, Mar Anomaly, NPL
2.63808, 2040-2059, ccsm4, Apr Anomaly, NPL
4.84135, 2040-2059, ccsm4, May Anomaly, NPL
3.36971, 2040-2059, ccsm4, Jun Anomaly, NPL
2.75301, 2040-2059, ccsm4, Jul Anomaly, NPL
3.50379, 2040-2059, ccsm4, Aug Anomaly, NPL
3.99284, 2040-2059, ccsm4, Sep Anomaly, NPL
1.23712, 2040-2059, ccsm4, Oct Anomaly, NPL
0.05133, 2040-2059, ccsm4, Nov Anomaly, NPL
0.00287, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.48853, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
1.64812, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
4.07313, 2040-2059, cesm1_cam5, May Anomaly, NPL
2.56891, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
2.16041, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
2.05238, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
4.32338, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
3.13165, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
0.12368, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
1.7E-4, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
0.03335, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
1.34211, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
3.1979, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
1.57485, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
0.24489, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
1.34558, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
3.54629, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
1.46609, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
