Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
-0.0025, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
0.13316, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
0.99027, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
2.21817, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
2.03614, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
2.24815, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
2.14356, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.97041, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.98563, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.13965, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-2.0E-4, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
4.0E-5, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
0.16065, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
1.01796, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
1.87834, 2080-2099, bcc_csm1_1, May Anomaly, NPL
1.31067, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.42668, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
1.7063, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
1.56077, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
1.15578, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.1662, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.00137, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
0.03874, 2080-2099, bnu_esm, Mar Anomaly, NPL
0.56446, 2080-2099, bnu_esm, Apr Anomaly, NPL
1.61333, 2080-2099, bnu_esm, May Anomaly, NPL
1.46826, 2080-2099, bnu_esm, Jun Anomaly, NPL
0.72569, 2080-2099, bnu_esm, Jul Anomaly, NPL
0.7784, 2080-2099, bnu_esm, Aug Anomaly, NPL
3.37859, 2080-2099, bnu_esm, Sep Anomaly, NPL
2.0561, 2080-2099, bnu_esm, Oct Anomaly, NPL
0.0985, 2080-2099, bnu_esm, Nov Anomaly, NPL
-0.0012, 2080-2099, bnu_esm, Dec Anomaly, NPL
0.0115, 2080-2099, canesm2, Jan Anomaly, NPL
0.00263, 2080-2099, canesm2, Feb Anomaly, NPL
0.05906, 2080-2099, canesm2, Mar Anomaly, NPL
0.47692, 2080-2099, canesm2, Apr Anomaly, NPL
2.13769, 2080-2099, canesm2, May Anomaly, NPL
1.7412, 2080-2099, canesm2, Jun Anomaly, NPL
1.73893, 2080-2099, canesm2, Jul Anomaly, NPL
2.27996, 2080-2099, canesm2, Aug Anomaly, NPL
2.04227, 2080-2099, canesm2, Sep Anomaly, NPL
2.99796, 2080-2099, canesm2, Oct Anomaly, NPL
0.24929, 2080-2099, canesm2, Nov Anomaly, NPL
0.06, 2080-2099, canesm2, Dec Anomaly, NPL
0.00198, 2080-2099, ccsm4, Feb Anomaly, NPL
0.10985, 2080-2099, ccsm4, Mar Anomaly, NPL
1.38344, 2080-2099, ccsm4, Apr Anomaly, NPL
3.82355, 2080-2099, ccsm4, May Anomaly, NPL
2.39297, 2080-2099, ccsm4, Jun Anomaly, NPL
1.93872, 2080-2099, ccsm4, Jul Anomaly, NPL
2.43648, 2080-2099, ccsm4, Aug Anomaly, NPL
2.08618, 2080-2099, ccsm4, Sep Anomaly, NPL
0.74173, 2080-2099, ccsm4, Oct Anomaly, NPL
0.07206, 2080-2099, ccsm4, Nov Anomaly, NPL
0.00148, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
0.23216, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
1.3537, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
2.62369, 2080-2099, cesm1_cam5, May Anomaly, NPL
2.29272, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
1.85101, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
1.92751, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
3.54963, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
2.44194, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
0.10841, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
5.6E-4, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
4.7E-4, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
0.013, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
0.27717, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
1.41619, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
3.11163, 2080-2099, cnrm_cm5, May Anomaly, NPL
1.33966, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
1.57944, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
1.43643, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
2.62863, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
0.98574, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
-0.0139, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
1.2E-4, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
1.7E-4, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
0.04096, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
1.50864, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
3.59671, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
1.45768, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
0.29367, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
1.53888, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
3.84107, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
1.81706, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
0.06702, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
0.0018, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
0.06321, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
0.39057, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
2.30732, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
4.65187, 2080-2099, gfdl_cm3, May Anomaly, NPL
4.17063, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
3.62536, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
4.09183, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
4.99712, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
3.20791, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
0.45548, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
0.01151, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
6.4E-4, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
0.12246, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
0.42439, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
1.26693, 2080-2099, gfdl_esm2g, May Anomaly, NPL
0.66939, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
0.50151, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
-0.0084, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
0.89309, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
0.03432, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
0.02689, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
2.4E-4, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
0.00264, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
