RANKING ,TROPICAL ,SUB-TROPICAL ,TEMPRATE,SUB-ALPINE
1,Marne rog (Sheath blight),Marne rog (Sheath blight),Marne rog (Sheath blight),Marne rog(Sheath blight)
2,Dadhuwa (Blight),Gobre (Borer),Sindure rog (Rust),
3,Gobre (Borer),Dadhuwa (Blight),Dadhuwa (Blight),
4,Woilaune (Wilting),Saduwa (Root rot),Woilaune (Wilting),
5,Khair (Cutch tree)e rog (Brown disease),Pahele rog (Yellow disease),Gobre (Borer),
6,Saduwa (Root rot),Sindure rog (Rust),Saduwa (Root rot),
7,Pahele rog (Yellow disease),Woilaune (Wilting),Pahele rog (Yellow disease),
8,Raate (Leaf blight),Beruwa (Leaf roller),Maruwa (Nematode infection),
9,Kalo poke (False smut),Kalo poke (Flase smut),Marne rog (Sheath blight),
10,Sete (Hispa)                                              ,Maruwa (Nematode   ,Sukaune kira (Blast) infetion),
11,"Bali sukne/ bot sukne
(Blight)",Marne rog (Sheath blight)         ),Kirako prakop (Gundhy bug,
12,Kaal /Kalaya                                   , Kirako prakop (Gundhy bug),Khumre (white grubs),
13,Dadelo rog                                           ,Khumre (white grubs)      ,Dadelo rog,
14,Sukaune kira (Blast)                               ,Raate (Leaf blight)         ,Kalo poke (False smut),
15,Laai (Aphids)                                      ,Madhuwa (Plant hopper)  , Laai (Aphids),
