Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
0.63273, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.1013, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
1.356, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
2.50334, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
1.94423, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.57854, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.1257, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
1.11599, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.14883, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
1.36219, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
2.57479, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.3155, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
0.92013, 2020-2039, ccsm4, Jan Anomaly, NPL
0.72458, 2020-2039, ccsm4, Feb Anomaly, NPL
2.2374, 2020-2039, ccsm4, Mar Anomaly, NPL
1.86945, 2020-2039, ccsm4, Apr Anomaly, NPL
3.36255, 2020-2039, ccsm4, May Anomaly, NPL
2.11397, 2020-2039, ccsm4, Jun Anomaly, NPL
1.16242, 2020-2039, ccsm4, Jul Anomaly, NPL
0.20321, 2020-2039, ccsm4, Aug Anomaly, NPL
0.20317, 2020-2039, ccsm4, Sep Anomaly, NPL
0.94916, 2020-2039, ccsm4, Oct Anomaly, NPL
1.3174, 2020-2039, ccsm4, Nov Anomaly, NPL
0.1707, 2020-2039, ccsm4, Dec Anomaly, NPL
0.63551, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
0.48629, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.20736, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
1.44779, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
1.85453, 2020-2039, cesm1_cam5, May Anomaly, NPL
0.55582, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-0.0716, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.15111, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
0.47058, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
0.47345, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
0.60762, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
0.3195, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
-0.2343, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
1.20402, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
0.90802, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
0.75945, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
1.11513, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
0.90094, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
2.13175, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
1.253, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
0.13008, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.42886, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.28833, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
2.9415, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
1.59632, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
1.32206, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
0.92126, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
0.7161, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
2.23744, 2020-2039, gfdl_cm3, May Anomaly, NPL
2.40812, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
2.63522, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
5.20619, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
2.839, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
2.6225, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
1.58256, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
5.41386, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
-0.0514, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
-0.0473, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
0.87023, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
1.35911, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
1.0319, 2020-2039, gfdl_esm2g, May Anomaly, NPL
1.01943, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
0.08311, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
1.69839, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
0.69946, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
2.09729, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
1.85614, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
0.83735, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
0.90401, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
0.13842, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.57545, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
0.87044, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
1.21552, 2020-2039, gfdl_esm2m, May Anomaly, NPL
0.96033, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
2.37943, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
2.90711, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
1.36264, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
1.0216, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
1.04219, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
0.20812, 2020-2039, gfdl_esm2m, Dec Anomaly, NPL
0.12923, 2020-2039, hadgem2_ao, Jan Anomaly, NPL
0.03196, 2020-2039, hadgem2_ao, Feb Anomaly, NPL
0.04881, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
0.19922, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
0.46409, 2020-2039, hadgem2_ao, May Anomaly, NPL
-0.0257, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
-0.1363, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
0.01031, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
0.09207, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
0.44989, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
0.96779, 2020-2039, hadgem2_ao, Nov Anomaly, NPL
0.59978, 2020-2039, hadgem2_ao, Dec Anomaly, NPL
1.14396, 2020-2039, hadgem2_es, Jan Anomaly, NPL
0.19515, 2020-2039, hadgem2_es, Feb Anomaly, NPL
0.01241, 2020-2039, hadgem2_es, Mar Anomaly, NPL
0.57811, 2020-2039, hadgem2_es, Apr Anomaly, NPL
-0.4273, 2020-2039, hadgem2_es, May Anomaly, NPL
0.66516, 2020-2039, hadgem2_es, Jun Anomaly, NPL
0.07594, 2020-2039, hadgem2_es, Jul Anomaly, NPL
0.79191, 2020-2039, hadgem2_es, Aug Anomaly, NPL
2.09508, 2020-2039, hadgem2_es, Sep Anomaly, NPL
2.68231, 2020-2039, hadgem2_es, Oct Anomaly, NPL
2.5008, 2020-2039, hadgem2_es, Nov Anomaly, NPL
0.09882, 2020-2039, hadgem2_es, Dec Anomaly, NPL
4.08523, 2020-2039, ipsl_cm5a_lr, Jan Anomaly, NPL
1.42798, 2020-2039, ipsl_cm5a_lr, Feb Anomaly, NPL
2.00017, 2020-2039, ipsl_cm5a_lr, Mar Anomaly, NPL
3.50591, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
3.03804, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
2.88292, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
3.98067, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
2.18445, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
0.88275, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
1.77652, 2020-2039, ipsl_cm5a_lr, Oct Anomaly, NPL
3.71939, 2020-2039, ipsl_cm5a_lr, Nov Anomaly, NPL
0.86838, 2020-2039, ipsl_cm5a_lr, Dec Anomaly, NPL
1.34348, 2020-2039, ipsl_cm5a_mr, Jan Anomaly, NPL
2.30837, 2020-2039, ipsl_cm5a_mr, Feb Anomaly, NPL
0.64415, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, NPL
