Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
1.82686, 2020-2039, access1_0, Jan Anomaly, NPL
0.41, 2020-2039, access1_0, Feb Anomaly, NPL
0.43163, 2020-2039, access1_0, Mar Anomaly, NPL
0.01974, 2020-2039, access1_0, Apr Anomaly, NPL
0.28491, 2020-2039, access1_0, May Anomaly, NPL
0.10774, 2020-2039, access1_0, Jun Anomaly, NPL
0.36904, 2020-2039, access1_0, Jul Anomaly, NPL
0.71051, 2020-2039, access1_0, Aug Anomaly, NPL
1.46354, 2020-2039, access1_0, Sep Anomaly, NPL
2.60549, 2020-2039, access1_0, Oct Anomaly, NPL
3.58772, 2020-2039, access1_0, Nov Anomaly, NPL
3.13504, 2020-2039, access1_0, Dec Anomaly, NPL
1.6293, 2020-2039, access1_3, Jan Anomaly, NPL
0.55781, 2020-2039, access1_3, Feb Anomaly, NPL
1.15206, 2020-2039, access1_3, Mar Anomaly, NPL
1.08007, 2020-2039, access1_3, Apr Anomaly, NPL
-0.0255, 2020-2039, access1_3, May Anomaly, NPL
0.30565, 2020-2039, access1_3, Jun Anomaly, NPL
0.29361, 2020-2039, access1_3, Jul Anomaly, NPL
0.09752, 2020-2039, access1_3, Aug Anomaly, NPL
0.24848, 2020-2039, access1_3, Sep Anomaly, NPL
1.04161, 2020-2039, access1_3, Oct Anomaly, NPL
0.82983, 2020-2039, access1_3, Nov Anomaly, NPL
1.32317, 2020-2039, access1_3, Dec Anomaly, NPL
1.61698, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
0.54505, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
1.00555, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
2.47591, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
2.44148, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.63519, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.58011, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.18305, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.29627, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
1.16274, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.96543, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.65291, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
2.83677, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
1.56111, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
0.51974, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
1.22117, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.41627, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.74351, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.66393, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.39742, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
1.62113, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
3.26292, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
1.17584, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
1.43106, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
4.6054, 2020-2039, bnu_esm, Jan Anomaly, NPL
1.90566, 2020-2039, bnu_esm, Feb Anomaly, NPL
2.79471, 2020-2039, bnu_esm, Mar Anomaly, NPL
2.25169, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.33106, 2020-2039, bnu_esm, May Anomaly, NPL
1.88735, 2020-2039, bnu_esm, Jun Anomaly, NPL
2.49444, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.59855, 2020-2039, bnu_esm, Aug Anomaly, NPL
1.04226, 2020-2039, bnu_esm, Sep Anomaly, NPL
1.08612, 2020-2039, bnu_esm, Oct Anomaly, NPL
1.44177, 2020-2039, bnu_esm, Nov Anomaly, NPL
2.23552, 2020-2039, bnu_esm, Dec Anomaly, NPL
3.08128, 2020-2039, canesm2, Jan Anomaly, NPL
1.04857, 2020-2039, canesm2, Feb Anomaly, NPL
2.96977, 2020-2039, canesm2, Mar Anomaly, NPL
1.89367, 2020-2039, canesm2, Apr Anomaly, NPL
4.82834, 2020-2039, canesm2, May Anomaly, NPL
3.92903, 2020-2039, canesm2, Jun Anomaly, NPL
1.29751, 2020-2039, canesm2, Jul Anomaly, NPL
-0.4886, 2020-2039, canesm2, Aug Anomaly, NPL
1.04117, 2020-2039, canesm2, Sep Anomaly, NPL
0.99315, 2020-2039, canesm2, Oct Anomaly, NPL
1.58353, 2020-2039, canesm2, Nov Anomaly, NPL
3.10695, 2020-2039, canesm2, Dec Anomaly, NPL
2.40495, 2020-2039, ccsm4, Jan Anomaly, NPL
0.78453, 2020-2039, ccsm4, Feb Anomaly, NPL
2.33336, 2020-2039, ccsm4, Mar Anomaly, NPL
4.45096, 2020-2039, ccsm4, Apr Anomaly, NPL
3.20847, 2020-2039, ccsm4, May Anomaly, NPL
0.89498, 2020-2039, ccsm4, Jun Anomaly, NPL
1.40951, 2020-2039, ccsm4, Jul Anomaly, NPL
0.51788, 2020-2039, ccsm4, Aug Anomaly, NPL
0.16342, 2020-2039, ccsm4, Sep Anomaly, NPL
0.53912, 2020-2039, ccsm4, Oct Anomaly, NPL
1.03024, 2020-2039, ccsm4, Nov Anomaly, NPL
0.50072, 2020-2039, ccsm4, Dec Anomaly, NPL
0.6559, 2020-2039, cesm1_bgc, Jan Anomaly, NPL
0.06272, 2020-2039, cesm1_bgc, Feb Anomaly, NPL
0.80741, 2020-2039, cesm1_bgc, Mar Anomaly, NPL
0.55274, 2020-2039, cesm1_bgc, Apr Anomaly, NPL
1.77929, 2020-2039, cesm1_bgc, May Anomaly, NPL
1.82588, 2020-2039, cesm1_bgc, Jun Anomaly, NPL
0.95155, 2020-2039, cesm1_bgc, Jul Anomaly, NPL
0.21278, 2020-2039, cesm1_bgc, Aug Anomaly, NPL
0.90824, 2020-2039, cesm1_bgc, Sep Anomaly, NPL
0.22814, 2020-2039, cesm1_bgc, Oct Anomaly, NPL
0.21444, 2020-2039, cesm1_bgc, Nov Anomaly, NPL
0.20669, 2020-2039, cesm1_bgc, Dec Anomaly, NPL
0.46582, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
-0.001, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.07338, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
0.44163, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
0.46005, 2020-2039, cesm1_cam5, May Anomaly, NPL
0.12189, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-0.3626, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.56769, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
1.01435, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
1.63597, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
1.83921, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
0.75884, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
0.98397, 2020-2039, cmcc_cm, Jan Anomaly, NPL
1.76534, 2020-2039, cmcc_cm, Feb Anomaly, NPL
1.27668, 2020-2039, cmcc_cm, Mar Anomaly, NPL
2.2506, 2020-2039, cmcc_cm, Apr Anomaly, NPL
2.43273, 2020-2039, cmcc_cm, May Anomaly, NPL
2.04072, 2020-2039, cmcc_cm, Jun Anomaly, NPL
1.15161, 2020-2039, cmcc_cm, Jul Anomaly, NPL
0.5489, 2020-2039, cmcc_cm, Aug Anomaly, NPL
1.51674, 2020-2039, cmcc_cm, Sep Anomaly, NPL
1.08768, 2020-2039, cmcc_cm, Oct Anomaly, NPL
0.83346, 2020-2039, cmcc_cm, Nov Anomaly, NPL
0.49324, 2020-2039, cmcc_cm, Dec Anomaly, NPL
3.66898, 2020-2039, cmcc_cms, Jan Anomaly, NPL
1.28195, 2020-2039, cmcc_cms, Feb Anomaly, NPL
1.84304, 2020-2039, cmcc_cms, Mar Anomaly, NPL
1.7253, 2020-2039, cmcc_cms, Apr Anomaly, NPL
3.33544, 2020-2039, cmcc_cms, May Anomaly, NPL
4.04863, 2020-2039, cmcc_cms, Jun Anomaly, NPL
