Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
0.56534, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
0.05426, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
1.76927, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
1.8871, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
1.66956, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
1.33433, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
0.38089, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.51322, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.83717, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
1.76216, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.51155, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.01838, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
1.71911, 2080-2099, bnu_esm, Jan Anomaly, NPL
-0.214, 2080-2099, bnu_esm, Feb Anomaly, NPL
1.91923, 2080-2099, bnu_esm, Mar Anomaly, NPL
1.60584, 2080-2099, bnu_esm, Apr Anomaly, NPL
0.83614, 2080-2099, bnu_esm, May Anomaly, NPL
1.82271, 2080-2099, bnu_esm, Jun Anomaly, NPL
0.74708, 2080-2099, bnu_esm, Jul Anomaly, NPL
0.10343, 2080-2099, bnu_esm, Aug Anomaly, NPL
0.46198, 2080-2099, bnu_esm, Sep Anomaly, NPL
0.91405, 2080-2099, bnu_esm, Oct Anomaly, NPL
1.23875, 2080-2099, bnu_esm, Nov Anomaly, NPL
1.65131, 2080-2099, bnu_esm, Dec Anomaly, NPL
2.16893, 2080-2099, canesm2, Jan Anomaly, NPL
0.3619, 2080-2099, canesm2, Feb Anomaly, NPL
0.29747, 2080-2099, canesm2, Mar Anomaly, NPL
0.39514, 2080-2099, canesm2, Apr Anomaly, NPL
1.62543, 2080-2099, canesm2, May Anomaly, NPL
1.79124, 2080-2099, canesm2, Jun Anomaly, NPL
2.82679, 2080-2099, canesm2, Jul Anomaly, NPL
0.32448, 2080-2099, canesm2, Aug Anomaly, NPL
1.5539, 2080-2099, canesm2, Sep Anomaly, NPL
1.63703, 2080-2099, canesm2, Oct Anomaly, NPL
1.45871, 2080-2099, canesm2, Nov Anomaly, NPL
2.12273, 2080-2099, canesm2, Dec Anomaly, NPL
0.91302, 2080-2099, ccsm4, Jan Anomaly, NPL
0.37453, 2080-2099, ccsm4, Feb Anomaly, NPL
1.50171, 2080-2099, ccsm4, Mar Anomaly, NPL
2.30914, 2080-2099, ccsm4, Apr Anomaly, NPL
3.24505, 2080-2099, ccsm4, May Anomaly, NPL
1.55333, 2080-2099, ccsm4, Jun Anomaly, NPL
1.20569, 2080-2099, ccsm4, Jul Anomaly, NPL
0.41471, 2080-2099, ccsm4, Aug Anomaly, NPL
0.11907, 2080-2099, ccsm4, Sep Anomaly, NPL
1.09482, 2080-2099, ccsm4, Oct Anomaly, NPL
0.82176, 2080-2099, ccsm4, Nov Anomaly, NPL
