Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
1.31157, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
1.32423, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
5.17737, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
4.66937, 2040-2059, cesm1_cam5, May Anomaly, NPL
2.10315, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
0.58436, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
1.11087, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
2.30668, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
5.5486, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
5.74536, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
1.61339, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
3.19189, 2040-2059, cmcc_cm, Jan Anomaly, NPL
4.09519, 2040-2059, cmcc_cm, Feb Anomaly, NPL
2.83596, 2040-2059, cmcc_cm, Mar Anomaly, NPL
5.6216, 2040-2059, cmcc_cm, Apr Anomaly, NPL
8.80222, 2040-2059, cmcc_cm, May Anomaly, NPL
5.18865, 2040-2059, cmcc_cm, Jun Anomaly, NPL
2.72803, 2040-2059, cmcc_cm, Jul Anomaly, NPL
1.96903, 2040-2059, cmcc_cm, Aug Anomaly, NPL
2.65579, 2040-2059, cmcc_cm, Sep Anomaly, NPL
3.66116, 2040-2059, cmcc_cm, Oct Anomaly, NPL
6.23035, 2040-2059, cmcc_cm, Nov Anomaly, NPL
4.00728, 2040-2059, cmcc_cm, Dec Anomaly, NPL
7.11548, 2040-2059, cmcc_cms, Jan Anomaly, NPL
6.93238, 2040-2059, cmcc_cms, Feb Anomaly, NPL
5.10349, 2040-2059, cmcc_cms, Mar Anomaly, NPL
5.02658, 2040-2059, cmcc_cms, Apr Anomaly, NPL
8.50584, 2040-2059, cmcc_cms, May Anomaly, NPL
5.18939, 2040-2059, cmcc_cms, Jun Anomaly, NPL
3.27627, 2040-2059, cmcc_cms, Jul Anomaly, NPL
1.54057, 2040-2059, cmcc_cms, Aug Anomaly, NPL
1.54594, 2040-2059, cmcc_cms, Sep Anomaly, NPL
4.31766, 2040-2059, cmcc_cms, Oct Anomaly, NPL
4.63035, 2040-2059, cmcc_cms, Nov Anomaly, NPL
8.52922, 2040-2059, cmcc_cms, Dec Anomaly, NPL
3.40784, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
4.31117, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
2.69791, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
7.89245, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
5.78989, 2040-2059, cnrm_cm5, May Anomaly, NPL
2.66166, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
0.07382, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
0.17775, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
1.86335, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
2.59147, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
2.77898, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
2.50116, 2040-2059, cnrm_cm5, Dec Anomaly, NPL
6.104, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
5.32825, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
3.62674, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
4.62702, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
6.65017, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
8.2438, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
5.40858, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
2.1847, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
1.06597, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
3.80795, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
6.50541, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
6.66959, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
5.76502, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
4.98221, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
4.09249, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
1.77736, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
8.79772, 2040-2059, gfdl_cm3, May Anomaly, NPL
11.6098, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
12.9768, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
18.9804, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
13.2378, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
11.6525, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
7.09716, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
8.41545, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
2.47901, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
1.14596, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
3.56827, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
2.46852, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
4.94456, 2040-2059, gfdl_esm2g, May Anomaly, NPL
4.23571, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
2.46016, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
3.525, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
3.8168, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
2.98499, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
2.88228, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
5.07774, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
2.7074, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
1.10125, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
1.59566, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
2.3323, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
3.40233, 2040-2059, gfdl_esm2m, May Anomaly, NPL
2.61011, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
2.5284, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
6.34852, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
5.82124, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
3.41567, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
4.07501, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
1.70299, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
0.56302, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
0.26531, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
0.86951, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
1.30118, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
1.17628, 2040-2059, hadgem2_ao, May Anomaly, NPL
1.37052, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
-0.0665, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
0.6065, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
1.46094, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
2.84518, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
5.26712, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
3.71587, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
3.84886, 2040-2059, hadgem2_cc, Jan Anomaly, NPL
3.6621, 2040-2059, hadgem2_cc, Feb Anomaly, NPL
2.10651, 2040-2059, hadgem2_cc, Mar Anomaly, NPL
1.20779, 2040-2059, hadgem2_cc, Apr Anomaly, NPL
3.66617, 2040-2059, hadgem2_cc, May Anomaly, NPL
4.67119, 2040-2059, hadgem2_cc, Jun Anomaly, NPL
0.54743, 2040-2059, hadgem2_cc, Jul Anomaly, NPL
1.68079, 2040-2059, hadgem2_cc, Aug Anomaly, NPL
5.56235, 2040-2059, hadgem2_cc, Sep Anomaly, NPL
10.6949, 2040-2059, hadgem2_cc, Oct Anomaly, NPL
13.4567, 2040-2059, hadgem2_cc, Nov Anomaly, NPL
