Expected Daily Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
31.733, 2080-2099, access1_0, Annual Anomaly, NPL
47.9211, 2080-2099, access1_3, Annual Anomaly, NPL
29.3087, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
34.335, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
24.1532, 2080-2099, bnu_esm, Annual Anomaly, NPL
58.2506, 2080-2099, canesm2, Annual Anomaly, NPL
69.3565, 2080-2099, ccsm4, Annual Anomaly, NPL
53.9386, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
115.49, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
3.96636, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
102.597, 2080-2099, cmcc_cm, Annual Anomaly, NPL
10.873, 2080-2099, cmcc_cms, Annual Anomaly, NPL
25.5885, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
8.21435, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
45.2918, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
33.8918, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
27.4462, 2080-2099, hadgem2_es, Annual Anomaly, NPL
3.43553, 2080-2099, inmcm4, Annual Anomaly, NPL
16.2824, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
62.9031, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
13.9682, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
50.967, 2080-2099, miroc5, Annual Anomaly, NPL
23.5015, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
14.2753, 2080-2099, miroc_esm, Annual Anomaly, NPL
14.6615, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
18.824, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
29.8905, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
44.8672, 2080-2099, mri_esm1, Annual Anomaly, NPL
45.8373, 2080-2099, noresm1_m, Annual Anomaly, NPL
-30.233, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
34.9439, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
185.928, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
