Expected Daily Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
16.5324, 2080-2099, access1_0, Annual Anomaly, NPL
23.1039, 2080-2099, access1_3, Annual Anomaly, NPL
12.5568, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
14.7481, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
10.6591, 2080-2099, bnu_esm, Annual Anomaly, NPL
34.9417, 2080-2099, canesm2, Annual Anomaly, NPL
49.3742, 2080-2099, ccsm4, Annual Anomaly, NPL
18.493, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
74.5631, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
6.31975, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
4.3418, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
15.2464, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
19.9027, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
3.34924, 2080-2099, inmcm4, Annual Anomaly, NPL
10.517, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
25.0356, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
1.89152, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
19.9436, 2080-2099, miroc5, Annual Anomaly, NPL
9.70201, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
2.62028, 2080-2099, miroc_esm, Annual Anomaly, NPL
0.98984, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
10.7768, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
16.6458, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
19.6955, 2080-2099, noresm1_m, Annual Anomaly, NPL
-36.427, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
11.47, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
153.477, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
