Expected Daily Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
0.22925, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
16.174, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
6.84134, 2040-2059, bnu_esm, Annual Anomaly, NPL
28.4412, 2040-2059, canesm2, Annual Anomaly, NPL
29.8216, 2040-2059, ccsm4, Annual Anomaly, NPL
28.5411, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
12.8923, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
1.30072, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
17.477, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
2.6923, 2040-2059, hadgem2_es, Annual Anomaly, NPL
1.63643, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
19.4631, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
9.46902, 2040-2059, miroc5, Annual Anomaly, NPL
5.75859, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
8.04699, 2040-2059, miroc_esm, Annual Anomaly, NPL
4.04071, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
0.81702, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
11.5112, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
11.8775, 2040-2059, noresm1_m, Annual Anomaly, NPL
-35.568, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
16.4717, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
132.194, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
