YEAR,MONTH,DAY,TAVG
1971,1,1,10.55
1971,1,2,11.95
1971,1,3,10.6
1971,1,4,11.3
1971,1,5,11.05
1971,1,6,10.3
1971,1,7,10
1971,1,8,10.9
1971,1,9,10.15
1971,1,10,10.1
1971,1,11,10.7
1971,1,12,11.4
1971,1,13,9.25
1971,1,14,9.55
1971,1,15,10
1971,1,16,12.05
1971,1,17,9.3
1971,1,18,8.65
1971,1,19,8.4
1971,1,20,8.2
1971,1,21,7.35
1971,1,22,9.8
1971,1,23,8.6
1971,1,24,7.6
1971,1,25,6.55
1971,1,26,11.5
1971,1,27,9.45
1971,1,28,10.15
1971,1,29,9.1
1971,1,30,8.05
1971,1,31,8
1971,2,1,8.15
1971,2,2,8.55
1971,2,3,9.2
1971,2,4,9.65
1971,2,5,8.95
1971,2,6,9.35
1971,2,7,8.2
1971,2,8,9.25
1971,2,9,9.2
1971,2,10,9.65
1971,2,11,11.2
1971,2,12,10.3
1971,2,13,10.05
1971,2,14,9.45
1971,2,15,11.5
1971,2,16,12.95
1971,2,17,12.7
1971,2,18,12.65
1971,2,19,13.05
1971,2,20,12.5
1971,2,21,12.75
1971,2,22,12.65
1971,2,23,12.7
1971,2,24,12.15
1971,2,25,12.2
1971,2,26,12.25
1971,2,27,13.1
1971,2,28,11.15
1971,3,1,9.6
1971,3,2,11.4
1971,3,3,12.35
1971,3,4,10.2
1971,3,5,9.35
1971,3,6,11.7
1971,3,7,12.5
1971,3,8,13.9
1971,3,9,14.6
1971,3,10,15.6
1971,3,11,16.6
1971,3,12,16.6
1971,3,13,16.5
1971,3,14,15.55
1971,3,15,14.5
1971,3,16,14.7
1971,3,17,16.6
1971,3,18,17.55
1971,3,19,17.3
1971,3,20,15.85
1971,3,21,17.1
1971,3,22,18.55
1971,3,23,17.1
1971,3,24,18.5
1971,3,25,19.4
1971,3,26,19.8
1971,3,27,20.2
1971,3,28,19.2
1971,3,29,18.55
1971,3,30,16.95
1971,3,31,17.65
1971,4,1,18.5
1971,4,2,17.5
1971,4,3,18.4
1971,4,4,19.55
1971,4,5,19.45
1971,4,6,18.05
1971,4,7,16.7
1971,4,8,20.75
1971,4,9,21.7
1971,4,10,17.9
1971,4,11,19.05
1971,4,12,16.7
1971,4,13,18.3
1971,4,14,16.75
1971,4,15,18.5
1971,4,16,17.3
1971,4,17,17.35
1971,4,18,16
1971,4,19,16
1971,4,20,15.35
1971,4,21,12.95
1971,4,22,15.1
1971,4,23,16.95
1971,4,24,17.25
1971,4,25,17.65
1971,4,26,19.2
1971,4,27,19.85
1971,4,28,20.9
1971,4,29,18.8
1971,4,30,17.9
1971,5,1,18
1971,5,2,19.5
1971,5,3,19.45
1971,5,4,19.6
1971,5,5,18.9
1971,5,6,20.3
1971,5,7,18.1
1971,5,8,18.6
1971,5,9,18.3
1971,5,10,20.35
1971,5,11,19.4
1971,5,12,18.25
1971,5,13,19.8
1971,5,14,17.35
1971,5,15,18.65
1971,5,16,17.9
1971,5,17,18.6
1971,5,18,20.6
1971,5,19,19.15
1971,5,20,20.15
1971,5,21,20.25
1971,5,22,21.4
1971,5,23,21.7
1971,5,24,22.75
1971,5,25,22.2
1971,5,26,20.8
1971,5,27,21.75
1971,5,28,23.35
1971,5,29,23.3
1971,5,30,22.05
1971,5,31,22.4
1971,6,1,23.15
1971,6,2,22.15
1971,6,3,23.35
1971,6,4,23.15
1971,6,5,23.2
1971,6,6,23.8
1971,6,7,24.3
1971,6,8,23.2
1971,6,9,23.7
1971,6,10,23.5
1971,6,11,22.45
1971,6,12,23
1971,6,13,20.95
1971,6,14,19.9
1971,6,15,19.9
1971,6,16,20.95
1971,6,17,22.7
1971,6,18,23.45
1971,6,19,24.3
1971,6,20,23.75
1971,6,21,22.7
1971,6,22,24.05
1971,6,23,23.75
1971,6,24,22.25
1971,6,25,22.8
1971,6,26,23.65
1971,6,27,23.3
1971,6,28,22.7
1971,6,29,23.35
1971,6,30,23.4
1971,7,1,23.2
1971,7,2,23.45
1971,7,3,23.45
1971,7,4,23.95
1971,7,5,23.3
1971,7,6,22.9
1971,7,7,23.15
1971,7,8,23.55
1971,7,9,23.5
1971,7,10,21.7
1971,7,11,22.65
1971,7,12,23.5
1971,7,13,22.8
