FID,id_punto,mes,mes_etiqueta,n_period,period,pre_normal,geom
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29ba,40665,4,4,30,1930,40.95,POINT (8933389.136160204 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29bb,40666,4,4,30,1930,45.66,POINT (8989048.88155684 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29bc,40667,4,4,30,1930,47.17,POINT (9044708.626953477 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29bd,40668,4,4,30,1930,48.62,POINT (9100368.372350115 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29be,40669,4,4,30,1930,50.04,POINT (9156028.117746752 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29bf,40670,4,4,30,1930,50.41,POINT (9211687.863143386 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c0,40671,4,4,30,1930,49.78,POINT (9267347.608540025 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c1,40672,4,4,30,1930,51.08,POINT (9323007.353936663 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c2,40673,4,4,30,1930,50.5,POINT (9378667.099333297 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c3,40674,4,4,30,1930,47.64,POINT (9434326.844729934 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c4,40675,4,4,30,1930,47.64,POINT (9489986.590126572 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c5,40676,4,4,30,1930,43.03,POINT (9545646.335523209 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c6,40677,4,4,30,1930,39.58,POINT (9601306.080919845 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c7,40678,4,4,30,1930,35.05,POINT (9656965.826316481 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c8,40679,4,4,30,1930,31.44,POINT (9712625.57171312 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29c9,40680,4,4,30,1930,29.81,POINT (9768285.317109756 3471454.9819268296)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29ca,41295,4,4,30,1930,18.74,POINT (8933389.136160204 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29cb,41296,4,4,30,1930,26.08,POINT (8989048.88155684 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29cc,41297,4,4,30,1930,31.67,POINT (9044708.626953477 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29cd,41298,4,4,30,1930,45.42,POINT (9100368.372350115 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29ce,41299,4,4,30,1930,52.83,POINT (9156028.117746752 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29cf,41300,4,4,30,1930,60.06,POINT (9211687.863143386 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d0,41301,4,4,30,1930,55.42,POINT (9267347.608540025 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d1,41302,4,4,30,1930,53.76,POINT (9323007.353936663 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d2,41303,4,4,30,1930,53.07,POINT (9378667.099333297 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d3,41304,4,4,30,1930,50.61,POINT (9434326.844729934 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d4,41305,4,4,30,1930,50.61,POINT (9489986.590126572 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d5,41306,4,4,30,1930,46,POINT (9545646.335523209 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d6,41307,4,4,30,1930,43.59,POINT (9601306.080919845 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d7,41308,4,4,30,1930,39.21,POINT (9656965.826316481 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d8,41309,4,4,30,1930,37.72,POINT (9712625.57171312 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29d9,41310,4,4,30,1930,37.29,POINT (9768285.317109756 3343864.953833735)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29da,40335,4,4,30,1930,41.82,POINT (8933389.136160204 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29db,40336,4,4,30,1930,44.7,POINT (8989048.88155684 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29dc,40337,4,4,30,1930,46.23,POINT (9044708.626953477 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29dd,40338,4,4,30,1930,45.67,POINT (9100368.372350115 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29de,40339,4,4,30,1930,47.12,POINT (9156028.117746752 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29df,40340,4,4,30,1930,47.55,POINT (9211687.863143386 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e0,40341,4,4,30,1930,46.95,POINT (9267347.608540025 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e1,40342,4,4,30,1930,47.32,POINT (9323007.353936663 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e2,40343,4,4,30,1930,46.12,POINT (9378667.099333297 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e3,40344,4,4,30,1930,46.12,POINT (9434326.844729934 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e4,40345,4,4,30,1930,46.12,POINT (9489986.590126572 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e5,40346,4,4,30,1930,41.49,POINT (9545646.335523209 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e6,40347,4,4,30,1930,37.98,POINT (9601306.080919845 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e7,40348,4,4,30,1930,34.4,POINT (9656965.826316481 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e8,40349,4,4,30,1930,30.73,POINT (9712625.57171312 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29e9,40350,4,4,30,1930,27,POINT (9768285.317109756 3535725.659799159)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29ea,42530,4,4,30,1930,4.84,POINT (8933389.136160204 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29eb,42531,4,4,30,1930,4.63,POINT (8989048.88155684 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29ec,42532,4,4,30,1930,5.29,POINT (9044708.626953477 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29ed,42533,4,4,30,1930,6.14,POINT (9100368.372350115 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29ee,42534,4,4,30,1930,6.23,POINT (9156028.117746752 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29ef,42535,4,4,30,1930,8.69,POINT (9211687.863143386 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f0,42536,4,4,30,1930,13.63,POINT (9267347.608540025 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f1,42537,4,4,30,1930,19.11,POINT (9323007.353936663 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f2,42538,4,4,30,1930,25.34,POINT (9378667.099333297 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f3,42539,4,4,30,1930,30.26,POINT (9434326.844729934 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f4,42540,4,4,30,1930,32.03,POINT (9489986.590126572 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f5,42541,4,4,30,1930,35.33,POINT (9545646.335523209 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f6,42542,4,4,30,1930,40.22,POINT (9601306.080919845 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f7,42543,4,4,30,1930,48.27,POINT (9656965.826316481 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f8,42544,4,4,30,1930,57.49,POINT (9712625.57171312 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29f9,42545,4,4,30,1930,70.8,POINT (9768285.317109756 3092272.122885534)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29fa,40981,4,4,30,1930,37.72,POINT (8933389.136160204 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29fb,40982,4,4,30,1930,44.53,POINT (8989048.88155684 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29fc,40983,4,4,30,1930,49.12,POINT (9044708.626953477 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29fd,40984,4,4,30,1930,51.56,POINT (9100368.372350115 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29fe,40985,4,4,30,1930,52.93,POINT (9156028.117746752 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_29ff,40986,4,4,30,1930,53.27,POINT (9211687.863143386 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a00,40987,4,4,30,1930,51.62,POINT (9267347.608540025 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a01,40988,4,4,30,1930,50.98,POINT (9323007.353936663 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a02,40989,4,4,30,1930,52.23,POINT (9378667.099333297 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a03,40990,4,4,30,1930,49.13,POINT (9434326.844729934 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a04,40991,4,4,30,1930,48.19,POINT (9489986.590126572 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a05,40992,4,4,30,1930,44.54,POINT (9545646.335523209 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a06,40993,4,4,30,1930,40.18,POINT (9601306.080919845 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a07,40994,4,4,30,1930,37.64,POINT (9656965.826316481 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a08,40995,4,4,30,1930,34.08,POINT (9712625.57171312 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a09,40996,4,4,30,1930,31.59,POINT (9768285.317109756 3407504.076175717)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a0a,41926,4,4,30,1930,9.74,POINT (8933389.136160204 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a0b,41927,4,4,30,1930,10.45,POINT (8989048.88155684 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a0c,41928,4,4,30,1930,11.47,POINT (9044708.626953477 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a0d,41929,4,4,30,1930,14.3,POINT (9100368.372350115 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a0e,41930,4,4,30,1930,18.34,POINT (9156028.117746752 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a0f,41931,4,4,30,1930,28.8,POINT (9211687.863143386 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a10,41932,4,4,30,1930,45.51,POINT (9267347.608540025 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a11,41933,4,4,30,1930,56.41,POINT (9323007.353936663 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a12,41934,4,4,30,1930,64.17,POINT (9378667.099333297 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a13,41935,4,4,30,1930,70.8,POINT (9434326.844729934 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a14,41936,4,4,30,1930,65.43,POINT (9489986.590126572 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a15,41937,4,4,30,1930,64.51,POINT (9545646.335523209 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a16,41938,4,4,30,1930,54.89,POINT (9601306.080919845 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a17,41939,4,4,30,1930,45.15,POINT (9656965.826316481 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a18,41940,4,4,30,1930,48.7,POINT (9712625.57171312 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a19,41941,4,4,30,1930,49.42,POINT (9768285.317109756 3217490.9158222144)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a1a,42228,4,4,30,1930,5.92,POINT (8933389.136160204 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a1b,42229,4,4,30,1930,6.49,POINT (8989048.88155684 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a1c,42230,4,4,30,1930,7.37,POINT (9044708.626953477 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a1d,42231,4,4,30,1930,8.29,POINT (9100368.372350115 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a1e,42232,4,4,30,1930,12.64,POINT (9156028.117746752 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a1f,42233,4,4,30,1930,17.09,POINT (9211687.863143386 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a20,42234,4,4,30,1930,25.97,POINT (9267347.608540025 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a21,42235,4,4,30,1930,34.72,POINT (9323007.353936663 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a22,42236,4,4,30,1930,46.15,POINT (9378667.099333297 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a23,42237,4,4,30,1930,51.13,POINT (9434326.844729934 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a24,42238,4,4,30,1930,54.13,POINT (9489986.590126572 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a25,42239,4,4,30,1930,47.51,POINT (9545646.335523209 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a26,42240,4,4,30,1930,58.06,POINT (9601306.080919845 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a27,42241,4,4,30,1930,70.09,POINT (9656965.826316481 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a28,42242,4,4,30,1930,80.64,POINT (9712625.57171312 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a29,42243,4,4,30,1930,84.74,POINT (9768285.317109756 3154740.816666564)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a2a,41614,4,4,30,1930,12.96,POINT (8933389.136160204 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a2b,41615,4,4,30,1930,15.88,POINT (8989048.88155684 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a2c,41616,4,4,30,1930,18.91,POINT (9044708.626953477 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a2d,41617,4,4,30,1930,25.52,POINT (9100368.372350115 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a2e,41618,4,4,30,1930,40.8,POINT (9156028.117746752 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a2f,41619,4,4,30,1930,57,POINT (9211687.863143386 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a30,41620,4,4,30,1930,67.93,POINT (9267347.608540025 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a31,41621,4,4,30,1930,73.78,POINT (9323007.353936663 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a32,41622,4,4,30,1930,75.66,POINT (9378667.099333297 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a33,41623,4,4,30,1930,62.53,POINT (9434326.844729934 3280529.7896193247)
pre_normales_espacial_p.fid--5ff12b53_17a385bd859_2a34,41624,4,4,30,1930,52.96,POINT (9489986.590126572 3280529.7896193247)
