Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
-0.071, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.096, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
0.08489, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0098, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
0.01875, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-0.0171, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.35073, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-0.119, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.00584, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-0.0064, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.01487, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0737, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0077, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-0.0081, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
0.00728, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
0.01181, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.00277, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.06155, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.05647, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.28172, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.04855, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-0.0268, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-0.0191, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.06204, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.08643, 2020-2039, ccsm4, Jan Anomaly, NPL
-0.0113, 2020-2039, ccsm4, Feb Anomaly, NPL
-0.047, 2020-2039, ccsm4, Mar Anomaly, NPL
1.5E-4, 2020-2039, ccsm4, Apr Anomaly, NPL
0.16042, 2020-2039, ccsm4, May Anomaly, NPL
0.08458, 2020-2039, ccsm4, Jun Anomaly, NPL
0.02073, 2020-2039, ccsm4, Jul Anomaly, NPL
1.09277, 2020-2039, ccsm4, Aug Anomaly, NPL
0.44002, 2020-2039, ccsm4, Sep Anomaly, NPL
0.17004, 2020-2039, ccsm4, Oct Anomaly, NPL
-0.1009, 2020-2039, ccsm4, Nov Anomaly, NPL
-0.3088, 2020-2039, ccsm4, Dec Anomaly, NPL
-0.1513, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
0.1049, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
-0.0057, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
-0.0082, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
0.05247, 2020-2039, cesm1_cam5, May Anomaly, NPL
-0.4713, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
0.14203, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.81943, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
0.29962, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
0.35327, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
0.01431, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-0.0627, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
0.02567, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-0.0239, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
0.00219, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
0.00383, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
0.00851, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.03927, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.00355, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
0.0068, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
