Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
9.1E-4, 2040-2059, access1_0, Jan Anomaly, NPL
0.02007, 2040-2059, access1_0, Feb Anomaly, NPL
-4.0E-4, 2040-2059, access1_0, Mar Anomaly, NPL
0.00128, 2040-2059, access1_0, Apr Anomaly, NPL
0.01825, 2040-2059, access1_0, May Anomaly, NPL
0.15335, 2040-2059, access1_0, Jun Anomaly, NPL
0.38315, 2040-2059, access1_0, Jul Anomaly, NPL
0.17936, 2040-2059, access1_0, Aug Anomaly, NPL
0.04812, 2040-2059, access1_0, Sep Anomaly, NPL
-5.0E-4, 2040-2059, access1_0, Oct Anomaly, NPL
-4.0E-4, 2040-2059, access1_0, Nov Anomaly, NPL
-9.0E-4, 2040-2059, access1_3, Jan Anomaly, NPL
-0.0101, 2040-2059, access1_3, Feb Anomaly, NPL
-0.0045, 2040-2059, access1_3, Mar Anomaly, NPL
-0.0033, 2040-2059, access1_3, May Anomaly, NPL
0.08179, 2040-2059, access1_3, Jun Anomaly, NPL
0.35136, 2040-2059, access1_3, Jul Anomaly, NPL
0.26003, 2040-2059, access1_3, Aug Anomaly, NPL
0.00729, 2040-2059, access1_3, Sep Anomaly, NPL
7.4E-4, 2040-2059, access1_3, Nov Anomaly, NPL
0.00929, 2040-2059, access1_3, Dec Anomaly, NPL
-0.0982, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.00956, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.01102, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0125, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.04321, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.12998, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0376, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.11693, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.12619, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.10747, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.08858, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0783, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0224, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.00588, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.0133, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.00929, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.03054, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.08122, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.34428, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.30333, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.13312, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.07, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.00958, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.0374, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.05231, 2040-2059, bnu_esm, Jun Anomaly, NPL
0.52872, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.44759, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.01114, 2040-2059, bnu_esm, Sep Anomaly, NPL
0.00743, 2040-2059, bnu_esm, Oct Anomaly, NPL
0.00645, 2040-2059, canesm2, Jan Anomaly, NPL
-0.0321, 2040-2059, canesm2, Feb Anomaly, NPL
0.01672, 2040-2059, canesm2, Mar Anomaly, NPL
0.01757, 2040-2059, canesm2, Apr Anomaly, NPL
0.02363, 2040-2059, canesm2, May Anomaly, NPL
0.17149, 2040-2059, canesm2, Jun Anomaly, NPL
0.34895, 2040-2059, canesm2, Jul Anomaly, NPL
0.61361, 2040-2059, canesm2, Aug Anomaly, NPL
0.0516, 2040-2059, canesm2, Sep Anomaly, NPL
-0.0266, 2040-2059, canesm2, Nov Anomaly, NPL
0.04298, 2040-2059, canesm2, Dec Anomaly, NPL
0.13962, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.0118, 2040-2059, ccsm4, Feb Anomaly, NPL
-0.0511, 2040-2059, ccsm4, Mar Anomaly, NPL
0.03263, 2040-2059, ccsm4, Apr Anomaly, NPL
0.07587, 2040-2059, ccsm4, May Anomaly, NPL
-0.3191, 2040-2059, ccsm4, Jun Anomaly, NPL
0.31255, 2040-2059, ccsm4, Jul Anomaly, NPL
