Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
-0.1201, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.019, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0036, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
0.01214, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.01861, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.06609, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0542, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.01745, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-0.0023, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.11722, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0324, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0261, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0237, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-0.0019, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-6.0E-4, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.01026, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.21101, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.24541, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.22323, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.02654, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.01001, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-0.018, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.0361, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.03669, 2040-2059, bnu_esm, Jun Anomaly, NPL
0.56595, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.28622, 2040-2059, bnu_esm, Aug Anomaly, NPL
-0.0063, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.0172, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.0023, 2040-2059, canesm2, Jan Anomaly, NPL
-0.0322, 2040-2059, canesm2, Feb Anomaly, NPL
-0.0187, 2040-2059, canesm2, Mar Anomaly, NPL
-0.0108, 2040-2059, canesm2, May Anomaly, NPL
-0.0023, 2040-2059, canesm2, Jun Anomaly, NPL
0.48743, 2040-2059, canesm2, Jul Anomaly, NPL
0.28489, 2040-2059, canesm2, Aug Anomaly, NPL
0.11893, 2040-2059, canesm2, Sep Anomaly, NPL
0.01664, 2040-2059, canesm2, Oct Anomaly, NPL
-0.0263, 2040-2059, canesm2, Nov Anomaly, NPL
0.00519, 2040-2059, canesm2, Dec Anomaly, NPL
0.18065, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.076, 2040-2059, ccsm4, Feb Anomaly, NPL
-0.0582, 2040-2059, ccsm4, Mar Anomaly, NPL
0.00194, 2040-2059, ccsm4, Apr Anomaly, NPL
0.18554, 2040-2059, ccsm4, May Anomaly, NPL
-0.105, 2040-2059, ccsm4, Jun Anomaly, NPL
0.06053, 2040-2059, ccsm4, Jul Anomaly, NPL
0.97435, 2040-2059, ccsm4, Aug Anomaly, NPL
0.30636, 2040-2059, ccsm4, Sep Anomaly, NPL
0.09752, 2040-2059, ccsm4, Oct Anomaly, NPL
-0.1139, 2040-2059, ccsm4, Nov Anomaly, NPL
-0.4116, 2040-2059, ccsm4, Dec Anomaly, NPL
-0.117, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
0.10574, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.02683, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
0.01676, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
0.08014, 2040-2059, cesm1_cam5, May Anomaly, NPL
0.46009, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
0.93734, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
0.45221, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
0.19617, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
0.38419, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
0.09305, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
0.0581, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
0.00206, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
-0.0023, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
-0.1158, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
0.02087, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
-0.0023, 2040-2059, cnrm_cm5, May Anomaly, NPL
0.06992, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
-0.351, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
0.44293, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
0.06358, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
0.00695, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
0.02311, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
0.00423, 2040-2059, cnrm_cm5, Dec Anomaly, NPL
0.01258, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
-0.0239, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
0.00493, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
0.00413, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
-0.0023, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
0.01683, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
0.0378, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
0.08332, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
0.01056, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
-3.0E-4, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
0.04965, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
0.03911, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
-0.2337, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
-0.0931, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
0.06161, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
-0.0506, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
0.01584, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
0.00575, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
0.02962, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
7.4E-4, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
0.03566, 2040-2059, gfdl_esm2g, May Anomaly, NPL
