Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
4.2E-4, 2080-2099, access1_0, Jan Anomaly, NPL
0.00271, 2080-2099, access1_0, Feb Anomaly, NPL
0.00145, 2080-2099, access1_0, Apr Anomaly, NPL
0.06775, 2080-2099, access1_0, May Anomaly, NPL
0.32533, 2080-2099, access1_0, Jun Anomaly, NPL
1.40672, 2080-2099, access1_0, Jul Anomaly, NPL
0.41407, 2080-2099, access1_0, Aug Anomaly, NPL
0.12334, 2080-2099, access1_0, Sep Anomaly, NPL
0.00236, 2080-2099, access1_0, Oct Anomaly, NPL
-4.0E-4, 2080-2099, access1_0, Nov Anomaly, NPL
0.00579, 2080-2099, access1_3, Jan Anomaly, NPL
-0.0089, 2080-2099, access1_3, Feb Anomaly, NPL
-0.004, 2080-2099, access1_3, Mar Anomaly, NPL
0.00361, 2080-2099, access1_3, Apr Anomaly, NPL
0.00627, 2080-2099, access1_3, May Anomaly, NPL
0.41024, 2080-2099, access1_3, Jun Anomaly, NPL
2.49251, 2080-2099, access1_3, Jul Anomaly, NPL
1.74272, 2080-2099, access1_3, Aug Anomaly, NPL
0.28078, 2080-2099, access1_3, Sep Anomaly, NPL
0.00401, 2080-2099, access1_3, Oct Anomaly, NPL
0.0027, 2080-2099, access1_3, Nov Anomaly, NPL
-0.0062, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0318, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0196, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0015, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.12702, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
0.10738, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
0.2863, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.34529, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.32994, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
1.3E-4, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0077, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0952, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-0.026, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
6.2E-4, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.0036, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.01496, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.11859, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.95785, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
0.5296, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.17197, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.02696, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-4.0E-4, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.11796, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
0.03039, 2080-2099, bnu_esm, Jun Anomaly, NPL
1.07412, 2080-2099, bnu_esm, Jul Anomaly, NPL
1.04003, 2080-2099, bnu_esm, Aug Anomaly, NPL
0.29581, 2080-2099, bnu_esm, Sep Anomaly, NPL
-0.0172, 2080-2099, bnu_esm, Oct Anomaly, NPL
-0.012, 2080-2099, canesm2, Jan Anomaly, NPL
-0.0063, 2080-2099, canesm2, Feb Anomaly, NPL
-0.0015, 2080-2099, canesm2, Mar Anomaly, NPL
0.00235, 2080-2099, canesm2, Apr Anomaly, NPL
0.01178, 2080-2099, canesm2, May Anomaly, NPL
0.09422, 2080-2099, canesm2, Jun Anomaly, NPL
1.11948, 2080-2099, canesm2, Jul Anomaly, NPL
0.8957, 2080-2099, canesm2, Aug Anomaly, NPL
0.13292, 2080-2099, canesm2, Sep Anomaly, NPL
0.03687, 2080-2099, canesm2, Oct Anomaly, NPL
0.02043, 2080-2099, canesm2, Nov Anomaly, NPL
0.03393, 2080-2099, canesm2, Dec Anomaly, NPL
0.11732, 2080-2099, ccsm4, Jan Anomaly, NPL
-0.0459, 2080-2099, ccsm4, Feb Anomaly, NPL
-0.0548, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.002, 2080-2099, ccsm4, Apr Anomaly, NPL
0.01544, 2080-2099, ccsm4, May Anomaly, NPL
-0.1652, 2080-2099, ccsm4, Jun Anomaly, NPL
1.68334, 2080-2099, ccsm4, Jul Anomaly, NPL
1.60566, 2080-2099, ccsm4, Aug Anomaly, NPL
0.7446, 2080-2099, ccsm4, Sep Anomaly, NPL
0.13269, 2080-2099, ccsm4, Oct Anomaly, NPL
-0.0879, 2080-2099, ccsm4, Nov Anomaly, NPL
-0.1498, 2080-2099, ccsm4, Dec Anomaly, NPL
-0.0262, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
-0.0046, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
-0.0074, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
-0.0181, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-0.1078, 2080-2099, cesm1_bgc, May Anomaly, NPL
-0.4443, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
1.77607, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
2.05715, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
0.76299, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
0.26988, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
0.02492, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-0.098, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-0.1783, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
0.01581, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
0.00449, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
0.02053, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-0.0017, 2080-2099, cesm1_cam5, May Anomaly, NPL
0.07715, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
2.14989, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
2.64782, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
1.91335, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
0.24701, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
0.05582, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-0.0389, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
0.04781, 2080-2099, cmcc_cesm, Jan Anomaly, NPL
-0.0025, 2080-2099, cmcc_cesm, Apr Anomaly, NPL
0.00394, 2080-2099, cmcc_cesm, Jun Anomaly, NPL
0.006, 2080-2099, cmcc_cesm, Sep Anomaly, NPL
0.01373, 2080-2099, cmcc_cesm, Oct Anomaly, NPL
0.01017, 2080-2099, cmcc_cesm, Nov Anomaly, NPL
0.12711, 2080-2099, cmcc_cm, Jan Anomaly, NPL
0.01715, 2080-2099, cmcc_cm, Feb Anomaly, NPL
-0.1661, 2080-2099, cmcc_cm, Mar Anomaly, NPL
-0.083, 2080-2099, cmcc_cm, Apr Anomaly, NPL
-0.1076, 2080-2099, cmcc_cm, May Anomaly, NPL
0.12374, 2080-2099, cmcc_cm, Jun Anomaly, NPL
-0.218, 2080-2099, cmcc_cm, Jul Anomaly, NPL
0.69009, 2080-2099, cmcc_cm, Aug Anomaly, NPL
0.8241, 2080-2099, cmcc_cm, Sep Anomaly, NPL
0.19946, 2080-2099, cmcc_cm, Oct Anomaly, NPL
0.04865, 2080-2099, cmcc_cm, Nov Anomaly, NPL
-0.239, 2080-2099, cmcc_cm, Dec Anomaly, NPL
-0.1615, 2080-2099, cmcc_cms, Jan Anomaly, NPL
-0.1012, 2080-2099, cmcc_cms, Feb Anomaly, NPL
-0.2104, 2080-2099, cmcc_cms, Mar Anomaly, NPL
6.8E-4, 2080-2099, cmcc_cms, Apr Anomaly, NPL
-0.0255, 2080-2099, cmcc_cms, May Anomaly, NPL
-0.0493, 2080-2099, cmcc_cms, Jun Anomaly, NPL
0.1931, 2080-2099, cmcc_cms, Jul Anomaly, NPL
0.37369, 2080-2099, cmcc_cms, Aug Anomaly, NPL
0.16272, 2080-2099, cmcc_cms, Sep Anomaly, NPL
0.07225, 2080-2099, cmcc_cms, Oct Anomaly, NPL
-0.0614, 2080-2099, cmcc_cms, Nov Anomaly, NPL
-0.1007, 2080-2099, cmcc_cms, Dec Anomaly, NPL
-0.014, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
0.0179, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
-0.084, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
0.02056, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
