S. No.,Date(dd-mm-yy),River basin,Location
1,23-Jun-80,Tamor,Nagma Pokhari
2,11-Jun-81,Bhote Koshi,"Cirenmacho Lake, Zhangzangbo Valley"
3,04-Aug-85,Dudh Koshi,Dig Tsho
4,12-Jul-91,Tama Koshi,Chubung
5,03-Sep-98,Dudh Koshi,Sabai Tsho (Tam Pokhari)
6,15-Aug-03,Madi,Kabache Lake
7,08-Aug-04,Madi,Kabache Lake
8,05-Jul-16,Bhote Koshi,"TAR, China"
9,20-Apr-17,Barun Valley,Near Lower Barun
