Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0057, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0154, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
-0.0172, 2020-2039, bnu_esm, Annual Anomaly, NPL
-0.0098, 2020-2039, canesm2, Annual Anomaly, NPL
-0.0111, 2020-2039, ccsm4, Annual Anomaly, NPL
-0.0192, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-0.0058, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-0.0227, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0198, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
-0.011, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
-0.0072, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-0.004, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-0.0254, 2020-2039, hadgem2_es, Annual Anomaly, NPL
-0.0126, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.018, 2020-2039, miroc5, Annual Anomaly, NPL
-0.0274, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
-0.0113, 2020-2039, miroc_esm, Annual Anomaly, NPL
-0.0141, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-0.0089, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
-0.0118, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
-0.0176, 2020-2039, noresm1_m, Annual Anomaly, NPL
-0.0226, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0138, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0034, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
