Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0276, 2040-2059, access1_0, Annual Anomaly, NPL
-0.0288, 2040-2059, access1_3, Annual Anomaly, NPL
-0.0199, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0242, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
-0.0237, 2040-2059, bnu_esm, Annual Anomaly, NPL
-0.0204, 2040-2059, canesm2, Annual Anomaly, NPL
-0.0195, 2040-2059, ccsm4, Annual Anomaly, NPL
-0.0185, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
-0.0248, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.0241, 2040-2059, cmcc_cesm, Annual Anomaly, NPL
-0.0239, 2040-2059, cmcc_cms, Annual Anomaly, NPL
-0.0218, 2040-2059, cmcc_cm, Annual Anomaly, NPL
-0.0183, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-0.0265, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0233, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-0.0215, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-0.0222, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
-0.0246, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-0.03, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
-0.0278, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-0.0161, 2040-2059, inmcm4, Annual Anomaly, NPL
-0.0229, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0188, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0137, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0322, 2040-2059, miroc5, Annual Anomaly, NPL
-0.0293, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-0.0268, 2040-2059, miroc_esm, Annual Anomaly, NPL
-0.027, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-0.0203, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
-0.0224, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
-0.0224, 2040-2059, mri_esm1, Annual Anomaly, NPL
-0.0264, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.0259, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.024, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0187, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
