Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0168, 2020-2039, access1_0, Annual Anomaly, NPL
-0.0167, 2020-2039, access1_3, Annual Anomaly, NPL
-0.0147, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0186, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
-0.0177, 2020-2039, bnu_esm, Annual Anomaly, NPL
-0.0192, 2020-2039, canesm2, Annual Anomaly, NPL
-0.0158, 2020-2039, ccsm4, Annual Anomaly, NPL
-0.0147, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
-0.0177, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-0.0123, 2020-2039, cmcc_cesm, Annual Anomaly, NPL
-0.0209, 2020-2039, cmcc_cms, Annual Anomaly, NPL
-0.017, 2020-2039, cmcc_cm, Annual Anomaly, NPL
-0.014, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-0.0177, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0172, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
-0.0155, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
-0.0109, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-0.0082, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-0.0221, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
-0.0214, 2020-2039, hadgem2_es, Annual Anomaly, NPL
-0.0084, 2020-2039, inmcm4, Annual Anomaly, NPL
-0.0164, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0109, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0051, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0217, 2020-2039, miroc5, Annual Anomaly, NPL
-0.0261, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
-0.02, 2020-2039, miroc_esm, Annual Anomaly, NPL
-0.0202, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-0.0076, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
-0.0179, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
-0.0189, 2020-2039, mri_esm1, Annual Anomaly, NPL
-0.0197, 2020-2039, noresm1_m, Annual Anomaly, NPL
-0.0217, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0172, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0083, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
