Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0158, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0161, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
-0.0171, 2040-2059, ccsm4, Annual Anomaly, NPL
-0.0234, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.0228, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0192, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-0.0165, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-0.0131, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
-0.0176, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-0.0251, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-0.0164, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0169, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0256, 2040-2059, miroc5, Annual Anomaly, NPL
-0.0281, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-0.0189, 2040-2059, miroc_esm, Annual Anomaly, NPL
-0.0248, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
-0.0233, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.0248, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0196, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0125, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
