Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.1339, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0367, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.1953, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0828, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0905, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-0.3761, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
0.58966, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-0.119, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.44629, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.09146, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.05261, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-0.6317, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
0.31692, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.17259, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.0416, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.02498, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
0.15404, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.0651, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.46701, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
2.09162, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-0.034, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-0.0931, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.0108, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.42869, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-0.1896, 2080-2099, bnu_esm, Jan Anomaly, NPL
-0.0739, 2080-2099, bnu_esm, Feb Anomaly, NPL
-0.117, 2080-2099, bnu_esm, Mar Anomaly, NPL
-0.074, 2080-2099, bnu_esm, Apr Anomaly, NPL
0.19828, 2080-2099, bnu_esm, May Anomaly, NPL
-0.157, 2080-2099, bnu_esm, Jun Anomaly, NPL
1.24089, 2080-2099, bnu_esm, Jul Anomaly, NPL
2.45213, 2080-2099, bnu_esm, Aug Anomaly, NPL
1.51498, 2080-2099, bnu_esm, Sep Anomaly, NPL
0.34938, 2080-2099, bnu_esm, Oct Anomaly, NPL
0.11515, 2080-2099, bnu_esm, Nov Anomaly, NPL
0.09111, 2080-2099, bnu_esm, Dec Anomaly, NPL
0.04985, 2080-2099, canesm2, Jan Anomaly, NPL
-0.0247, 2080-2099, canesm2, Feb Anomaly, NPL
0.3447, 2080-2099, canesm2, Mar Anomaly, NPL
0.04827, 2080-2099, canesm2, Apr Anomaly, NPL
0.03779, 2080-2099, canesm2, May Anomaly, NPL
-0.0418, 2080-2099, canesm2, Jun Anomaly, NPL
1.04902, 2080-2099, canesm2, Jul Anomaly, NPL
1.90253, 2080-2099, canesm2, Aug Anomaly, NPL
0.1255, 2080-2099, canesm2, Sep Anomaly, NPL
0.16264, 2080-2099, canesm2, Oct Anomaly, NPL
-0.0072, 2080-2099, canesm2, Nov Anomaly, NPL
0.28156, 2080-2099, canesm2, Dec Anomaly, NPL
0.77124, 2080-2099, ccsm4, Jan Anomaly, NPL
-0.4033, 2080-2099, ccsm4, Feb Anomaly, NPL
-0.5638, 2080-2099, ccsm4, Mar Anomaly, NPL
0.07976, 2080-2099, ccsm4, Apr Anomaly, NPL
-0.0331, 2080-2099, ccsm4, May Anomaly, NPL
0.51878, 2080-2099, ccsm4, Jun Anomaly, NPL
-0.599, 2080-2099, ccsm4, Jul Anomaly, NPL
1.60217, 2080-2099, ccsm4, Aug Anomaly, NPL
0.13145, 2080-2099, ccsm4, Sep Anomaly, NPL
0.41191, 2080-2099, ccsm4, Oct Anomaly, NPL
-0.0365, 2080-2099, ccsm4, Nov Anomaly, NPL
-0.6396, 2080-2099, ccsm4, Dec Anomaly, NPL
-0.0803, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
0.05177, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
0.11184, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
0.10934, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-0.2089, 2080-2099, cesm1_cam5, May Anomaly, NPL
-1.8089, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
0.9302, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
1.64286, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-0.0312, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
0.91973, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
