Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.0475, 2080-2099, access1_0, Jan Anomaly, NPL
-0.0142, 2080-2099, access1_0, Feb Anomaly, NPL
0.00291, 2080-2099, access1_0, Mar Anomaly, NPL
0.24185, 2080-2099, access1_0, Apr Anomaly, NPL
0.53079, 2080-2099, access1_0, May Anomaly, NPL
0.10791, 2080-2099, access1_0, Jun Anomaly, NPL
3.24348, 2080-2099, access1_0, Jul Anomaly, NPL
2.05517, 2080-2099, access1_0, Aug Anomaly, NPL
0.1514, 2080-2099, access1_0, Sep Anomaly, NPL
-0.0283, 2080-2099, access1_0, Oct Anomaly, NPL
-0.0685, 2080-2099, access1_0, Nov Anomaly, NPL
-0.0573, 2080-2099, access1_0, Dec Anomaly, NPL
-0.2025, 2080-2099, access1_3, Jan Anomaly, NPL
-0.1792, 2080-2099, access1_3, Feb Anomaly, NPL
-0.1917, 2080-2099, access1_3, Mar Anomaly, NPL
0.07082, 2080-2099, access1_3, Apr Anomaly, NPL
1.01264, 2080-2099, access1_3, May Anomaly, NPL
1.05597, 2080-2099, access1_3, Jun Anomaly, NPL
4.90328, 2080-2099, access1_3, Jul Anomaly, NPL
4.13434, 2080-2099, access1_3, Aug Anomaly, NPL
1.25004, 2080-2099, access1_3, Sep Anomaly, NPL
-0.0134, 2080-2099, access1_3, Oct Anomaly, NPL
0.05704, 2080-2099, access1_3, Nov Anomaly, NPL
0.043, 2080-2099, access1_3, Dec Anomaly, NPL
0.26674, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.1645, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
0.00194, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0422, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.2038, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
0.17645, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
0.22623, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-0.6426, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.12924, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.55854, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.2111, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-0.5618, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
0.18947, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.038, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
0.02631, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.06685, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
0.11921, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.13503, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.96746, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
0.69805, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.28094, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-0.0125, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
