Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
0.05764, 2060-2079, access1_0, Jan Anomaly, NPL
-0.1466, 2060-2079, access1_0, Feb Anomaly, NPL
-0.1264, 2060-2079, access1_0, Mar Anomaly, NPL
0.17823, 2060-2079, access1_0, Apr Anomaly, NPL
0.43959, 2060-2079, access1_0, May Anomaly, NPL
0.73397, 2060-2079, access1_0, Jun Anomaly, NPL
2.59033, 2060-2079, access1_0, Jul Anomaly, NPL
0.65536, 2060-2079, access1_0, Aug Anomaly, NPL
0.54913, 2060-2079, access1_0, Sep Anomaly, NPL
-0.0794, 2060-2079, access1_0, Oct Anomaly, NPL
-0.0232, 2060-2079, access1_0, Nov Anomaly, NPL
0.04707, 2060-2079, access1_0, Dec Anomaly, NPL
-0.2095, 2060-2079, access1_3, Jan Anomaly, NPL
-0.1849, 2060-2079, access1_3, Feb Anomaly, NPL
-0.3428, 2060-2079, access1_3, Mar Anomaly, NPL
0.13564, 2060-2079, access1_3, Apr Anomaly, NPL
0.82498, 2060-2079, access1_3, May Anomaly, NPL
1.92625, 2060-2079, access1_3, Jun Anomaly, NPL
4.61912, 2060-2079, access1_3, Jul Anomaly, NPL
4.35524, 2060-2079, access1_3, Aug Anomaly, NPL
0.86576, 2060-2079, access1_3, Sep Anomaly, NPL
0.01937, 2060-2079, access1_3, Oct Anomaly, NPL
0.03327, 2060-2079, access1_3, Nov Anomaly, NPL
-0.001, 2060-2079, access1_3, Dec Anomaly, NPL
-0.2819, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.18296, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0648, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1557, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.0038, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.08086, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.69355, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-0.0288, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.40965, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.44265, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.11384, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.2143, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.28283, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.41345, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.0678, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.014, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.11221, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.534, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
0.29075, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
1.01518, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.87269, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.1753, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.42447, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.59747, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.08135, 2060-2079, bnu_esm, Jan Anomaly, NPL
-0.1328, 2060-2079, bnu_esm, Feb Anomaly, NPL
-0.0597, 2060-2079, bnu_esm, Mar Anomaly, NPL
0.11044, 2060-2079, bnu_esm, Apr Anomaly, NPL
0.013, 2060-2079, bnu_esm, May Anomaly, NPL
-0.2659, 2060-2079, bnu_esm, Jun Anomaly, NPL
1.86251, 2060-2079, bnu_esm, Jul Anomaly, NPL
2.9913, 2060-2079, bnu_esm, Aug Anomaly, NPL
2.50888, 2060-2079, bnu_esm, Sep Anomaly, NPL
0.04239, 2060-2079, bnu_esm, Oct Anomaly, NPL
-0.177, 2060-2079, bnu_esm, Nov Anomaly, NPL
0.1644, 2060-2079, bnu_esm, Dec Anomaly, NPL
-0.0549, 2060-2079, canesm2, Jan Anomaly, NPL
-0.1305, 2060-2079, canesm2, Feb Anomaly, NPL
0.14136, 2060-2079, canesm2, Mar Anomaly, NPL
0.23065, 2060-2079, canesm2, Apr Anomaly, NPL
0.00877, 2060-2079, canesm2, May Anomaly, NPL
0.10042, 2060-2079, canesm2, Jun Anomaly, NPL
1.9186, 2060-2079, canesm2, Jul Anomaly, NPL
2.0302, 2060-2079, canesm2, Aug Anomaly, NPL
0.42649, 2060-2079, canesm2, Sep Anomaly, NPL
0.23711, 2060-2079, canesm2, Oct Anomaly, NPL
-0.101, 2060-2079, canesm2, Nov Anomaly, NPL
0.01462, 2060-2079, canesm2, Dec Anomaly, NPL
0.4514, 2060-2079, ccsm4, Jan Anomaly, NPL
-0.0729, 2060-2079, ccsm4, Feb Anomaly, NPL
-0.3376, 2060-2079, ccsm4, Mar Anomaly, NPL
-0.0625, 2060-2079, ccsm4, Apr Anomaly, NPL
-0.0138, 2060-2079, ccsm4, May Anomaly, NPL
-0.6386, 2060-2079, ccsm4, Jun Anomaly, NPL
1.31522, 2060-2079, ccsm4, Jul Anomaly, NPL
1.58985, 2060-2079, ccsm4, Aug Anomaly, NPL
0.86293, 2060-2079, ccsm4, Sep Anomaly, NPL
0.05663, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.2512, 2060-2079, ccsm4, Nov Anomaly, NPL
-1.0556, 2060-2079, ccsm4, Dec Anomaly, NPL
2.4E-4, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
-0.2412, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
-0.1818, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
-0.0348, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
-0.1221, 2060-2079, cesm1_bgc, May Anomaly, NPL
-1.7329, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
1.81479, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
2.01941, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
1.10276, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
0.62268, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
0.0175, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
-0.3011, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
-0.1709, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
0.16282, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
0.08737, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
-0.027, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-0.7365, 2060-2079, cesm1_cam5, May Anomaly, NPL
-2.3114, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
0.76544, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
2.89153, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
0.86988, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
0.99151, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.25889, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-0.2383, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
0.16976, 2060-2079, cmcc_cesm, Jan Anomaly, NPL
0.07226, 2060-2079, cmcc_cesm, Feb Anomaly, NPL
-0.0051, 2060-2079, cmcc_cesm, Mar Anomaly, NPL
-0.1308, 2060-2079, cmcc_cesm, Apr Anomaly, NPL
-0.0854, 2060-2079, cmcc_cesm, May Anomaly, NPL
-0.2595, 2060-2079, cmcc_cesm, Jun Anomaly, NPL
0.31956, 2060-2079, cmcc_cesm, Jul Anomaly, NPL
0.1771, 2060-2079, cmcc_cesm, Aug Anomaly, NPL
0.07218, 2060-2079, cmcc_cesm, Sep Anomaly, NPL
-0.0291, 2060-2079, cmcc_cesm, Oct Anomaly, NPL
-0.0404, 2060-2079, cmcc_cesm, Nov Anomaly, NPL
0.07651, 2060-2079, cmcc_cesm, Dec Anomaly, NPL
-0.3074, 2060-2079, cmcc_cm, Jan Anomaly, NPL
-0.4716, 2060-2079, cmcc_cm, Feb Anomaly, NPL
-0.1653, 2060-2079, cmcc_cm, Mar Anomaly, NPL
-0.2067, 2060-2079, cmcc_cm, Apr Anomaly, NPL
0.06195, 2060-2079, cmcc_cm, May Anomaly, NPL
0.00757, 2060-2079, cmcc_cm, Jun Anomaly, NPL
-0.158, 2060-2079, cmcc_cm, Jul Anomaly, NPL
-0.3332, 2060-2079, cmcc_cm, Aug Anomaly, NPL
1.43705, 2060-2079, cmcc_cm, Sep Anomaly, NPL
0.38627, 2060-2079, cmcc_cm, Oct Anomaly, NPL
-0.0687, 2060-2079, cmcc_cm, Nov Anomaly, NPL
-0.8759, 2060-2079, cmcc_cm, Dec Anomaly, NPL
-0.4399, 2060-2079, cmcc_cms, Jan Anomaly, NPL
0.06496, 2060-2079, cmcc_cms, Feb Anomaly, NPL
-0.9302, 2060-2079, cmcc_cms, Mar Anomaly, NPL
-0.0402, 2060-2079, cmcc_cms, Apr Anomaly, NPL
-0.2031, 2060-2079, cmcc_cms, May Anomaly, NPL
-0.7136, 2060-2079, cmcc_cms, Jun Anomaly, NPL
0.03071, 2060-2079, cmcc_cms, Jul Anomaly, NPL
0.3466, 2060-2079, cmcc_cms, Aug Anomaly, NPL
