Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.447, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.02523, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.2325, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0755, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.16245, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.18309, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.2751, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-0.2677, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-0.3076, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.20224, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0324, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.3532, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0734, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.33524, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.058, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.00371, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.11106, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.18128, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.01039, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.48135, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.44622, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-0.158, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.02395, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-0.0774, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.14962, 2040-2059, bnu_esm, Jan Anomaly, NPL
-0.082, 2040-2059, bnu_esm, Feb Anomaly, NPL
-0.124, 2040-2059, bnu_esm, Mar Anomaly, NPL
-0.083, 2040-2059, bnu_esm, Apr Anomaly, NPL
0.01733, 2040-2059, bnu_esm, May Anomaly, NPL
-0.6008, 2040-2059, bnu_esm, Jun Anomaly, NPL
1.73853, 2040-2059, bnu_esm, Jul Anomaly, NPL
1.78244, 2040-2059, bnu_esm, Aug Anomaly, NPL
1.49411, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.2929, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.1317, 2040-2059, bnu_esm, Nov Anomaly, NPL
0.01577, 2040-2059, bnu_esm, Dec Anomaly, NPL
-0.0821, 2040-2059, canesm2, Jan Anomaly, NPL
0.00877, 2040-2059, canesm2, Feb Anomaly, NPL
-3.0E-4, 2040-2059, canesm2, Mar Anomaly, NPL
0.00512, 2040-2059, canesm2, Apr Anomaly, NPL
-0.0156, 2040-2059, canesm2, May Anomaly, NPL
0.01969, 2040-2059, canesm2, Jun Anomaly, NPL
1.46842, 2040-2059, canesm2, Jul Anomaly, NPL
1.08097, 2040-2059, canesm2, Aug Anomaly, NPL
0.42271, 2040-2059, canesm2, Sep Anomaly, NPL
0.08342, 2040-2059, canesm2, Oct Anomaly, NPL
-0.2628, 2040-2059, canesm2, Nov Anomaly, NPL
0.05929, 2040-2059, canesm2, Dec Anomaly, NPL
0.43111, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.4022, 2040-2059, ccsm4, Feb Anomaly, NPL
-0.4732, 2040-2059, ccsm4, Mar Anomaly, NPL
0.0152, 2040-2059, ccsm4, Apr Anomaly, NPL
0.46679, 2040-2059, ccsm4, May Anomaly, NPL
-0.41, 2040-2059, ccsm4, Jun Anomaly, NPL
-0.1752, 2040-2059, ccsm4, Jul Anomaly, NPL
1.52835, 2040-2059, ccsm4, Aug Anomaly, NPL
0.52128, 2040-2059, ccsm4, Sep Anomaly, NPL
