Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
0.12949, 2040-2059, access1_0, Jan Anomaly, NPL
-0.2229, 2040-2059, access1_0, Feb Anomaly, NPL
-0.0073, 2040-2059, access1_0, Mar Anomaly, NPL
-0.0011, 2040-2059, access1_0, Apr Anomaly, NPL
0.59402, 2040-2059, access1_0, May Anomaly, NPL
0.28331, 2040-2059, access1_0, Jun Anomaly, NPL
1.0168, 2040-2059, access1_0, Jul Anomaly, NPL
0.67782, 2040-2059, access1_0, Aug Anomaly, NPL
0.40079, 2040-2059, access1_0, Sep Anomaly, NPL
-0.0687, 2040-2059, access1_0, Oct Anomaly, NPL
-0.0581, 2040-2059, access1_0, Nov Anomaly, NPL
0.11266, 2040-2059, access1_0, Dec Anomaly, NPL
-0.0755, 2040-2059, access1_3, Jan Anomaly, NPL
-0.212, 2040-2059, access1_3, Feb Anomaly, NPL
-0.0395, 2040-2059, access1_3, Mar Anomaly, NPL
0.06979, 2040-2059, access1_3, Apr Anomaly, NPL
0.23536, 2040-2059, access1_3, May Anomaly, NPL
0.89544, 2040-2059, access1_3, Jun Anomaly, NPL
3.16364, 2040-2059, access1_3, Jul Anomaly, NPL
2.47628, 2040-2059, access1_3, Aug Anomaly, NPL
0.36907, 2040-2059, access1_3, Sep Anomaly, NPL
0.02029, 2040-2059, access1_3, Oct Anomaly, NPL
-0.0154, 2040-2059, access1_3, Nov Anomaly, NPL
-0.0856, 2040-2059, access1_3, Dec Anomaly, NPL
-0.376, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0148, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.1154, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2581, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.2001, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.13973, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.3502, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-0.3582, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.24957, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.10901, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1962, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0748, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
0.32734, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.51612, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.09737, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.15644, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.11283, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.74888, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.78724, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.95807, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.32962, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.09291, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.16513, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-0.1387, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.06625, 2040-2059, bnu_esm, Jan Anomaly, NPL
-0.0526, 2040-2059, bnu_esm, Feb Anomaly, NPL
-0.103, 2040-2059, bnu_esm, Mar Anomaly, NPL
-0.0586, 2040-2059, bnu_esm, Apr Anomaly, NPL
0.09872, 2040-2059, bnu_esm, May Anomaly, NPL
-0.3682, 2040-2059, bnu_esm, Jun Anomaly, NPL
1.26139, 2040-2059, bnu_esm, Jul Anomaly, NPL
1.55041, 2040-2059, bnu_esm, Aug Anomaly, NPL
2.20545, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.1498, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.0957, 2040-2059, bnu_esm, Nov Anomaly, NPL
-0.042, 2040-2059, bnu_esm, Dec Anomaly, NPL
-0.0038, 2040-2059, canesm2, Jan Anomaly, NPL
