Expected Largest Monthly Rainfall Amount in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
-61.527, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
161.018, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
275.315, 2040-2059, bnu_esm, Annual Anomaly, NPL
236.991, 2040-2059, canesm2, Annual Anomaly, NPL
281.589, 2040-2059, ccsm4, Annual Anomaly, NPL
-223.36, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-51.817, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
83.6089, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
173.943, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-17.252, 2040-2059, hadgem2_es, Annual Anomaly, NPL
160.027, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
220.477, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-35.964, 2040-2059, miroc5, Annual Anomaly, NPL
131.178, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
135.44, 2040-2059, miroc_esm, Annual Anomaly, NPL
-46.512, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-132.27, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
28.0615, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
265.491, 2040-2059, noresm1_m, Annual Anomaly, NPL
-630.39, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
126.228, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
2238.58, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
