Expected Largest Monthly Rainfall Amount in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
67.6705, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
229.341, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
239.516, 2080-2099, bnu_esm, Annual Anomaly, NPL
247.974, 2080-2099, canesm2, Annual Anomaly, NPL
271.103, 2080-2099, ccsm4, Annual Anomaly, NPL
67.7241, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-111.73, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
42.2191, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
265.231, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
66.9331, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-32.705, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
280.23, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
159.488, 2080-2099, miroc5, Annual Anomaly, NPL
179.33, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
116.209, 2080-2099, miroc_esm, Annual Anomaly, NPL
-164.58, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-155.08, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
25.5412, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
243.088, 2080-2099, noresm1_m, Annual Anomaly, NPL
-611.67, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
122.278, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
2207.9, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
