Expected Largest Monthly Rainfall Amount in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
-23.825, 2020-2039, access1_0, Annual Anomaly, NPL
371.225, 2020-2039, access1_3, Annual Anomaly, NPL
53.8161, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
68.8653, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
218.377, 2020-2039, bnu_esm, Annual Anomaly, NPL
236.187, 2020-2039, canesm2, Annual Anomaly, NPL
226.708, 2020-2039, ccsm4, Annual Anomaly, NPL
316.022, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
208.967, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
66.1535, 2020-2039, cmcc_cesm, Annual Anomaly, NPL
145.197, 2020-2039, cmcc_cm, Annual Anomaly, NPL
205.867, 2020-2039, cmcc_cms, Annual Anomaly, NPL
18.9645, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
86.5576, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
129.193, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
79.3488, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
-55.654, 2020-2039, hadgem2_es, Annual Anomaly, NPL
-6.534, 2020-2039, inmcm4, Annual Anomaly, NPL
53.858, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
199.853, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-16.792, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
4.24201, 2020-2039, miroc5, Annual Anomaly, NPL
122.107, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
186.541, 2020-2039, miroc_esm, Annual Anomaly, NPL
-4.8733, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-50.656, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
128.424, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
-24.738, 2020-2039, mri_esm1, Annual Anomaly, NPL
289.832, 2020-2039, noresm1_m, Annual Anomaly, NPL
-645.0, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
77.3882, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
2191.44, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
