Expected Largest Monthly Rainfall Amount in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
553.486, 2080-2099, access1_0, Annual Anomaly, NPL
599.966, 2080-2099, access1_3, Annual Anomaly, NPL
47.074, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
215.014, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
171.072, 2080-2099, bnu_esm, Annual Anomaly, NPL
296.659, 2080-2099, canesm2, Annual Anomaly, NPL
348.537, 2080-2099, ccsm4, Annual Anomaly, NPL
456.575, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
501.627, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
81.2106, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
129.9, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
325.59, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
586.306, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
47.0774, 2080-2099, inmcm4, Annual Anomaly, NPL
306.411, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
410.049, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-90.527, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
542.664, 2080-2099, miroc5, Annual Anomaly, NPL
162.933, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
47.3562, 2080-2099, miroc_esm, Annual Anomaly, NPL
71.3609, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-24.82, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
36.1715, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
486.031, 2080-2099, noresm1_m, Annual Anomaly, NPL
-618.75, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
242.526, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
2448.02, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
