Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
15.6191, 2080-2099, access1_0, Jan Anomaly, NPL
5.43074, 2080-2099, access1_0, Feb Anomaly, NPL
3.12805, 2080-2099, access1_0, Mar Anomaly, NPL
2.7126, 2080-2099, access1_0, Apr Anomaly, NPL
-0.6655, 2080-2099, access1_0, May Anomaly, NPL
-1.8454, 2080-2099, access1_0, Jun Anomaly, NPL
0.14727, 2080-2099, access1_0, Jul Anomaly, NPL
0.05917, 2080-2099, access1_0, Aug Anomaly, NPL
0.55234, 2080-2099, access1_0, Sep Anomaly, NPL
3.5399, 2080-2099, access1_0, Oct Anomaly, NPL
5.29039, 2080-2099, access1_0, Nov Anomaly, NPL
11.7841, 2080-2099, access1_0, Dec Anomaly, NPL
2.32837, 2080-2099, access1_3, Jan Anomaly, NPL
2.34974, 2080-2099, access1_3, Feb Anomaly, NPL
2.58887, 2080-2099, access1_3, Mar Anomaly, NPL
4.54382, 2080-2099, access1_3, Apr Anomaly, NPL
3.89654, 2080-2099, access1_3, May Anomaly, NPL
0.22392, 2080-2099, access1_3, Jun Anomaly, NPL
0.24429, 2080-2099, access1_3, Jul Anomaly, NPL
-0.1141, 2080-2099, access1_3, Aug Anomaly, NPL
-0.71, 2080-2099, access1_3, Sep Anomaly, NPL
1.72564, 2080-2099, access1_3, Oct Anomaly, NPL
3.82268, 2080-2099, access1_3, Nov Anomaly, NPL
2.67921, 2080-2099, access1_3, Dec Anomaly, NPL
-0.5307, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-1.5777, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
2.18134, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
3.88578, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
2.00712, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
2.28751, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-0.7336, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
1.16122, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-0.1742, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-1.9188, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
2.81881, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
7.52974, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
2.58327, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.39515, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.6704, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
2.30261, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
3.36049, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.62281, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
1.86329, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-2.6069, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-1.9919, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
1.97378, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-2.9495, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-1.1194, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-0.2375, 2080-2099, bnu_esm, Jan Anomaly, NPL
5.07006, 2080-2099, bnu_esm, Feb Anomaly, NPL
2.97514, 2080-2099, bnu_esm, Mar Anomaly, NPL
