Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
-0.484, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-1.9679, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
1.43432, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
7.59818, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
6.656, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.6416, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-0.538, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-0.1934, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-0.4578, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-1.4447, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.74433, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
6.59813, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
3.91405, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.6412, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-1.6679, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-2.1186, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-3.2963, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-4.2235, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-3.3288, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-2.9178, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-2.9542, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
1.33897, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-1.2998, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-1.3398, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-3.4218, 2060-2079, ccsm4, Jan Anomaly, NPL
-0.2901, 2060-2079, ccsm4, Feb Anomaly, NPL
4.40101, 2060-2079, ccsm4, Mar Anomaly, NPL
1.73727, 2060-2079, ccsm4, Apr Anomaly, NPL
2.66153, 2060-2079, ccsm4, May Anomaly, NPL
4.12216, 2060-2079, ccsm4, Jun Anomaly, NPL
0.02597, 2060-2079, ccsm4, Jul Anomaly, NPL
-0.0956, 2060-2079, ccsm4, Aug Anomaly, NPL
0.81233, 2060-2079, ccsm4, Sep Anomaly, NPL
-0.7087, 2060-2079, ccsm4, Oct Anomaly, NPL
0.56814, 2060-2079, ccsm4, Nov Anomaly, NPL
3.86503, 2060-2079, ccsm4, Dec Anomaly, NPL
5.85237, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
5.53239, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
5.04359, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
1.69385, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
0.97469, 2060-2079, cesm1_cam5, May Anomaly, NPL
1.54237, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
-1.1005, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
0.15921, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
-0.4144, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
-2.7623, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
-0.8407, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-3.0807, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
11.288, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
4.03861, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
18.1659, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
7.70354, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
5.77472, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
-3.2526, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-4.6437, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
-3.9403, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
-10.708, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
-11.358, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
-9.258, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
3.70118, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
0.83918, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
0.94592, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
6.30573, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
0.73379, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
3.68629, 2060-2079, gfdl_cm3, May Anomaly, NPL
1.09139, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
-0.1735, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
-0.3267, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-1.3405, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-1.8781, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
4.53732, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
11.0071, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
6.02458, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
10.4075, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
2.26391, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
2.2847, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
1.77712, 2060-2079, gfdl_esm2g, May Anomaly, NPL
1.05221, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
-3.606, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
0.28689, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
0.11244, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
0.09047, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
1.06326, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
2.4863, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
-3.533, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
5.95236, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
8.73697, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
3.99631, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
8.26044, 2060-2079, gfdl_esm2m, May Anomaly, NPL
8.86163, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
0.81473, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
1.19169, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
0.43651, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
-1.0307, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
-1.3123, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
-2.9555, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
5.04105, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
2.76339, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
2.82074, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
0.91499, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
0.4698, 2060-2079, hadgem2_ao, May Anomaly, NPL
0.9086, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
-0.238, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
-0.0784, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
