Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
18.0527, 2080-2099, access1_0, Jan Anomaly, NPL
15.8294, 2080-2099, access1_0, Feb Anomaly, NPL
7.70909, 2080-2099, access1_0, Mar Anomaly, NPL
2.55097, 2080-2099, access1_0, Apr Anomaly, NPL
-1.3854, 2080-2099, access1_0, May Anomaly, NPL
-1.8566, 2080-2099, access1_0, Jun Anomaly, NPL
0.09352, 2080-2099, access1_0, Jul Anomaly, NPL
0.05065, 2080-2099, access1_0, Aug Anomaly, NPL
-0.2828, 2080-2099, access1_0, Sep Anomaly, NPL
3.07092, 2080-2099, access1_0, Oct Anomaly, NPL
10.6182, 2080-2099, access1_0, Nov Anomaly, NPL
15.3978, 2080-2099, access1_0, Dec Anomaly, NPL
7.51314, 2080-2099, access1_3, Jan Anomaly, NPL
3.61638, 2080-2099, access1_3, Feb Anomaly, NPL
3.06842, 2080-2099, access1_3, Mar Anomaly, NPL
3.32216, 2080-2099, access1_3, Apr Anomaly, NPL
1.61814, 2080-2099, access1_3, May Anomaly, NPL
-1.6205, 2080-2099, access1_3, Jun Anomaly, NPL
-0.0359, 2080-2099, access1_3, Jul Anomaly, NPL
-0.0146, 2080-2099, access1_3, Aug Anomaly, NPL
0.0138, 2080-2099, access1_3, Sep Anomaly, NPL
2.43372, 2080-2099, access1_3, Oct Anomaly, NPL
5.80019, 2080-2099, access1_3, Nov Anomaly, NPL
6.16911, 2080-2099, access1_3, Dec Anomaly, NPL
0.19306, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-4.3073, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
2.92715, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
3.51075, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.36777, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-1.3051, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
2.19764, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.57029, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-0.7684, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-3.287, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.2109, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
2.90693, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
2.92736, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.6746, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-1.2304, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.71805, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-2.3952, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-6.3098, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-10.266, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-2.5682, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-3.8647, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
2.11903, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-1.8638, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-2.4957, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
10.8484, 2080-2099, bnu_esm, Jan Anomaly, NPL
13.1366, 2080-2099, bnu_esm, Feb Anomaly, NPL
0.63597, 2080-2099, bnu_esm, Mar Anomaly, NPL
3.40547, 2080-2099, bnu_esm, Apr Anomaly, NPL
-1.151, 2080-2099, bnu_esm, May Anomaly, NPL
-2.8871, 2080-2099, bnu_esm, Jun Anomaly, NPL
0.43503, 2080-2099, bnu_esm, Jul Anomaly, NPL
-0.2542, 2080-2099, bnu_esm, Aug Anomaly, NPL
-2.0141, 2080-2099, bnu_esm, Sep Anomaly, NPL
-5.113, 2080-2099, bnu_esm, Oct Anomaly, NPL
-2.59, 2080-2099, bnu_esm, Nov Anomaly, NPL
6.32197, 2080-2099, bnu_esm, Dec Anomaly, NPL
4.05314, 2080-2099, canesm2, Jan Anomaly, NPL
-8.0782, 2080-2099, canesm2, Feb Anomaly, NPL
-9.5317, 2080-2099, canesm2, Mar Anomaly, NPL
-6.1703, 2080-2099, canesm2, Apr Anomaly, NPL
-0.3495, 2080-2099, canesm2, May Anomaly, NPL
0.32629, 2080-2099, canesm2, Jun Anomaly, NPL
-2.2735, 2080-2099, canesm2, Jul Anomaly, NPL
0.34451, 2080-2099, canesm2, Aug Anomaly, NPL
1.21476, 2080-2099, canesm2, Sep Anomaly, NPL
-4.0332, 2080-2099, canesm2, Oct Anomaly, NPL
-1.5489, 2080-2099, canesm2, Nov Anomaly, NPL
6.25298, 2080-2099, canesm2, Dec Anomaly, NPL
-0.2792, 2080-2099, ccsm4, Jan Anomaly, NPL
4.53707, 2080-2099, ccsm4, Feb Anomaly, NPL
2.25691, 2080-2099, ccsm4, Mar Anomaly, NPL
5.00712, 2080-2099, ccsm4, Apr Anomaly, NPL
3.53223, 2080-2099, ccsm4, May Anomaly, NPL
0.72481, 2080-2099, ccsm4, Jun Anomaly, NPL
0.21253, 2080-2099, ccsm4, Jul Anomaly, NPL
0.05381, 2080-2099, ccsm4, Aug Anomaly, NPL
0.66734, 2080-2099, ccsm4, Sep Anomaly, NPL
