Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
-3.0762, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-2.831, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
2.86609, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
5.27932, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
4.42592, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
2.27631, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
1.78058, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.21659, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-0.4015, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.74631, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.88086, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
4.11495, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
1.6566, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.3796, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-2.882, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.48468, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
-0.8036, 2040-2059, bcc_csm1_1, May Anomaly, NPL
-5.48, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
-1.4002, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
-0.759, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
-3.4543, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.15733, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-2.8893, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-2.3651, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-4.1319, 2040-2059, ccsm4, Jan Anomaly, NPL
2.02512, 2040-2059, ccsm4, Feb Anomaly, NPL
5.55714, 2040-2059, ccsm4, Mar Anomaly, NPL
4.9655, 2040-2059, ccsm4, Apr Anomaly, NPL
4.34426, 2040-2059, ccsm4, May Anomaly, NPL
1.83063, 2040-2059, ccsm4, Jun Anomaly, NPL
0.4888, 2040-2059, ccsm4, Jul Anomaly, NPL
-0.0357, 2040-2059, ccsm4, Aug Anomaly, NPL
0.43425, 2040-2059, ccsm4, Sep Anomaly, NPL
-1.9218, 2040-2059, ccsm4, Oct Anomaly, NPL
-3.4703, 2040-2059, ccsm4, Nov Anomaly, NPL
-0.5148, 2040-2059, ccsm4, Dec Anomaly, NPL
-7.074, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-6.9441, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
-2.4798, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
-3.1698, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
-5.3007, 2040-2059, cesm1_cam5, May Anomaly, NPL
0.16569, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
-0.9426, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
0.17537, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
-0.5937, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
-3.6597, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
-3.8146, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
-5.2819, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
2.75973, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
-0.347, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
6.201, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
1.97851, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
-1.7935, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
-8.0599, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
2.63392, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
-1.0951, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
-5.2932, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
-8.4406, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
-8.152, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
-4.0869, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
-0.557, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
3.06811, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
7.51051, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
-1.499, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
3.41128, 2040-2059, gfdl_cm3, May Anomaly, NPL
