Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
2.41053, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-2.8726, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.236, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
5.62837, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
5.19672, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
1.13534, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
2.0337, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.10256, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-0.2425, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-1.3419, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1856, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
2.06186, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
1.79274, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.0376, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
2.64167, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.82272, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-1.5462, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-5.2437, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-1.8142, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-3.0341, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.24073, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
4.69062, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.1587, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-0.5116, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
0.27102, 2080-2099, bnu_esm, Jan Anomaly, NPL
4.59921, 2080-2099, bnu_esm, Feb Anomaly, NPL
-1.333, 2080-2099, bnu_esm, Mar Anomaly, NPL
-0.718, 2080-2099, bnu_esm, Apr Anomaly, NPL
-5.738, 2080-2099, bnu_esm, May Anomaly, NPL
-2.4412, 2080-2099, bnu_esm, Jun Anomaly, NPL
-0.5377, 2080-2099, bnu_esm, Jul Anomaly, NPL
-0.0178, 2080-2099, bnu_esm, Aug Anomaly, NPL
-2.4458, 2080-2099, bnu_esm, Sep Anomaly, NPL
-5.1394, 2080-2099, bnu_esm, Oct Anomaly, NPL
-2.2765, 2080-2099, bnu_esm, Nov Anomaly, NPL
-1.9085, 2080-2099, bnu_esm, Dec Anomaly, NPL
-2.6885, 2080-2099, canesm2, Jan Anomaly, NPL
-7.5848, 2080-2099, canesm2, Feb Anomaly, NPL
-6.6134, 2080-2099, canesm2, Mar Anomaly, NPL
-7.1009, 2080-2099, canesm2, Apr Anomaly, NPL
-1.4048, 2080-2099, canesm2, May Anomaly, NPL
-2.3477, 2080-2099, canesm2, Jun Anomaly, NPL
-2.327, 2080-2099, canesm2, Jul Anomaly, NPL
-0.3817, 2080-2099, canesm2, Aug Anomaly, NPL
-0.6345, 2080-2099, canesm2, Sep Anomaly, NPL
-3.3659, 2080-2099, canesm2, Oct Anomaly, NPL
-1.8198, 2080-2099, canesm2, Nov Anomaly, NPL
-2.9685, 2080-2099, canesm2, Dec Anomaly, NPL
-2.453, 2080-2099, ccsm4, Jan Anomaly, NPL
3.75226, 2080-2099, ccsm4, Feb Anomaly, NPL
3.77389, 2080-2099, ccsm4, Mar Anomaly, NPL
3.24263, 2080-2099, ccsm4, Apr Anomaly, NPL
6.5345, 2080-2099, ccsm4, May Anomaly, NPL
0.6799, 2080-2099, ccsm4, Jun Anomaly, NPL
0.62563, 2080-2099, ccsm4, Jul Anomaly, NPL
-0.0187, 2080-2099, ccsm4, Aug Anomaly, NPL
0.10633, 2080-2099, ccsm4, Sep Anomaly, NPL
-1.0277, 2080-2099, ccsm4, Oct Anomaly, NPL
-1.1734, 2080-2099, ccsm4, Nov Anomaly, NPL
3.39662, 2080-2099, ccsm4, Dec Anomaly, NPL
1.32918, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-1.6471, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-6.531, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-0.2177, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-1.2702, 2080-2099, cesm1_cam5, May Anomaly, NPL
0.78843, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-0.4022, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
0.2446, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-0.4782, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-0.2756, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-1.0987, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-1.7185, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
10.1947, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
5.93489, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
-3.8661, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
2.46473, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
-2.257, 2080-2099, cnrm_cm5, May Anomaly, NPL
-2.1382, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
-0.2684, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
-0.161, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
-0.513, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
-1.5359, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
1.6627, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
5.29475, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
4.2961, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
6.48658, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
9.2992, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
-1.2672, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
0.07195, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-1.8803, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
6.20474, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
-0.8116, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
-5.7122, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
-8.8732, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
-5.2841, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
1.38284, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
-3.8542, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
2.9922, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
1.22802, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
0.90265, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
8.40987, 2080-2099, gfdl_cm3, May Anomaly, NPL
0.31852, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
-1.4851, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
-0.3329, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
-1.6174, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
-1.9801, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
-1.8279, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
2.6366, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
3.8528, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
3.98366, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
1.23451, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
1.50104, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
0.33789, 2080-2099, gfdl_esm2g, May Anomaly, NPL
0.04458, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
-2.1338, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
0.28377, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
0.67106, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
-0.6878, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
-0.0702, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
-1.2572, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
2.84228, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
-1.5164, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
6.63732, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
4.98858, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
6.73961, 2080-2099, gfdl_esm2m, May Anomaly, NPL
0.66368, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
0.29102, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
