YEAR,MONTH,DAY,TMAX
1976,11,5,21
1976,11,8,19
1976,11,10,19
1976,11,11,18
1976,11,15,18
1976,11,16,18
1976,11,19,15
1976,12,13,17
1976,12,15,15
1976,12,22,18
1977,1,29,12
1977,2,9,14
1977,2,10,17
1977,2,15,18
1977,2,21,21
1977,2,25,18
1977,2,26,20
1977,3,7,22
1977,3,10,23
1977,3,19,24
1977,3,24,25
1977,3,28,24
1977,4,5,22
1977,4,7,25
1977,4,8,23
1977,4,10,22
1977,4,25,22
1977,4,27,23
1977,4,28,25
1977,5,2,21
1977,5,7,19
1977,5,8,21
1977,5,10,23
1977,5,11,24
1977,5,15,26
1977,5,31,27
1977,6,3,24
1977,6,6,23
1977,6,10,24
1977,6,13,24
1977,6,17,25
1977,7,1,25
1977,7,4,26
1977,7,7,24
1977,7,12,23
1977,7,16,25
1977,7,18,25
1977,7,26,27
1977,8,1,26
1977,8,2,24
1977,8,14,23
1977,8,31,27
1977,9,2,25
1977,9,8,26
1977,9,14,23
1977,9,15,21
1977,9,21,21
1977,9,22,23
1977,9,23,24
1977,9,24,24
1977,9,27,24
1977,10,3,21
1977,10,9,23
1977,10,10,24
1977,10,11,23
1977,10,14,20
1977,10,17,20
1977,10,19,21
1977,10,23,20
1977,10,24,20
1977,10,26,16
1977,10,27,20
1977,10,28,20
1977,10,29,21
1977,10,31,22
1977,11,1,20
1977,11,2,21
1977,11,3,19
1977,11,5,19
1977,11,6,17
1977,11,7,17
1977,11,10,19
1977,11,11,19
1977,11,12,17
1977,11,13,16
1977,11,15,18
1977,11,17,19
1977,11,19,19
1977,11,20,20
1977,11,22,18
1977,11,25,18
1977,11,28,18
1977,12,6,15
1977,12,10,16
1977,12,13,16
1977,12,16,15
1977,12,17,16
1977,12,19,18
1977,12,28,13
1977,12,30,11
1978,1,3,10
1978,1,5,14
1978,1,7,13
1978,1,11,17
1978,1,13,9
1978,2,2,15
1978,2,4,15
1978,2,5,13
1978,2,7,16
1978,2,9,14
1978,2,12,13
1978,2,15,16
1978,2,18,16
1978,2,21,13
1978,2,25,20
1978,2,26,21
1978,2,27,22
1978,3,1,21
1978,3,9,19
1978,3,17,21
1978,3,21,21
1978,3,22,21
1978,3,31,19
1978,4,1,21
1978,4,22,23
1978,4,23,23
1978,4,27,25
1978,4,28,25
1978,5,1,24
1978,5,3,24
1978,5,7,23
1978,5,11,24
1978,5,13,25
1978,5,29,24
1978,6,3,25
1978,6,6,25
1978,6,7,24
1978,6,14,24
1978,6,16,25
1978,6,17,25
1978,6,28,25
1978,7,14,24
1978,7,19,21
1978,7,25,25
1978,7,27,23
1978,7,29,26
1978,7,31,25
1978,8,1,23
1978,8,2,26
1978,8,10,25
1978,8,11,27
1978,8,12,28
1978,8,13,27
1978,8,17,26
1978,8,23,24
1978,8,25,27
1978,8,28,29
1978,8,30,25
1978,9,4,24
1978,9,7,26
1978,9,12,21
1978,9,15,25
1978,9,16,24
1978,9,18,24
1978,9,20,24
1978,9,24,25
1978,9,30,23
1978,10,9,23
1978,10,16,23
1978,10,18,23
1978,11,10,19
1978,11,12,21
1978,11,16,19
1978,11,24,17
1978,12,1,18
1978,12,2,11
1978,12,5,20
1978,12,6,20
1978,12,7,19
1978,12,10,18
1978,12,12,20
1978,12,16,18
1978,12,17,16
1978,12,23,16
1978,12,28,17
1978,12,29,18
1978,12,31,16
1979,1,1,16
1979,1,13,16
1979,1,28,16
1979,2,1,12
1979,2,7,16
1979,2,8,9
1979,2,17,19
1979,2,20,18
1979,3,3,20
1979,3,6,21
1979,3,15,20
1979,3,16,19
1979,3,18,22
1979,3,21,22
1979,3,23,24
1979,3,24,23
1979,3,30,23
1979,4,21,24
1979,4,30,24
1979,5,1,22
1979,5,2,21
1979,5,9,28
1979,5,10,25
1979,5,14,26
1979,5,15,27
1979,5,27,28
1979,6,16,24
1979,6,19,26
1979,6,20,26
1979,6,21,24
1979,6,22,25
1979,7,4,25
1979,8,3,28
1979,8,5,29
1979,8,7,29
1979,8,11,27
1979,8,12,26
1979,8,13,25
1979,8,18,24
1979,8,25,23
1979,8,27,22
1979,8,28,23
1979,8,29,23
1979,9,1,24
1979,9,3,23
1979,9,8,23
1979,9,9,25
1979,9,15,22
1979,9,16,24
1979,9,17,24
1979,9,18,24
1979,9,19,24
1979,9,21,24
1979,9,24,24
1979,9,25,25
1979,9,29,24
1979,10,8,21
1979,10,11,21
1979,10,24,21
1979,10,26,20
1979,11,19,18
1979,11,27,19
1979,12,19,13
1979,12,21,13
1979,12,27,14
1980,1,2,13
1980,1,6,15
1980,1,10,14
1980,1,16,14
1980,1,20,15
1980,1,22,14
1980,1,23,15
1980,1,25,14
1980,1,27,14
1980,2,6,15
1980,2,8,12
1980,2,11,14
1980,2,12,15
1980,2,13,15
1980,2,14,19
1980,2,15,19
1980,2,16,19
1980,2,17,18
1980,2,18,15
1980,2,19,16
1980,2,20,16
1980,2,23,19
1980,2,27,18
1980,2,29,20
1980,3,1,17
1980,3,5,15
1980,3,12,21
1980,4,4,24
1980,4,5,25
1980,4,8,26
1980,4,9,26
1980,4,10,25
1980,4,20,27
1980,4,23,25
1980,4,26,28
1980,4,27,26
1980,5,3,25
1980,5,16,24
1980,5,18,25
1980,5,23,25
1980,5,24,25
1980,5,25,26
1980,5,26,23
1980,5,30,23
1980,6,2,25
1980,6,10,24
1980,6,14,23
1980,6,15,25
1980,6,18,26
1980,6,19,23
1980,6,30,28
1980,7,2,25
1980,7,10,25
1980,7,11,25
1980,7,21,25
1980,7,22,27
1980,7,23,27
1980,7,27,26
1980,7,29,24
1980,7,31,24
1980,8,1,24
1980,8,4,25
1980,8,23,27
1980,8,26,27
1980,8,29,24
1980,9,1,27
1980,9,6,26
1980,9,7,26
1980,9,13,23
1980,9,16,22
1980,9,22,23
1980,10,12,23
1980,10,30,22
1980,10,31,22
1980,11,1,22
1980,11,6,20
1980,11,7,20
1980,11,9,22
1980,11,10,22
1980,11,11,21
1980,11,14,20
1980,11,15,20
1980,11,17,20
1980,11,18,20
1980,11,19,19
1980,11,21,21
1980,11,25,17
1980,11,26,18
1980,11,29,17
1980,12,1,20
1980,12,2,19
1980,12,3,19
1980,12,5,17
1980,12,12,18
1980,12,13,17
1980,12,15,17
1980,12,19,16
1980,12,29,19
1980,12,31,16
1981,1,1,16
1981,1,2,16
1981,1,3,17
1981,1,7,10
1981,1,9,13
1981,1,14,15
1981,1,19,12
1981,1,20,15
1981,1,21,15
1981,1,22,14
1981,1,23,15
1981,1,27,16
1981,1,28,18
1981,2,2,14
1981,2,11,13
1981,2,12,10
1981,2,13,15
1981,2,16,17
1981,2,17,18
1981,2,18,17
1981,2,20,19
1981,2,21,19
1981,2,22,18
1981,2,25,21
1981,2,26,20
1981,2,27,20
1981,3,2,21
1981,3,3,20
1981,3,21,24
1981,3,22,24
1981,3,24,22
1981,3,25,22
1981,3,27,18
1981,3,28,19
1981,3,29,18
1981,3,30,18
1981,4,1,18
1981,4,3,19
1981,4,5,23
1981,4,8,24
1981,4,9,23
1981,4,10,22
1981,4,11,24
1981,4,12,24
1981,4,13,23
1981,4,14,24
1981,4,15,24
1981,4,16,19
1981,4,19,21
1981,4,20,20
1981,4,21,20
1981,4,22,21
1981,4,23,24
1981,4,27,22
1981,5,4,24
1981,5,21,26
1981,5,22,24
1981,5,23,25
1981,5,27,23
1981,5,30,23
1981,6,3,25
1981,6,9,24
1981,6,10,24
1981,6,26,24
1981,7,7,26
1981,7,10,25
1981,7,12,24
1981,7,13,26
1981,7,17,24
1981,7,23,25
1981,7,29,25
1981,8,6,26
1981,8,8,27
1981,8,12,24
1981,8,13,26
1981,8,18,24
1981,8,19,24
1981,10,15,24
1981,10,16,24
1981,10,17,23
1981,10,19,24
1981,10,20,22
1981,10,21,21
1981,10,27,20
1981,11,1,20
1981,11,30,19
1981,12,14,18
1981,12,19,16
1981,12,23,15
1981,12,24,16
1981,12,29,15
1982,1,9,17.6
1982,1,11,16.2
1982,1,13,16
1982,1,16,15.4
1982,1,22,16.5
1982,2,15,15
1982,2,25,16.3
1982,2,28,19.9
1982,3,7,15.1
