Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
1.4E-4, 2080-2099, access1_0, Feb Anomaly, NPL
0.23339, 2080-2099, access1_0, Mar Anomaly, NPL
1.38571, 2080-2099, access1_0, Apr Anomaly, NPL
0.35705, 2080-2099, access1_0, May Anomaly, NPL
0.09084, 2080-2099, access1_0, Jun Anomaly, NPL
0.04999, 2080-2099, access1_0, Jul Anomaly, NPL
0.01539, 2080-2099, access1_0, Aug Anomaly, NPL
0.01841, 2080-2099, access1_0, Sep Anomaly, NPL
0.11499, 2080-2099, access1_3, Mar Anomaly, NPL
2.52489, 2080-2099, access1_3, Apr Anomaly, NPL
3.4248, 2080-2099, access1_3, May Anomaly, NPL
2.28583, 2080-2099, access1_3, Jun Anomaly, NPL
0.5694, 2080-2099, access1_3, Jul Anomaly, NPL
0.0762, 2080-2099, access1_3, Aug Anomaly, NPL
0.12071, 2080-2099, access1_3, Sep Anomaly, NPL
0.0355, 2080-2099, access1_3, Oct Anomaly, NPL
0.0034, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
0.68234, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
1.71114, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
2.29756, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
0.53884, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.4667, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.43242, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.06078, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.42173, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
2.0307, 2080-2099, bcc_csm1_1, May Anomaly, NPL
3.23218, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
1.40744, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
0.6757, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.96972, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.15816, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.01012, 2080-2099, bnu_esm, Mar Anomaly, NPL
0.4346, 2080-2099, bnu_esm, Apr Anomaly, NPL
2.09187, 2080-2099, bnu_esm, May Anomaly, NPL
2.21686, 2080-2099, bnu_esm, Jun Anomaly, NPL
0.36429, 2080-2099, bnu_esm, Jul Anomaly, NPL
0.07138, 2080-2099, bnu_esm, Aug Anomaly, NPL
0.05016, 2080-2099, bnu_esm, Sep Anomaly, NPL
-4.0E-4, 2080-2099, bnu_esm, Oct Anomaly, NPL
0.00572, 2080-2099, canesm2, Mar Anomaly, NPL
0.29907, 2080-2099, canesm2, Apr Anomaly, NPL
1.71555, 2080-2099, canesm2, May Anomaly, NPL
2.1605, 2080-2099, canesm2, Jun Anomaly, NPL
0.97043, 2080-2099, canesm2, Jul Anomaly, NPL
0.19688, 2080-2099, canesm2, Aug Anomaly, NPL
-0.0018, 2080-2099, canesm2, Sep Anomaly, NPL
0.05432, 2080-2099, ccsm4, Mar Anomaly, NPL
1.07416, 2080-2099, ccsm4, Apr Anomaly, NPL
1.9344, 2080-2099, ccsm4, May Anomaly, NPL
1.76635, 2080-2099, ccsm4, Jun Anomaly, NPL
0.1175, 2080-2099, ccsm4, Jul Anomaly, NPL
0.02975, 2080-2099, ccsm4, Aug Anomaly, NPL
0.0068, 2080-2099, ccsm4, Sep Anomaly, NPL
9.5E-4, 2080-2099, ccsm4, Oct Anomaly, NPL
0.03139, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
0.9133, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
2.46168, 2080-2099, cesm1_bgc, May Anomaly, NPL
1.91704, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
0.24863, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
0.06241, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
0.01709, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
0.00446, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
0.30268, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
1.68136, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
2.52888, 2080-2099, cesm1_cam5, May Anomaly, NPL
1.58584, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
0.31817, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
0.09667, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
0.06143, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
0.00572, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
