Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.72021, 2080-2099, access1_0, Mar Anomaly, NPL
2.09662, 2080-2099, access1_0, Apr Anomaly, NPL
0.8378, 2080-2099, access1_0, May Anomaly, NPL
0.49556, 2080-2099, access1_0, Jun Anomaly, NPL
0.27161, 2080-2099, access1_0, Jul Anomaly, NPL
0.28082, 2080-2099, access1_0, Aug Anomaly, NPL
0.22524, 2080-2099, access1_0, Sep Anomaly, NPL
0.01222, 2080-2099, access1_0, Oct Anomaly, NPL
0.30452, 2080-2099, access1_3, Mar Anomaly, NPL
3.35139, 2080-2099, access1_3, Apr Anomaly, NPL
4.15288, 2080-2099, access1_3, May Anomaly, NPL
1.39476, 2080-2099, access1_3, Jun Anomaly, NPL
0.47755, 2080-2099, access1_3, Jul Anomaly, NPL
0.30019, 2080-2099, access1_3, Aug Anomaly, NPL
0.8328, 2080-2099, access1_3, Sep Anomaly, NPL
0.11318, 2080-2099, access1_3, Oct Anomaly, NPL
5.6E-4, 2080-2099, access1_3, Nov Anomaly, NPL
0.11962, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
2.6431, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
4.46761, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
5.86714, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
2.19957, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
1.42786, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.75058, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.40641, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
9.3E-4, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
1.9E-4, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
0.04763, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
1.37964, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
5.06968, 2080-2099, bcc_csm1_1, May Anomaly, NPL
