Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.01018, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
0.43175, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
1.09762, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
1.16513, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.09691, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.25331, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.18057, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.04374, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.00163, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.23696, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.9085, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.53865, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.76041, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.15887, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.13814, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.00823, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.01331, 2040-2059, bnu_esm, Mar Anomaly, NPL
0.25708, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.04021, 2040-2059, bnu_esm, May Anomaly, NPL
2.8636, 2040-2059, bnu_esm, Jun Anomaly, NPL
0.79218, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.01274, 2040-2059, bnu_esm, Aug Anomaly, NPL
-0.0245, 2040-2059, bnu_esm, Sep Anomaly, NPL
0.00906, 2040-2059, bnu_esm, Oct Anomaly, NPL
3.7E-4, 2040-2059, canesm2, Mar Anomaly, NPL
0.32375, 2040-2059, canesm2, Apr Anomaly, NPL
1.30198, 2040-2059, canesm2, May Anomaly, NPL
1.89948, 2040-2059, canesm2, Jun Anomaly, NPL
1.32322, 2040-2059, canesm2, Jul Anomaly, NPL
0.50946, 2040-2059, canesm2, Aug Anomaly, NPL
0.00938, 2040-2059, canesm2, Sep Anomaly, NPL
0.00726, 2040-2059, ccsm4, Mar Anomaly, NPL
0.86305, 2040-2059, ccsm4, Apr Anomaly, NPL
1.22383, 2040-2059, ccsm4, May Anomaly, NPL
1.0003, 2040-2059, ccsm4, Jun Anomaly, NPL
0.17018, 2040-2059, ccsm4, Jul Anomaly, NPL
0.00367, 2040-2059, ccsm4, Aug Anomaly, NPL
-0.0034, 2040-2059, ccsm4, Sep Anomaly, NPL
0.04953, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
0.87311, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
0.75034, 2040-2059, cesm1_cam5, May Anomaly, NPL
0.22731, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
-1.0E-4, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
6.9E-4, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
0.00768, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
0.00965, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
0.77562, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
0.98039, 2040-2059, cnrm_cm5, May Anomaly, NPL
0.27664, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
-0.0191, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
-9.0E-4, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
