Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
-0.0025, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
0.34374, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
1.27993, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
1.62532, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
0.38587, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.2654, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.07027, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.05203, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.10833, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
0.81577, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.97757, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
1.0699, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-0.1878, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.38089, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.08697, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.00151, 2080-2099, bnu_esm, Mar Anomaly, NPL
0.14692, 2080-2099, bnu_esm, Apr Anomaly, NPL
0.60946, 2080-2099, bnu_esm, May Anomaly, NPL
1.9362, 2080-2099, bnu_esm, Jun Anomaly, NPL
0.38423, 2080-2099, bnu_esm, Jul Anomaly, NPL
0.02055, 2080-2099, bnu_esm, Aug Anomaly, NPL
0.029, 2080-2099, bnu_esm, Sep Anomaly, NPL
0.00281, 2080-2099, bnu_esm, Oct Anomaly, NPL
0.08355, 2080-2099, canesm2, Apr Anomaly, NPL
1.21796, 2080-2099, canesm2, May Anomaly, NPL
1.84089, 2080-2099, canesm2, Jun Anomaly, NPL
1.55835, 2080-2099, canesm2, Jul Anomaly, NPL
0.14636, 2080-2099, canesm2, Aug Anomaly, NPL
0.00602, 2080-2099, canesm2, Sep Anomaly, NPL
1.9E-4, 2080-2099, canesm2, Oct Anomaly, NPL
0.0038, 2080-2099, ccsm4, Mar Anomaly, NPL
0.45737, 2080-2099, ccsm4, Apr Anomaly, NPL
1.63302, 2080-2099, ccsm4, May Anomaly, NPL
1.22623, 2080-2099, ccsm4, Jun Anomaly, NPL
0.21429, 2080-2099, ccsm4, Jul Anomaly, NPL
0.00919, 2080-2099, ccsm4, Aug Anomaly, NPL
2.9E-4, 2080-2099, ccsm4, Sep Anomaly, NPL
