Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
2.9E-4, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
0.50673, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
0.93852, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.46928, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.22415, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.20613, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-0.1146, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.00401, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.19315, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.78401, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.80221, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.35375, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.29535, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.31187, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.03782, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.00391, 2020-2039, bnu_esm, Mar Anomaly, NPL
0.19456, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.00411, 2020-2039, bnu_esm, May Anomaly, NPL
1.48667, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.51206, 2020-2039, bnu_esm, Jul Anomaly, NPL
-0.016, 2020-2039, bnu_esm, Aug Anomaly, NPL
0.04593, 2020-2039, bnu_esm, Sep Anomaly, NPL
-8.0E-4, 2020-2039, bnu_esm, Oct Anomaly, NPL
0.00168, 2020-2039, canesm2, Mar Anomaly, NPL
0.15573, 2020-2039, canesm2, Apr Anomaly, NPL
1.00805, 2020-2039, canesm2, May Anomaly, NPL
1.01746, 2020-2039, canesm2, Jun Anomaly, NPL
0.46649, 2020-2039, canesm2, Jul Anomaly, NPL
-0.1344, 2020-2039, canesm2, Aug Anomaly, NPL
0.01202, 2020-2039, canesm2, Sep Anomaly, NPL
0.00353, 2020-2039, ccsm4, Mar Anomaly, NPL
0.64032, 2020-2039, ccsm4, Apr Anomaly, NPL
1.76812, 2020-2039, ccsm4, May Anomaly, NPL
1.50885, 2020-2039, ccsm4, Jun Anomaly, NPL
0.04615, 2020-2039, ccsm4, Jul Anomaly, NPL
0.00786, 2020-2039, ccsm4, Aug Anomaly, NPL
-0.0023, 2020-2039, ccsm4, Sep Anomaly, NPL
0.00197, 2020-2039, ccsm4, Oct Anomaly, NPL
0.08478, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
0.45547, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
0.43008, 2020-2039, cesm1_cam5, May Anomaly, NPL
0.58671, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-0.0955, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
-1.0E-4, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
8.4E-4, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
-0.0074, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
0.43908, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
0.77014, 2020-2039, cnrm_cm5, May Anomaly, NPL
0.11608, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-0.0719, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
-0.0111, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
0.24558, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
1.1847, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
1.7367, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
1.13153, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
0.54117, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
