Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.00244, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
0.41342, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
1.0812, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.47819, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.17885, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.33587, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.03558, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.07383, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.17296, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.6765, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.36952, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.32166, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.07552, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.36333, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.05131, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.00488, 2060-2079, bnu_esm, Mar Anomaly, NPL
0.21151, 2060-2079, bnu_esm, Apr Anomaly, NPL
1.08952, 2060-2079, bnu_esm, May Anomaly, NPL
2.31809, 2060-2079, bnu_esm, Jun Anomaly, NPL
0.46718, 2060-2079, bnu_esm, Jul Anomaly, NPL
-0.0164, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.04093, 2060-2079, bnu_esm, Sep Anomaly, NPL
0.00194, 2060-2079, canesm2, Mar Anomaly, NPL
0.37397, 2060-2079, canesm2, Apr Anomaly, NPL
1.49966, 2060-2079, canesm2, May Anomaly, NPL
2.04935, 2060-2079, canesm2, Jun Anomaly, NPL
2.21457, 2060-2079, canesm2, Jul Anomaly, NPL
0.59036, 2060-2079, canesm2, Aug Anomaly, NPL
0.03452, 2060-2079, canesm2, Sep Anomaly, NPL
0.00375, 2060-2079, ccsm4, Mar Anomaly, NPL
0.58788, 2060-2079, ccsm4, Apr Anomaly, NPL
1.66162, 2060-2079, ccsm4, May Anomaly, NPL
1.78971, 2060-2079, ccsm4, Jun Anomaly, NPL
0.12056, 2060-2079, ccsm4, Jul Anomaly, NPL
0.00763, 2060-2079, ccsm4, Aug Anomaly, NPL
-0.0025, 2060-2079, ccsm4, Sep Anomaly, NPL
0.03281, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
0.69141, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
1.15179, 2060-2079, cesm1_cam5, May Anomaly, NPL
0.82969, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
0.0456, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
0.00889, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
0.01475, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
5.6E-4, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.04298, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
0.78642, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
0.89586, 2060-2079, cnrm_cm5, May Anomaly, NPL
0.55242, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
0.06728, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
0.01711, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
0.00422, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
1.7E-4, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
0.24049, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
1.80755, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
2.59455, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
