Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
1.96537, 2020-2039, gfdl_esm2m, May Anomaly, NPL
1.30896, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
0.48027, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
0.25441, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
0.01051, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
0.03981, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
0.0203, 2020-2039, hadgem2_ao, May Anomaly, NPL
0.0719, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
-0.0293, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
5.5E-4, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
1.9E-4, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
0.00731, 2020-2039, hadgem2_cc, Apr Anomaly, NPL
0.16667, 2020-2039, hadgem2_cc, May Anomaly, NPL
0.06944, 2020-2039, hadgem2_cc, Jun Anomaly, NPL
0.02662, 2020-2039, hadgem2_cc, Jul Anomaly, NPL
0.01655, 2020-2039, hadgem2_cc, Aug Anomaly, NPL
0.01708, 2020-2039, hadgem2_cc, Sep Anomaly, NPL
0.00113, 2020-2039, inmcm4, Feb Anomaly, NPL
0.04982, 2020-2039, inmcm4, Mar Anomaly, NPL
0.37659, 2020-2039, inmcm4, Apr Anomaly, NPL
-0.0141, 2020-2039, inmcm4, May Anomaly, NPL
-0.4504, 2020-2039, inmcm4, Jun Anomaly, NPL
0.07701, 2020-2039, inmcm4, Jul Anomaly, NPL
0.02418, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
0.33588, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
1.15132, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
0.93047, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
0.13142, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
0.00886, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
0.0199, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
0.3361, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
0.87542, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
0.91814, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
0.11211, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
0.0227, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
0.00603, 2020-2039, ipsl_cm5b_lr, Apr Anomaly, NPL
0.06861, 2020-2039, ipsl_cm5b_lr, May Anomaly, NPL
0.5252, 2020-2039, ipsl_cm5b_lr, Jun Anomaly, NPL
0.66186, 2020-2039, ipsl_cm5b_lr, Jul Anomaly, NPL
0.74869, 2020-2039, ipsl_cm5b_lr, Aug Anomaly, NPL
0.30176, 2020-2039, ipsl_cm5b_lr, Sep Anomaly, NPL
0.00137, 2020-2039, ipsl_cm5b_lr, Oct Anomaly, NPL
0.01047, 2020-2039, miroc5, Mar Anomaly, NPL
0.46691, 2020-2039, miroc5, Apr Anomaly, NPL
1.13568, 2020-2039, miroc5, May Anomaly, NPL
-0.01, 2020-2039, miroc5, Jun Anomaly, NPL
-0.1113, 2020-2039, miroc5, Jul Anomaly, NPL
0.01782, 2020-2039, miroc5, Aug Anomaly, NPL
0.00845, 2020-2039, miroc5, Sep Anomaly, NPL
0.01653, 2020-2039, miroc_esm_chem, Mar Anomaly, NPL
0.60872, 2020-2039, miroc_esm_chem, Apr Anomaly, NPL
1.67863, 2020-2039, miroc_esm_chem, May Anomaly, NPL
0.91174, 2020-2039, miroc_esm_chem, Jun Anomaly, NPL
0.26152, 2020-2039, miroc_esm_chem, Jul Anomaly, NPL
0.03901, 2020-2039, miroc_esm_chem, Aug Anomaly, NPL
0.02796, 2020-2039, miroc_esm_chem, Sep Anomaly, NPL
-0.0011, 2020-2039, miroc_esm_chem, Oct Anomaly, NPL
0.00149, 2020-2039, miroc_esm, Mar Anomaly, NPL
0.35023, 2020-2039, miroc_esm, Apr Anomaly, NPL
1.10519, 2020-2039, miroc_esm, May Anomaly, NPL
0.38888, 2020-2039, miroc_esm, Jun Anomaly, NPL
-0.1126, 2020-2039, miroc_esm, Jul Anomaly, NPL
0.00351, 2020-2039, miroc_esm, Aug Anomaly, NPL
0.02747, 2020-2039, miroc_esm, Sep Anomaly, NPL
4.9E-4, 2020-2039, miroc_esm, Oct Anomaly, NPL
0.0011, 2020-2039, mpi_esm_lr, Mar Anomaly, NPL
0.40122, 2020-2039, mpi_esm_lr, Apr Anomaly, NPL
0.77238, 2020-2039, mpi_esm_lr, May Anomaly, NPL
