FID,id_punto,cod_variable,period,period_n,trend_anual,geom
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6875,40335,2,1,1901-2012,0.84,POINT (8933389.136160204 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6874,40336,2,1,1901-2012,0.87,POINT (8989048.88155684 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6873,40337,2,1,1901-2012,0.91,POINT (9044708.626953477 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6872,40338,2,1,1901-2012,0.96,POINT (9100368.372350115 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6871,40339,2,1,1901-2012,1,POINT (9156028.117746752 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6870,40340,2,1,1901-2012,1.04,POINT (9211687.863143386 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-686f,40341,2,1,1901-2012,1.07,POINT (9267347.608540025 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-686e,40342,2,1,1901-2012,1.1,POINT (9323007.353936663 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-686d,40343,2,1,1901-2012,1.09,POINT (9378667.099333297 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-686c,40344,2,1,1901-2012,1.06,POINT (9434326.844729934 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-686b,40345,2,1,1901-2012,1.02,POINT (9489986.590126572 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-686a,40346,2,1,1901-2012,0.98,POINT (9545646.335523209 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6869,40347,2,1,1901-2012,0.95,POINT (9601306.080919845 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6868,40348,2,1,1901-2012,0.91,POINT (9656965.826316481 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6867,40349,2,1,1901-2012,0.89,POINT (9712625.57171312 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6866,40350,2,1,1901-2012,0.87,POINT (9768285.317109756 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6865,40665,2,1,1901-2012,0.77,POINT (8933389.136160204 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6864,40666,2,1,1901-2012,0.82,POINT (8989048.88155684 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6863,40667,2,1,1901-2012,0.86,POINT (9044708.626953477 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6862,40668,2,1,1901-2012,0.91,POINT (9100368.372350115 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6861,40669,2,1,1901-2012,0.96,POINT (9156028.117746752 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6860,40670,2,1,1901-2012,1,POINT (9211687.863143386 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-685f,40671,2,1,1901-2012,1.05,POINT (9267347.608540025 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-685e,40672,2,1,1901-2012,1.07,POINT (9323007.353936663 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-685d,40673,2,1,1901-2012,1.09,POINT (9378667.099333297 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-685c,40674,2,1,1901-2012,1.1,POINT (9434326.844729934 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-685b,40675,2,1,1901-2012,1.07,POINT (9489986.590126572 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-685a,40676,2,1,1901-2012,1.03,POINT (9545646.335523209 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6859,40677,2,1,1901-2012,1,POINT (9601306.080919845 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6858,40678,2,1,1901-2012,0.98,POINT (9656965.826316481 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6857,40679,2,1,1901-2012,0.95,POINT (9712625.57171312 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6856,40680,2,1,1901-2012,0.96,POINT (9768285.317109756 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6855,40981,2,1,1901-2012,0.72,POINT (8933389.136160204 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6854,40982,2,1,1901-2012,0.77,POINT (8989048.88155684 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6853,40983,2,1,1901-2012,0.82,POINT (9044708.626953477 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6852,40984,2,1,1901-2012,0.86,POINT (9100368.372350115 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6851,40985,2,1,1901-2012,0.92,POINT (9156028.117746752 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6850,40986,2,1,1901-2012,0.96,POINT (9211687.863143386 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-684f,40987,2,1,1901-2012,1.01,POINT (9267347.608540025 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-684e,40988,2,1,1901-2012,1.05,POINT (9323007.353936663 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-684d,40989,2,1,1901-2012,1.08,POINT (9378667.099333297 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-684c,40990,2,1,1901-2012,1.09,POINT (9434326.844729934 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-684b,40991,2,1,1901-2012,1.09,POINT (9489986.590126572 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-684a,40992,2,1,1901-2012,1.09,POINT (9545646.335523209 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6849,40993,2,1,1901-2012,1.07,POINT (9601306.080919845 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6848,40994,2,1,1901-2012,1.05,POINT (9656965.826316481 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6847,40995,2,1,1901-2012,1.04,POINT (9712625.57171312 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6846,40996,2,1,1901-2012,1,POINT (9768285.317109756 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6845,41295,2,1,1901-2012,0.68,POINT (8933389.136160204 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6844,41296,2,1,1901-2012,0.75,POINT (8989048.88155684 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6843,41297,2,1,1901-2012,0.79,POINT (9044708.626953477 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6842,41298,2,1,1901-2012,0.82,POINT (9100368.372350115 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6841,41299,2,1,1901-2012,0.86,POINT (9156028.117746752 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6840,41300,2,1,1901-2012,0.91,POINT (9211687.863143386 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-683f,41301,2,1,1901-2012,0.96,POINT (9267347.608540025 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-683e,41302,2,1,1901-2012,1.01,POINT (9323007.353936663 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-683d,41303,2,1,1901-2012,1.06,POINT (9378667.099333297 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-683c,41304,2,1,1901-2012,1.08,POINT (9434326.844729934 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-683b,41305,2,1,1901-2012,1.09,POINT (9489986.590126572 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-683a,41306,2,1,1901-2012,1.09,POINT (9545646.335523209 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6839,41307,2,1,1901-2012,1.1,POINT (9601306.080919845 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6838,41308,2,1,1901-2012,1.13,POINT (9656965.826316481 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6837,41309,2,1,1901-2012,1.12,POINT (9712625.57171312 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6836,41310,2,1,1901-2012,1.06,POINT (9768285.317109756 3343864.953833735)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6835,41614,2,1,1901-2012,0.64,POINT (8933389.136160204 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6834,41615,2,1,1901-2012,0.71,POINT (8989048.88155684 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6833,41616,2,1,1901-2012,0.79,POINT (9044708.626953477 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6832,41617,2,1,1901-2012,0.84,POINT (9100368.372350115 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6831,41618,2,1,1901-2012,0.87,POINT (9156028.117746752 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6830,41619,2,1,1901-2012,0.9,POINT (9211687.863143386 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-682f,41620,2,1,1901-2012,0.93,POINT (9267347.608540025 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-682e,41621,2,1,1901-2012,0.95,POINT (9323007.353936663 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-682d,41622,2,1,1901-2012,1,POINT (9378667.099333297 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-682c,41623,2,1,1901-2012,1.05,POINT (9434326.844729934 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-682b,41624,2,1,1901-2012,1.07,POINT (9489986.590126572 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-682a,41625,2,1,1901-2012,1.07,POINT (9545646.335523209 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6829,41626,2,1,1901-2012,1.11,POINT (9601306.080919845 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6828,41627,2,1,1901-2012,1.14,POINT (9656965.826316481 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6827,41628,2,1,1901-2012,1.14,POINT (9712625.57171312 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6826,41629,2,1,1901-2012,1.11,POINT (9768285.317109756 3280529.7896193247)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6825,41926,2,1,1901-2012,0.63,POINT (8933389.136160204 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6824,41927,2,1,1901-2012,0.66,POINT (8989048.88155684 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6823,41928,2,1,1901-2012,0.74,POINT (9044708.626953477 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6822,41929,2,1,1901-2012,0.81,POINT (9100368.372350115 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6821,41930,2,1,1901-2012,0.87,POINT (9156028.117746752 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6820,41931,2,1,1901-2012,0.91,POINT (9211687.863143386 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-681f,41932,2,1,1901-2012,0.94,POINT (9267347.608540025 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-681e,41933,2,1,1901-2012,0.96,POINT (9323007.353936663 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-681d,41934,2,1,1901-2012,0.99,POINT (9378667.099333297 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-681c,41935,2,1,1901-2012,1.02,POINT (9434326.844729934 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-681b,41936,2,1,1901-2012,1.06,POINT (9489986.590126572 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-681a,41937,2,1,1901-2012,1.05,POINT (9545646.335523209 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6819,41938,2,1,1901-2012,1.05,POINT (9601306.080919845 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6818,41939,2,1,1901-2012,1.03,POINT (9656965.826316481 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6817,41940,2,1,1901-2012,1.02,POINT (9712625.57171312 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6816,41941,2,1,1901-2012,0.99,POINT (9768285.317109756 3217490.9158222144)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6815,42228,2,1,1901-2012,0.62,POINT (8933389.136160204 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6814,42229,2,1,1901-2012,0.62,POINT (8989048.88155684 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6813,42230,2,1,1901-2012,0.69,POINT (9044708.626953477 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6812,42231,2,1,1901-2012,0.76,POINT (9100368.372350115 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6811,42232,2,1,1901-2012,0.83,POINT (9156028.117746752 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6810,42233,2,1,1901-2012,0.9,POINT (9211687.863143386 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-680f,42234,2,1,1901-2012,0.95,POINT (9267347.608540025 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-680e,42235,2,1,1901-2012,0.98,POINT (9323007.353936663 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-680d,42236,2,1,1901-2012,1.02,POINT (9378667.099333297 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-680c,42237,2,1,1901-2012,1.04,POINT (9434326.844729934 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-680b,42238,2,1,1901-2012,1.03,POINT (9489986.590126572 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-680a,42239,2,1,1901-2012,1.01,POINT (9545646.335523209 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6809,42240,2,1,1901-2012,0.98,POINT (9601306.080919845 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6808,42241,2,1,1901-2012,0.96,POINT (9656965.826316481 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6807,42242,2,1,1901-2012,0.95,POINT (9712625.57171312 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6806,42243,2,1,1901-2012,0.91,POINT (9768285.317109756 3154740.816666564)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6805,42530,2,1,1901-2012,0.62,POINT (8933389.136160204 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6804,42531,2,1,1901-2012,0.62,POINT (8989048.88155684 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6803,42532,2,1,1901-2012,0.65,POINT (9044708.626953477 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6802,42533,2,1,1901-2012,0.72,POINT (9100368.372350115 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6801,42534,2,1,1901-2012,0.79,POINT (9156028.117746752 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-6800,42535,2,1,1901-2012,0.86,POINT (9211687.863143386 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67ff,42536,2,1,1901-2012,0.93,POINT (9267347.608540025 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67fe,42537,2,1,1901-2012,0.99,POINT (9323007.353936663 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67fd,42538,2,1,1901-2012,1,POINT (9378667.099333297 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67fc,42539,2,1,1901-2012,1,POINT (9434326.844729934 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67fb,42540,2,1,1901-2012,1,POINT (9489986.590126572 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67fa,42541,2,1,1901-2012,0.98,POINT (9545646.335523209 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67f9,42542,2,1,1901-2012,0.94,POINT (9601306.080919845 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67f8,42543,2,1,1901-2012,0.93,POINT (9656965.826316481 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67f7,42544,2,1,1901-2012,0.91,POINT (9712625.57171312 3092272.122885534)
trends_anual_espacial_2_p.fid--5ff12b53_179f504f439_-67f6,42545,2,1,1901-2012,0.88,POINT (9768285.317109756 3092272.122885534)
