FID,id_punto,mes,mes_etiqueta,n_period,period,etp_normal,geom
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa9,40665,16,summer,30,2000,108.23,POINT (8933389.136160204 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa8,40666,16,summer,30,2000,98.13,POINT (8989048.88155684 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa7,40667,16,summer,30,2000,103.63,POINT (9044708.626953477 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa6,40668,16,summer,30,2000,100.36,POINT (9100368.372350115 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa5,40669,16,summer,30,2000,106.06,POINT (9156028.117746752 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa4,40670,16,summer,30,2000,92.66,POINT (9211687.863143386 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa3,40671,16,summer,30,2000,100.7,POINT (9267347.608540025 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa2,40672,16,summer,30,2000,102.2,POINT (9323007.353936663 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa1,40673,16,summer,30,2000,103.26,POINT (9378667.099333297 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4aa0,40674,16,summer,30,2000,95.63,POINT (9434326.844729934 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a9f,40675,16,summer,30,2000,97.63,POINT (9489986.590126572 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a9e,40676,16,summer,30,2000,98.16,POINT (9545646.335523209 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a9d,40677,16,summer,30,2000,106.06,POINT (9601306.080919845 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a9c,40678,16,summer,30,2000,104.3,POINT (9656965.826316481 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a9b,40679,16,summer,30,2000,91.56,POINT (9712625.57171312 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a9a,40680,16,summer,30,2000,94.46,POINT (9768285.317109756 3471454.9819268296)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a99,41295,16,summer,30,2000,144.23,POINT (8933389.136160204 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a98,41296,16,summer,30,2000,136.06,POINT (8989048.88155684 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a97,41297,16,summer,30,2000,126.03,POINT (9044708.626953477 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a96,41298,16,summer,30,2000,106.36,POINT (9100368.372350115 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a95,41299,16,summer,30,2000,97.76,POINT (9156028.117746752 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a94,41300,16,summer,30,2000,91.86,POINT (9211687.863143386 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a93,41301,16,summer,30,2000,100.16,POINT (9267347.608540025 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a92,41302,16,summer,30,2000,101.46,POINT (9323007.353936663 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a91,41303,16,summer,30,2000,91.73,POINT (9378667.099333297 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a90,41304,16,summer,30,2000,81.39,POINT (9434326.844729934 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a8f,41305,16,summer,30,2000,81.9,POINT (9489986.590126572 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a8e,41306,16,summer,30,2000,93.73,POINT (9545646.335523209 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a8d,41307,16,summer,30,2000,89.19,POINT (9601306.080919845 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a8c,41308,16,summer,30,2000,91.16,POINT (9656965.826316481 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a8b,41309,16,summer,30,2000,93.53,POINT (9712625.57171312 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a8a,41310,16,summer,30,2000,95.49,POINT (9768285.317109756 3343864.953833735)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a89,40335,16,summer,30,2000,103.89,POINT (8933389.136160204 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a88,40336,16,summer,30,2000,107.23,POINT (8989048.88155684 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a87,40337,16,summer,30,2000,95.9,POINT (9044708.626953477 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a86,40338,16,summer,30,2000,104.93,POINT (9100368.372350115 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a85,40339,16,summer,30,2000,99.99,POINT (9156028.117746752 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a84,40340,16,summer,30,2000,105.09,POINT (9211687.863143386 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a83,40341,16,summer,30,2000,105.33,POINT (9267347.608540025 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a82,40342,16,summer,30,2000,99.03,POINT (9323007.353936663 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3d1f0090_-4a81,40343,16,summer,30,2000,92.56,POINT (9378667.099333297 3535725.659799159)
