Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
-0.7654, 2060-2079, access1_0, Jan Anomaly, NPL
-1.9724, 2060-2079, access1_0, Feb Anomaly, NPL
-2.2679, 2060-2079, access1_0, Mar Anomaly, NPL
-2.6211, 2060-2079, access1_0, Apr Anomaly, NPL
0.60898, 2060-2079, access1_0, May Anomaly, NPL
6.42389, 2060-2079, access1_0, Jun Anomaly, NPL
5.48235, 2060-2079, access1_0, Jul Anomaly, NPL
1.68096, 2060-2079, access1_0, Aug Anomaly, NPL
-4.6511, 2060-2079, access1_0, Sep Anomaly, NPL
-15.137, 2060-2079, access1_0, Oct Anomaly, NPL
-1.9671, 2060-2079, access1_0, Nov Anomaly, NPL
-1.6275, 2060-2079, access1_0, Dec Anomaly, NPL
-1.1138, 2060-2079, access1_3, Jan Anomaly, NPL
-1.0651, 2060-2079, access1_3, Feb Anomaly, NPL
-1.376, 2060-2079, access1_3, Mar Anomaly, NPL
-3.1956, 2060-2079, access1_3, Apr Anomaly, NPL
-2.7827, 2060-2079, access1_3, May Anomaly, NPL
4.97811, 2060-2079, access1_3, Jun Anomaly, NPL
5.23506, 2060-2079, access1_3, Jul Anomaly, NPL
6.12211, 2060-2079, access1_3, Aug Anomaly, NPL
6.43314, 2060-2079, access1_3, Sep Anomaly, NPL
-4.6898, 2060-2079, access1_3, Oct Anomaly, NPL
0.01207, 2060-2079, access1_3, Nov Anomaly, NPL
-0.69, 2060-2079, access1_3, Dec Anomaly, NPL
-0.4789, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.14858, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.24214, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.8025, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.81795, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.31055, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-3.3742, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-3.7446, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-1.073, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.5321, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-1.0013, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.6062, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.69063, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.13895, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.0292, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.7223, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.16498, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.48389, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-2.3275, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
2.295, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
4.49573, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.4346, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
