Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
-0.0189, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-0.6116, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-1.3349, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-1.3092, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.69672, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.0724, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-1.3933, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-4.6808, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.20994, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.74611, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.23007, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.9147, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.10586, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.57741, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.12232, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.6396, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.18557, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.92398, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-2.8202, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
3.19599, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
1.8097, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.3468, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-0.0532, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.32014, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-0.2586, 2060-2079, bnu_esm, Jan Anomaly, NPL
-0.8841, 2060-2079, bnu_esm, Feb Anomaly, NPL
0.12545, 2060-2079, bnu_esm, Mar Anomaly, NPL
0.37226, 2060-2079, bnu_esm, Apr Anomaly, NPL
0.05951, 2060-2079, bnu_esm, May Anomaly, NPL
-0.8514, 2060-2079, bnu_esm, Jun Anomaly, NPL
-2.9199, 2060-2079, bnu_esm, Jul Anomaly, NPL
-3.9963, 2060-2079, bnu_esm, Aug Anomaly, NPL
-0.031, 2060-2079, bnu_esm, Sep Anomaly, NPL
9.53763, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.63005, 2060-2079, bnu_esm, Nov Anomaly, NPL
0.61227, 2060-2079, bnu_esm, Dec Anomaly, NPL
-0.4507, 2060-2079, canesm2, Jan Anomaly, NPL
0.03632, 2060-2079, canesm2, Feb Anomaly, NPL
0.48297, 2060-2079, canesm2, Mar Anomaly, NPL
0.20332, 2060-2079, canesm2, Apr Anomaly, NPL
-0.7086, 2060-2079, canesm2, May Anomaly, NPL
-0.2878, 2060-2079, canesm2, Jun Anomaly, NPL
-1.2935, 2060-2079, canesm2, Jul Anomaly, NPL
-4.7686, 2060-2079, canesm2, Aug Anomaly, NPL
-8.1002, 2060-2079, canesm2, Sep Anomaly, NPL
6.49141, 2060-2079, canesm2, Oct Anomaly, NPL
-0.3994, 2060-2079, canesm2, Nov Anomaly, NPL
-0.1217, 2060-2079, canesm2, Dec Anomaly, NPL
0.4686, 2060-2079, ccsm4, Jan Anomaly, NPL
0.14018, 2060-2079, ccsm4, Feb Anomaly, NPL
