Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
-0.0287, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.09327, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.1508, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2678, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.68507, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.25459, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-3.3068, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-5.756, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-3.845, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-0.6821, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.8174, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.602, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.4781, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
1.02853, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.24613, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.5957, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.20802, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.33259, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
-0.8824, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
1.8364, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
2.077, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.56105, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.29806, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-0.767, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.98443, 2040-2059, bnu_esm, Jan Anomaly, NPL
-0.2901, 2040-2059, bnu_esm, Feb Anomaly, NPL
0.07242, 2040-2059, bnu_esm, Mar Anomaly, NPL
0.67327, 2040-2059, bnu_esm, Apr Anomaly, NPL
0.72781, 2040-2059, bnu_esm, May Anomaly, NPL
-2.5974, 2040-2059, bnu_esm, Jun Anomaly, NPL
-3.891, 2040-2059, bnu_esm, Jul Anomaly, NPL
-5.0318, 2040-2059, bnu_esm, Aug Anomaly, NPL
-1.2415, 2040-2059, bnu_esm, Sep Anomaly, NPL
3.81022, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.6909, 2040-2059, bnu_esm, Nov Anomaly, NPL
0.83808, 2040-2059, bnu_esm, Dec Anomaly, NPL
-0.1742, 2040-2059, canesm2, Jan Anomaly, NPL
0.53515, 2040-2059, canesm2, Feb Anomaly, NPL
0.23553, 2040-2059, canesm2, Mar Anomaly, NPL
0.16906, 2040-2059, canesm2, Apr Anomaly, NPL
0.16712, 2040-2059, canesm2, May Anomaly, NPL
-0.9937, 2040-2059, canesm2, Jun Anomaly, NPL
0.04586, 2040-2059, canesm2, Jul Anomaly, NPL
-0.4726, 2040-2059, canesm2, Aug Anomaly, NPL
-3.1846, 2040-2059, canesm2, Sep Anomaly, NPL
13.9845, 2040-2059, canesm2, Oct Anomaly, NPL
-0.0457, 2040-2059, canesm2, Nov Anomaly, NPL
-0.0595, 2040-2059, canesm2, Dec Anomaly, NPL
0.52784, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.3596, 2040-2059, ccsm4, Feb Anomaly, NPL
-0.6426, 2040-2059, ccsm4, Mar Anomaly, NPL
0.16043, 2040-2059, ccsm4, Apr Anomaly, NPL
0.07428, 2040-2059, ccsm4, May Anomaly, NPL
-1.475, 2040-2059, ccsm4, Jun Anomaly, NPL
-3.7927, 2040-2059, ccsm4, Jul Anomaly, NPL
-2.0746, 2040-2059, ccsm4, Aug Anomaly, NPL
-0.6989, 2040-2059, ccsm4, Sep Anomaly, NPL
-9.4667, 2040-2059, ccsm4, Oct Anomaly, NPL
0.03275, 2040-2059, ccsm4, Nov Anomaly, NPL
-1.2962, 2040-2059, ccsm4, Dec Anomaly, NPL
-0.3329, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
0.42343, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.75501, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
-0.4536, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
0.24254, 2040-2059, cesm1_cam5, May Anomaly, NPL
0.36512, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
0.10819, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
-1.7554, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
-5.803, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
-4.6917, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
1.18175, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
0.18236, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
-0.2172, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
0.09465, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
-0.4879, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
0.65455, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
2.39369, 2040-2059, cnrm_cm5, May Anomaly, NPL
2.36306, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
