Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
-0.0975, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.42388, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.1647, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.7107, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.1334, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.83927, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-2.702, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-5.1095, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-1.1858, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.73708, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.6284, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.8612, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.10083, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.47188, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.24307, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.36824, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.46305, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.82096, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
0.18579, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
4.93082, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
3.41434, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.8928, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
1.36832, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
1.65591, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.35444, 2060-2079, ccsm4, Jan Anomaly, NPL
-0.6995, 2060-2079, ccsm4, Feb Anomaly, NPL
-0.8154, 2060-2079, ccsm4, Mar Anomaly, NPL
0.43728, 2060-2079, ccsm4, Apr Anomaly, NPL
-1.6068, 2060-2079, ccsm4, May Anomaly, NPL
-1.4547, 2060-2079, ccsm4, Jun Anomaly, NPL
-1.7645, 2060-2079, ccsm4, Jul Anomaly, NPL
-2.5249, 2060-2079, ccsm4, Aug Anomaly, NPL
-2.6286, 2060-2079, ccsm4, Sep Anomaly, NPL
-14.133, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.3383, 2060-2079, ccsm4, Nov Anomaly, NPL
-1.0191, 2060-2079, ccsm4, Dec Anomaly, NPL
-0.8601, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
0.01126, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
0.18533, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
0.19603, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
0.17172, 2060-2079, cesm1_cam5, May Anomaly, NPL
-2.9468, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
-3.5922, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
-5.0099, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
-10.036, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
-5.2558, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.36271, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-0.1804, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-0.3359, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-0.3948, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-0.5517, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-0.1246, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
0.71301, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
0.30702, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-0.784, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
-1.5001, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
7.58626, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
6.07295, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
0.19904, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-0.1971, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
0.22858, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
-0.3451, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.09719, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
