Rainfall,Year,Month Statistics, Country, ISO3
52.5, 1901, Jan Average, Nepal, NPL
32.5, 1901, Feb Average, Nepal, NPL
37.2, 1901, Mar Average, Nepal, NPL
20.6, 1901, Apr Average, Nepal, NPL
132.5, 1901, May Average, Nepal, NPL
156.2, 1901, Jun Average, Nepal, NPL
277.8, 1901, Jul Average, Nepal, NPL
384.4, 1901, Aug Average, Nepal, NPL
152.9, 1901, Sep Average, Nepal, NPL
21.3, 1901, Oct Average, Nepal, NPL
7.6, 1901, Nov Average, Nepal, NPL
11.9, 1901, Dec Average, Nepal, NPL
8.3, 1902, Jan Average, Nepal, NPL
12.8, 1902, Feb Average, Nepal, NPL
56.2, 1902, Mar Average, Nepal, NPL
68.3, 1902, Apr Average, Nepal, NPL
97.6, 1902, May Average, Nepal, NPL
158.9, 1902, Jun Average, Nepal, NPL
398.0, 1902, Jul Average, Nepal, NPL
273.0, 1902, Aug Average, Nepal, NPL
335.2, 1902, Sep Average, Nepal, NPL
41.9, 1902, Oct Average, Nepal, NPL
4.2, 1902, Nov Average, Nepal, NPL
5.7, 1902, Dec Average, Nepal, NPL
19.7, 1903, Jan Average, Nepal, NPL
13.7, 1903, Feb Average, Nepal, NPL
32.1, 1903, Mar Average, Nepal, NPL
26.1, 1903, Apr Average, Nepal, NPL
47.5, 1903, May Average, Nepal, NPL
219.6, 1903, Jun Average, Nepal, NPL
209.9, 1903, Jul Average, Nepal, NPL
296.0, 1903, Aug Average, Nepal, NPL
175.4, 1903, Sep Average, Nepal, NPL
112.0, 1903, Oct Average, Nepal, NPL
3.7, 1903, Nov Average, Nepal, NPL
6.8, 1903, Dec Average, Nepal, NPL
13.9, 1904, Jan Average, Nepal, NPL
14.2, 1904, Feb Average, Nepal, NPL
33.2, 1904, Mar Average, Nepal, NPL
20.0, 1904, Apr Average, Nepal, NPL
145.5, 1904, May Average, Nepal, NPL
221.3, 1904, Jun Average, Nepal, NPL
366.2, 1904, Jul Average, Nepal, NPL
490.3, 1904, Aug Average, Nepal, NPL
154.1, 1904, Sep Average, Nepal, NPL
75.6, 1904, Oct Average, Nepal, NPL
10.8, 1904, Nov Average, Nepal, NPL
15.0, 1904, Dec Average, Nepal, NPL
44.1, 1905, Jan Average, Nepal, NPL
47.5, 1905, Feb Average, Nepal, NPL
79.4, 1905, Mar Average, Nepal, NPL
48.9, 1905, Apr Average, Nepal, NPL
100.8, 1905, May Average, Nepal, NPL
94.4, 1905, Jun Average, Nepal, NPL
396.0, 1905, Jul Average, Nepal, NPL
486.8, 1905, Aug Average, Nepal, NPL
271.9, 1905, Sep Average, Nepal, NPL
19.6, 1905, Oct Average, Nepal, NPL
3.7, 1905, Nov Average, Nepal, NPL
13.0, 1905, Dec Average, Nepal, NPL
19.8, 1906, Jan Average, Nepal, NPL
84.7, 1906, Feb Average, Nepal, NPL
31.2, 1906, Mar Average, Nepal, NPL
20.6, 1906, Apr Average, Nepal, NPL
