Glacier,Decade (year) ~1980,Decade (year)1990,Decade (year)2000,Decade (year),Decadal change(~1980–1990),Decadal change(~1980–1990),Decadal change(1990–2000),Decadal change in % (1990–2000),Decadal change(2000-2010),Decadal change in % (2000–2010),~1980–2010,~1980–2010(%)
Number,3430,3656,3765,3808,226,7%,109,3%,43,1%,378,0.11%
Area (km2),5168,4506,4211,3902,-662,-13%,-295,-7%,-308,-7%,-1266,-0.24%
Estimated ice reserves (km3),441,370,343,312,-72,-16%,-27,-7%,-31,-9%,-129,-0.29%
