Glacier,Decade (year)~1980,Decade (year)1990,Decade (year)2000,Decade (year)2010,Decadal glacier change ~1980–1990,Decadal glacier change ~1980–1990,Decadal glacier change 1990–2000,Decadal glacier change 1990–2000,Decadal glacier change 2000–2010,Decadal glacier change 2000–2010,Decadal glacier change ~1980–2010,Decadal glacier change ~1980–2010
Number,1371,1416,1444,1459,45,0.03,28,0.02,15,0.01,88,0.06
Area (km2),1385,1230,1113,1023,-155,-0.11,-117,-0.1,-90,-0.08,-363,-0.26
Estimated ice reserves (km3),86,74,66,60,-11,-0.13,-8,-0.11,-6,-0.1,-26,-0.3
