Elevation range (masl),Area (km2) in Kali Gandaki,Area (km2) in Marsyangdi,Area (km2) in Seti,Area (km2) in Budhi Gandaki,Area (km2) in Trishuli
"3,200–3,300",0,0,0,0.11,0
"3,300–3,400",0,0,0,0.59,0
"3,400–3,500",0,0,0,1.24,0
"3,500–3,600",0,0,0,2.13,0
"3,600–3,700",0,0.08,0,1.57,0.06
"3,700–3,800",0,0.19,0,1.72,0.25
"3,800–3,900",0.04,0.51,0,2.49,0.07
"3,900–4,000",0.36,0.97,0.01,4.58,0.14
"4,000–4,100",1.29,1.55,0.05,4.09,0.13
"4,100–4,200",2.13,4.21,0.24,5.13,0.36
"4,200–4,300",2.02,5.04,0.18,5.56,0.35
"4,300–4,400",1.43,4.66,0.24,5.43,1.16
"4,400–4,500",2.24,4.66,0.31,5.15,2.07
"4,500–4,600",2.5,5.85,0.5,5.62,3.4
"4,600–4,700",2.91,5.34,1.26,6.14,5.13
"4,700–4,800",3.44,4.96,1.39,8.96,5.59
"4,800–4,900",4.31,5.85,1.35,11.86,7.19
"4,900–5,000",5.22,8.15,1.89,13.74,7.42
"5,000–5,100",8.6,14.52,2.28,15.8,9.44
"5,100–5,200",13.92,18.82,2.18,17.86,13.78
"5,200–5,300",15.8,19.44,2.11,20.01,16.32
"5,300–5,400",17.32,23.39,2.17,21.55,17.59
"5,400–5,500",21.47,29.15,2.04,24.69,18.97
"5,500–5,600",26.19,35.86,2.29,23.33,16.06
"5,600–5,700",36.29,41.49,2.15,20.07,15.06
"5,700–5,800",52.57,40.91,2.33,16.6,14.25
"5,800–5,900",63.48,39.77,3.29,15.6,11.43
"5,900–6,000",64.37,35.91,2.99,13.64,8.69
"6,000–6,100",45.2,32.09,3.36,12.66,6.71
"6,100–6,200",31.36,26.87,3.45,11.96,6.41
"6,200–6,300",22.3,20.2,4,11.18,5.15
"6,300–6,400",15.8,16.36,4.34,9.67,3.79
"6,400–6,500",12.29,13.53,6,6.23,3.32
"6,500–6,600",9.29,10.8,4.59,3.95,2.56
"6,600–6,700",7.93,8.29,3.17,3.35,1.82
"6,700–6,800",6.7,7.05,2.95,3.29,1.26
"6,800–6,900",6.02,6.05,2.53,2.8,0.82
"6,900–7,000",5.16,4.7,1.51,1.9,0.38
"7,000–7,100",4.52,3.36,1.31,1.53,0.32
"7,100–7,200",2.88,2.88,1.04,1.28,0.12
"7,200–7,300",2.22,2.69,1.06,0.88,0
"7,300–7,400",2.09,1.38,0.79,0.74,0
"7,400–7,500",1.68,0.81,0.24,0.79,0
"7,500–7,600",1.24,0.43,0.02,0.56,0
"7,600–7,700",1.07,0.2,0,0.38,0
"7,700–7,800",0.84,0.06,0,0.14,0
"7,800–7,900",0.45,0,0,0.08,0
"7,900–8,000",0.29,0,0,0.04,0
"8,000–8,100",0.09,0,0,0,0
"8,100–8,200",0.01,0,0,0,0
