Daily Probability of Heat Wave - (Probability), Year, Model, Statistics, ISO3
0.02225, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
0.0238, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
0.04399, 2040-2059, bnu_esm, Annual Anomaly, NPL
0.03813, 2040-2059, canesm2, Annual Anomaly, NPL
0.04828, 2040-2059, ccsm4, Annual Anomaly, NPL
0.06134, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
0.03208, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
0.07359, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
0.16317, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
0.01748, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
0.05612, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
0.02979, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
0.11626, 2040-2059, hadgem2_es, Annual Anomaly, NPL
0.06428, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
0.05223, 2040-2059, miroc5, Annual Anomaly, NPL
0.08297, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.05136, 2040-2059, miroc_esm, Annual Anomaly, NPL
0.03637, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
0.03438, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
0.03564, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
0.03327, 2040-2059, noresm1_m, Annual Anomaly, NPL
0.01724, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.04063, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.09931, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
