Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-72.134, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-14.051, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-34.446, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-58.417, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-38.314, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-27.618, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-26.245, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-27.405, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-25.082, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-34.445, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-66.523, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-100.28, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-86.426, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-38.351, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-24.275, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-43.012, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
-37.272, 2040-2059, bcc_csm1_1, May Anomaly, NPL
-29.894, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
-12.373, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
-7.2688, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
-9.0927, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-17.442, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-7.7608, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-37.243, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-63.191, 2040-2059, bnu_esm, Jan Anomaly, NPL
-77.258, 2040-2059, bnu_esm, Feb Anomaly, NPL
-92.935, 2040-2059, bnu_esm, Mar Anomaly, NPL
-75.459, 2040-2059, bnu_esm, Apr Anomaly, NPL
-43.449, 2040-2059, bnu_esm, May Anomaly, NPL
-43.247, 2040-2059, bnu_esm, Jun Anomaly, NPL
-21.948, 2040-2059, bnu_esm, Jul Anomaly, NPL
-14.758, 2040-2059, bnu_esm, Aug Anomaly, NPL
-20.381, 2040-2059, bnu_esm, Sep Anomaly, NPL
-29.39, 2040-2059, bnu_esm, Oct Anomaly, NPL
-40.259, 2040-2059, bnu_esm, Nov Anomaly, NPL
-61.137, 2040-2059, bnu_esm, Dec Anomaly, NPL
-136.18, 2040-2059, canesm2, Jan Anomaly, NPL
-93.35, 2040-2059, canesm2, Feb Anomaly, NPL
-127.75, 2040-2059, canesm2, Mar Anomaly, NPL
-78.561, 2040-2059, canesm2, Apr Anomaly, NPL
-51.736, 2040-2059, canesm2, May Anomaly, NPL
-30.192, 2040-2059, canesm2, Jun Anomaly, NPL
-18.695, 2040-2059, canesm2, Jul Anomaly, NPL
-25.272, 2040-2059, canesm2, Aug Anomaly, NPL
-24.453, 2040-2059, canesm2, Sep Anomaly, NPL
-46.891, 2040-2059, canesm2, Oct Anomaly, NPL
-68.433, 2040-2059, canesm2, Nov Anomaly, NPL
-122.69, 2040-2059, canesm2, Dec Anomaly, NPL
-27.568, 2040-2059, ccsm4, Jan Anomaly, NPL
-49.035, 2040-2059, ccsm4, Feb Anomaly, NPL
-69.68, 2040-2059, ccsm4, Mar Anomaly, NPL
-51.665, 2040-2059, ccsm4, Apr Anomaly, NPL
-38.901, 2040-2059, ccsm4, May Anomaly, NPL
-24.728, 2040-2059, ccsm4, Jun Anomaly, NPL
-29.587, 2040-2059, ccsm4, Jul Anomaly, NPL
-30.863, 2040-2059, ccsm4, Aug Anomaly, NPL
-27.68, 2040-2059, ccsm4, Sep Anomaly, NPL
-35.194, 2040-2059, ccsm4, Oct Anomaly, NPL
-31.829, 2040-2059, ccsm4, Nov Anomaly, NPL
-1.9247, 2040-2059, ccsm4, Dec Anomaly, NPL
-37.857, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-54.73, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
