Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-116.17, 2040-2059, access1_0, Jan Anomaly, NPL
-133.82, 2040-2059, access1_0, Feb Anomaly, NPL
-123.31, 2040-2059, access1_0, Mar Anomaly, NPL
-77.58, 2040-2059, access1_0, Apr Anomaly, NPL
-37.815, 2040-2059, access1_0, May Anomaly, NPL
-32.244, 2040-2059, access1_0, Jun Anomaly, NPL
-32.698, 2040-2059, access1_0, Jul Anomaly, NPL
-34.781, 2040-2059, access1_0, Aug Anomaly, NPL
-50.896, 2040-2059, access1_0, Sep Anomaly, NPL
-87.313, 2040-2059, access1_0, Oct Anomaly, NPL
-100.73, 2040-2059, access1_0, Nov Anomaly, NPL
-139.72, 2040-2059, access1_0, Dec Anomaly, NPL
-126.39, 2040-2059, access1_3, Jan Anomaly, NPL
-88.605, 2040-2059, access1_3, Feb Anomaly, NPL
-76.378, 2040-2059, access1_3, Mar Anomaly, NPL
-64.103, 2040-2059, access1_3, Apr Anomaly, NPL
-43.732, 2040-2059, access1_3, May Anomaly, NPL
-37.689, 2040-2059, access1_3, Jun Anomaly, NPL
-37.019, 2040-2059, access1_3, Jul Anomaly, NPL
-36.254, 2040-2059, access1_3, Aug Anomaly, NPL
-50.135, 2040-2059, access1_3, Sep Anomaly, NPL
-62.958, 2040-2059, access1_3, Oct Anomaly, NPL
-94.537, 2040-2059, access1_3, Nov Anomaly, NPL
-134.86, 2040-2059, access1_3, Dec Anomaly, NPL
-105.82, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-86.981, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-107.89, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-78.254, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-77.465, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-47.447, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-47.843, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-39.182, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-37.46, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-40.645, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-98.161, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-101.0, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-126.32, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-69.407, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-68.997, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-90.35, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
-64.837, 2040-2059, bcc_csm1_1, May Anomaly, NPL
-40.254, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
-30.997, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
-29.51, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
-29.181, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-51.618, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-62.647, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-76.018, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-150.43, 2040-2059, bnu_esm, Jan Anomaly, NPL
-127.12, 2040-2059, bnu_esm, Feb Anomaly, NPL
