Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-73.35, 2020-2039, access1_0, Jan Anomaly, NPL
-100.77, 2020-2039, access1_0, Feb Anomaly, NPL
-69.601, 2020-2039, access1_0, Mar Anomaly, NPL
-32.47, 2020-2039, access1_0, Apr Anomaly, NPL
-17.696, 2020-2039, access1_0, May Anomaly, NPL
-9.1387, 2020-2039, access1_0, Jun Anomaly, NPL
-9.2719, 2020-2039, access1_0, Jul Anomaly, NPL
-11.827, 2020-2039, access1_0, Aug Anomaly, NPL
-20.301, 2020-2039, access1_0, Sep Anomaly, NPL
-40.16, 2020-2039, access1_0, Oct Anomaly, NPL
-60.18, 2020-2039, access1_0, Nov Anomaly, NPL
-57.503, 2020-2039, access1_0, Dec Anomaly, NPL
-57.624, 2020-2039, access1_3, Jan Anomaly, NPL
-55.776, 2020-2039, access1_3, Feb Anomaly, NPL
-59.496, 2020-2039, access1_3, Mar Anomaly, NPL
-30.344, 2020-2039, access1_3, Apr Anomaly, NPL
-19.817, 2020-2039, access1_3, May Anomaly, NPL
-16.729, 2020-2039, access1_3, Jun Anomaly, NPL
-14.427, 2020-2039, access1_3, Jul Anomaly, NPL
-14.761, 2020-2039, access1_3, Aug Anomaly, NPL
-29.307, 2020-2039, access1_3, Sep Anomaly, NPL
-31.153, 2020-2039, access1_3, Oct Anomaly, NPL
-51.259, 2020-2039, access1_3, Nov Anomaly, NPL
-62.695, 2020-2039, access1_3, Dec Anomaly, NPL
-39.444, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-20.864, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-46.046, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-46.692, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-44.142, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-23.372, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-23.967, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-25.929, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-14.28, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-33.862, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-43.837, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-63.253, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-84.635, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-5.5301, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-38.493, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-30.408, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
-36.295, 2020-2039, bcc_csm1_1, May Anomaly, NPL
-23.283, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
-22.545, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
-11.909, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
-8.0393, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-8.6352, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-10.122, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-2.0957, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-71.147, 2020-2039, bnu_esm, Jan Anomaly, NPL
-74.927, 2020-2039, bnu_esm, Feb Anomaly, NPL
-100.03, 2020-2039, bnu_esm, Mar Anomaly, NPL
-51.898, 2020-2039, bnu_esm, Apr Anomaly, NPL
-33.52, 2020-2039, bnu_esm, May Anomaly, NPL
-30.022, 2020-2039, bnu_esm, Jun Anomaly, NPL
-17.089, 2020-2039, bnu_esm, Jul Anomaly, NPL
-8.5354, 2020-2039, bnu_esm, Aug Anomaly, NPL
-13.398, 2020-2039, bnu_esm, Sep Anomaly, NPL
-25.278, 2020-2039, bnu_esm, Oct Anomaly, NPL
-36.177, 2020-2039, bnu_esm, Nov Anomaly, NPL
-57.091, 2020-2039, bnu_esm, Dec Anomaly, NPL
