Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-124.61, 2060-2079, access1_0, Jan Anomaly, NPL
-135.65, 2060-2079, access1_0, Feb Anomaly, NPL
-129.04, 2060-2079, access1_0, Mar Anomaly, NPL
-79.351, 2060-2079, access1_0, Apr Anomaly, NPL
-47.723, 2060-2079, access1_0, May Anomaly, NPL
-32.428, 2060-2079, access1_0, Jun Anomaly, NPL
-31.159, 2060-2079, access1_0, Jul Anomaly, NPL
-33.682, 2060-2079, access1_0, Aug Anomaly, NPL
-45.753, 2060-2079, access1_0, Sep Anomaly, NPL
-81.485, 2060-2079, access1_0, Oct Anomaly, NPL
-108.58, 2060-2079, access1_0, Nov Anomaly, NPL
-121.87, 2060-2079, access1_0, Dec Anomaly, NPL
-109.23, 2060-2079, access1_3, Jan Anomaly, NPL
-87.22, 2060-2079, access1_3, Feb Anomaly, NPL
-87.58, 2060-2079, access1_3, Mar Anomaly, NPL
-75.679, 2060-2079, access1_3, Apr Anomaly, NPL
-55.084, 2060-2079, access1_3, May Anomaly, NPL
-41.547, 2060-2079, access1_3, Jun Anomaly, NPL
-40.913, 2060-2079, access1_3, Jul Anomaly, NPL
-36.46, 2060-2079, access1_3, Aug Anomaly, NPL
-55.048, 2060-2079, access1_3, Sep Anomaly, NPL
-67.079, 2060-2079, access1_3, Oct Anomaly, NPL
-94.051, 2060-2079, access1_3, Nov Anomaly, NPL
-134.46, 2060-2079, access1_3, Dec Anomaly, NPL
-121.3, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-66.338, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-102.75, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-76.512, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-54.249, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-43.722, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-37.678, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-37.633, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-36.163, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-51.273, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-80.51, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-92.927, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-92.871, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-53.199, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-77.926, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-68.04, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-63.745, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-38.356, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-27.764, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-20.937, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-29.632, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-45.416, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-49.252, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-84.006, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-142.53, 2060-2079, bnu_esm, Jan Anomaly, NPL
-129.29, 2060-2079, bnu_esm, Feb Anomaly, NPL
-162.8, 2060-2079, bnu_esm, Mar Anomaly, NPL
-90.498, 2060-2079, bnu_esm, Apr Anomaly, NPL
-76.11, 2060-2079, bnu_esm, May Anomaly, NPL
-66.16, 2060-2079, bnu_esm, Jun Anomaly, NPL
-45.718, 2060-2079, bnu_esm, Jul Anomaly, NPL
-28.206, 2060-2079, bnu_esm, Aug Anomaly, NPL
-33.922, 2060-2079, bnu_esm, Sep Anomaly, NPL
-51.783, 2060-2079, bnu_esm, Oct Anomaly, NPL
-89.733, 2060-2079, bnu_esm, Nov Anomaly, NPL
-121.0, 2060-2079, bnu_esm, Dec Anomaly, NPL
-159.64, 2060-2079, canesm2, Jan Anomaly, NPL
-181.44, 2060-2079, canesm2, Feb Anomaly, NPL
-149.57, 2060-2079, canesm2, Mar Anomaly, NPL
-119.6, 2060-2079, canesm2, Apr Anomaly, NPL
-72.275, 2060-2079, canesm2, May Anomaly, NPL
-57.541, 2060-2079, canesm2, Jun Anomaly, NPL
-30.435, 2060-2079, canesm2, Jul Anomaly, NPL
-43.447, 2060-2079, canesm2, Aug Anomaly, NPL
-43.758, 2060-2079, canesm2, Sep Anomaly, NPL
-66.501, 2060-2079, canesm2, Oct Anomaly, NPL
-110.48, 2060-2079, canesm2, Nov Anomaly, NPL
-170.27, 2060-2079, canesm2, Dec Anomaly, NPL
-92.169, 2060-2079, ccsm4, Jan Anomaly, NPL
-69.382, 2060-2079, ccsm4, Feb Anomaly, NPL
-101.59, 2060-2079, ccsm4, Mar Anomaly, NPL
-60.774, 2060-2079, ccsm4, Apr Anomaly, NPL
-53.736, 2060-2079, ccsm4, May Anomaly, NPL
-42.967, 2060-2079, ccsm4, Jun Anomaly, NPL
-45.047, 2060-2079, ccsm4, Jul Anomaly, NPL
-39.977, 2060-2079, ccsm4, Aug Anomaly, NPL
-45.397, 2060-2079, ccsm4, Sep Anomaly, NPL
-59.837, 2060-2079, ccsm4, Oct Anomaly, NPL
-93.053, 2060-2079, ccsm4, Nov Anomaly, NPL
-66.396, 2060-2079, ccsm4, Dec Anomaly, NPL
-90.196, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
-101.14, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
-96.185, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
-50.114, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
-44.322, 2060-2079, cesm1_bgc, May Anomaly, NPL
-33.097, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
-41.947, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
-39.492, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
-60.624, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
-57.566, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
-82.591, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
-79.58, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
-91.548, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
-124.15, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-79.629, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
-46.98, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-52.813, 2060-2079, cesm1_cam5, May Anomaly, NPL
-56.048, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
-58.68, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
-56.274, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
-65.385, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
-75.163, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
-93.636, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-75.512, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-64.727, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
-122.28, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
-80.178, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
-75.766, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
-57.17, 2060-2079, cnrm_cm5, May Anomaly, NPL
-48.779, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
-54.612, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
-56.169, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
-50.983, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
-78.451, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
-72.304, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
-103.22, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
-145.84, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
